0	[0, 1, 2, 3, 4, 5]
1	[6, 7, 8, 9, 10, 11, 12, 13, 14, 15]
2	[16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 45, 44, 43, 42, 46, 47]
3	[34, 35, 36, 37, 38, 39]
4	[40, 41]
5	[48, 49]
6	[50, 51, 52, 53, 54, 55]
7	[56, 57]
8	[58, 59]
9	[60, 61, 62, 64, 65, 63]
10	[66, 67]
11	[68, 69]
12	[70, 71]
13	[72, 73, 74, 75, 76, 77]
14	[78, 79, 80, 81, 82, 83, 84, 85]
15	[86, 87]
16	[88, 89, 90, 91, 92, 93, 94, 95, 96, 97]
17	[98, 99]
18	[100, 101]
19	[102, 103, 104, 105, 106, 107]
20	[108, 109]
21	[110, 111, 112, 113, 114, 115]
