0	1	0.0	2	H	[1]
1	1	176044006.75	2	T	[0, 2, 4]
2	1	176044007.75	2	H	[1, 3, 5]
3	1	230779906.0	2	T	[2, 4]
4	1	230779907.0	2	H	[1, 3, 5]
5	1	233130818.0	2	T	[2, 4, 6]
6	1	233130819.0	2	H	[5, 7]
7	1	248943333.0	2	T	[6]
8	2	15925	2	H	[9]
9	2	226036358.0	2	T	[8, 10]
10	2	226039457.0	3	H	[9, 11]
11	2	232819457.0	3	T	[10, 12]
12	2	232819458.0	3	H	[11, 13]
13	2	242181357.0	3	T	[12]
14	3	12920.0	2	H	[15]
15	3	144145223.0	2	T	[16, 14]
16	3	144145224.0	2	H	[17, 39, 15]
17	3	147907032.0	2	T	[16, 18, 40]
18	3	147907033.0	2	H	[17, 19]
19	3	190029108.5	2	T	[18, 20, 23]
20	3	190029109.5	2	H	[19, 21]
21	3	190151917.0	2	T	[20, 22]
22	3	190151918.0	3	H	[21, 22, 23]
23	3	198230596.0	3	T	[19, 22]
24	4	12986	2	H	[25]
25	4	14742693.0	2	T	[24, 26]
26	4	14745749.75	3	H	[25, 27, 29]
27	4	14942587.5	3	T	[26, 28, 86]
28	4	14942588.5	3	H	[27, 29, 87]
29	4	19427978.0	3	T	[26, 28, 30]
30	4	19443124.5	2	H	[29, 31]
31	4	77917311.0	2	T	[32, 30]
32	4	77917312.0	2	H	[33, 38, 31]
33	4	77986653.0	2	T	[32, 34]
34	4	77986654.0	3	H	[33, 35]
35	4	87200297.0	3	T	[34, 35, 36]
36	4	87200298.0	2	H	[35, 37]
37	4	87306079.0	2	T	[36, 38]
38	4	87306080.0	2	H	[32, 37, 39]
39	4	143225854.0	2	T	[40, 16, 38]
40	4	143225855.0	2	H	[41, 17, 39]
41	4	190202563.0	2	T	[40]
42	5	19315	2	H	[43]
43	5	254718.0	2	T	[42, 44]
44	5	254719.0	1	H	[43, 45]
45	5	46400789.0	1	T	[44, 46]
46	5	46400790	2	H	[45, 47]
47	5	49709238.0	2	T	[48, 46]
48	5	49709239.0	1	H	[49, 47]
49	5	70612428.0	1	T	[48, 50]
50	5	70612429.0	1	H	[49, 51]
51	5	181301991.0	1	T	[50, 52]
52	5	181301992	2	H	[51, 53]
53	5	181472713	2	T	[52]
54	6	0.0	2	H	[55]
55	6	88086188.0	2	T	[56, 57, 54]
56	6	88086189.0	2	H	[57, 58, 55]
57	6	90985092.5	2	T	[56, 58, 55]
58	6	90985093.5	2	H	[56, 57, 59]
59	6	170739897.0	2	T	[58]
60	7	10488.0	2	H	[61]
61	7	81767674.0	2	T	[60, 62]
62	7	81767675.0	2	H	[67, 61, 63]
63	7	81851428.0	2	T	[64, 62]
64	7	81851429.0	3	H	[65, 63]
65	7	88398274.0	3	T	[64, 66]
66	7	88398275.0	2	H	[65, 67]
67	7	88552922.0	2	T	[66, 68, 62]
68	7	88552923.0	2	H	[67, 69]
69	7	159334983.0	2	T	[68]
70	8	0	2	H	[71]
71	8	145076125	2	T	[70]
72	9	14567	2	H	[73]
73	9	356405.0	2	T	[72, 74]
74	9	356406.0	3	H	[73, 75]
75	9	6074294.0	3	T	[74, 76]
76	9	6074295.0	2	H	[75, 77]
77	9	16144120.0	2	T	[76, 78]
78	9	16144121.0	2	H	[84, 77, 79]
79	9	16349657.0	2	T	[80, 78]
80	9	16349658.0	3	H	[81, 79]
81	9	20106973.0	3	T	[80, 81, 82]
82	9	20106974.0	2	H	[81, 83]
83	9	20186110.0	2	T	[82, 84]
84	9	20186111.0	2	H	[83, 85, 78]
85	9	101872666.0	2	T	[84, 86]
86	9	101872667.0	2	H	[27, 85, 87]
87	9	111309305.0	2	T	[88, 28, 86]
88	9	111309306.0	2	H	[89, 87]
89	9	138334463.0	2	T	[88]
90	10	0	2	H	[91]
91	10	133785266	2	T	[90]
92	11	0	2	H	[93]
93	11	135069565	2	T	[92]
94	12	0	2	H	[95]
95	12	133263960	2	T	[94]
96	13	0	2	H	[97]
97	13	114352102	2	T	[96]
98	14	0	2	H	[99]
99	14	106873282	2	T	[98]
100	15	0	2	H	[101]
101	15	101976509	2	T	[100]
102	16	14135	2	H	[103]
103	16	73630446.0	2	T	[104, 106, 102]
104	16	73630447.0	1	H	[105, 103]
105	16	80819841.0	1	T	[104, 106]
106	16	80819842.0	1	H	[105, 107, 103]
107	16	80880326.0	1	T	[106, 108]
108	16	80880327	2	H	[107, 109]
109	16	90224750	2	T	[108]
110	17	0	2	H	[111]
111	17	83246392	2	T	[110]
112	18	0	2	H	[113]
113	18	80256374	2	T	[112]
114	19	0	2	H	[115]
115	19	58605715	2	T	[114]
116	20	70157	2	H	[117]
117	20	5913481.0	2	T	[116, 118]
118	20	5913482.0	3	H	[117, 119]
119	20	9904885.0	3	T	[120, 118]
120	20	9904886	2	H	[121, 119]
121	20	64333717	2	T	[120]
122	21	0	2	H	[123]
123	21	46697230	2	T	[122]
124	22	0	2	H	[125]
125	22	50805587	2	T	[124]
126	23	0	2	H	[127]
127	23	156025612	2	T	[126]
128	24	0	0	H	[129]
129	24	57212132	0	T	[128]
