0	[0, 1, 2, 3, 4, 5]
1	[6, 7, 8, 9, 10, 11, 54, 53, 52, 55, 56, 57, 58, 59]
2	[12, 13, 14, 16, 17, 18, 19, 20, 21, 15]
3	[22, 23]
4	[24, 25]
5	[26, 27]
6	[28, 29, 30, 32, 33, 34, 35, 104, 105, 103, 102, 36, 37, 31]
7	[38, 39, 40, 41, 42, 81, 80, 79, 78, 82, 83, 84, 99, 98, 97, 96, 100, 101, 85, 43, 44, 45, 46, 47, 48, 49]
8	[50, 51]
9	[60, 61, 62, 64, 65, 63]
10	[66, 67, 68, 69, 70, 71, 72, 73, 74, 75]
11	[76, 77]
12	[86, 87]
13	[88, 89, 90, 91, 92, 93]
14	[94, 95]
15	[106, 107]
16	[108, 109]
17	[110, 111]
18	[112, 113]
