0	[0, 1, 2, 3, 4, 5, 6, 7]
1	[8, 9, 10, 11]
2	[12, 13, 16, 17, 18, 19, 20, 21, 15, 14]
3	[22, 23]
4	[24, 25, 26, 27, 28, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 35, 34, 33, 32, 31, 30, 29, 60, 59, 58, 57, 56, 55, 54, 53, 52, 61, 62, 63, 36, 37, 79, 80, 81, 77, 76, 78]
5	[38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 108, 107, 106, 109]
6	[82, 83]
7	[84, 85, 86, 88, 89, 90, 91, 92, 93, 87]
8	[94, 95, 96, 97, 98, 99]
9	[100, 101]
10	[102, 103]
11	[104, 105]
12	[110, 111]
13	[112, 113]
14	[114, 115]
15	[116, 117]
16	[118, 119, 120, 121, 122, 123, 124, 125, 126, 127]
17	[128, 129]
18	[130, 131]
19	[132, 133]
20	[134, 135]
