0	[0, 1, 2, 3, 4, 5, 6, 7]
1	[8, 9]
2	[10, 11, 12, 13, 14, 15, 16, 17]
3	[18, 19]
4	[20, 21, 22, 24, 25, 23]
5	[26, 27, 72, 73, 74, 75, 76, 77, 78, 79, 29, 28, 71, 70, 30, 31]
6	[32, 33]
7	[34, 35, 36, 40, 41, 42, 43, 44, 45, 39, 38, 37]
8	[46, 47]
9	[48, 49, 50, 51, 52, 53]
10	[54, 55]
11	[56, 57, 58, 59, 60, 61]
12	[62, 63]
13	[64, 65, 66, 107, 106, 108, 67, 68, 69, 109]
14	[80, 81, 82, 83, 84, 85, 86, 87, 88, 89]
15	[90, 91]
16	[92, 93]
17	[94, 95]
18	[96, 97]
19	[98, 99]
20	[100, 101, 102, 103, 104, 105]
