0	[0, 1]
1	[2, 3, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 5, 4, 31, 30, 109, 108, 27, 26, 25, 24, 23, 18, 17, 16, 15, 11, 10, 9, 8, 53, 52, 51, 50, 49, 48, 54, 55, 7, 6, 12, 13, 14, 19, 20, 57, 56, 58, 59, 60, 61, 21, 22, 28, 107, 106, 29, 110, 111]
2	[42, 43, 44, 45, 46, 47]
3	[62, 63, 64, 65, 66, 67, 68, 74, 73, 72, 71, 70, 69, 75]
4	[76, 77]
5	[78, 79, 80, 81, 82, 83, 84, 85]
6	[86, 87]
7	[88, 89, 90, 91, 92, 93]
8	[94, 95]
9	[96, 97, 98, 99, 100, 101, 102, 103]
10	[104, 105]
11	[112, 113]
12	[114, 115]
13	[116, 117, 120, 121, 119, 118]
14	[122, 123]
15	[124, 125]
16	[126, 127]
17	[128, 129]
18	[130, 131]
19	[132, 133]
20	[134, 135]
