0	[0, 1]
1	[2, 3]
2	[4, 5, 8, 9, 7, 6]
3	[10, 11]
4	[12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41]
5	[42, 43, 72, 73, 74, 75, 45, 44, 71, 70, 69, 68, 67, 66, 46, 47, 48, 49, 50, 51, 60, 59, 58, 61, 62, 64, 65, 63]
6	[52, 53, 54, 55, 56, 57]
7	[76, 77, 78, 80, 81, 79]
8	[82, 83]
9	[84, 85]
10	[86, 87, 88, 89, 90, 91]
11	[92, 93]
12	[94, 95]
13	[96, 97]
14	[98, 99]
15	[100, 101, 102, 103, 104, 105]
16	[106, 107]
17	[108, 109]
18	[110, 111]
19	[112, 113]
20	[114, 115]
21	[116, 117]
