0	[0, 1, 2, 3, 4, 5]
1	[6, 7, 8, 9, 10, 19, 18, 17, 16, 20, 21, 11, 12, 13, 14, 15]
2	[22, 23]
3	[24, 25, 26, 27, 28, 29, 30, 31, 32, 33]
4	[34, 35, 36, 37, 38, 39]
5	[40, 41]
6	[42, 43, 64, 65, 66, 67, 45, 44, 63, 62, 46, 47]
7	[48, 49]
8	[50, 51, 52, 53, 54, 55, 56, 57, 58, 59]
9	[60, 61]
10	[68, 69, 70, 72, 73, 74, 75, 76, 77, 71]
11	[78, 79]
12	[80, 81, 82, 83, 84, 85]
13	[86, 87, 88, 89, 90, 91]
14	[92, 93]
15	[94, 95, 96, 97, 98, 99, 100, 101]
16	[102, 103]
17	[104, 105]
18	[106, 107]
19	[108, 109]
20	[110, 111]
21	[112, 113]
