0	[0, 1, 2, 3, 4, 5]
1	[6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]
2	[20, 21, 22, 24, 25, 23]
3	[26, 27]
4	[28, 29, 32, 33, 31, 30]
5	[34, 35, 41, 40, 39, 38, 37, 36]
6	[42, 43]
7	[44, 45, 46, 49, 48, 47, 50, 51]
8	[52, 53]
9	[54, 55, 56, 57, 58, 59]
10	[60, 61, 62, 64, 65, 63]
11	[66, 67]
12	[68, 69, 70, 71]
13	[72, 73]
14	[74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87]
15	[88, 89, 90, 91, 92, 93]
16	[94, 95]
17	[96, 97]
18	[98, 99]
19	[100, 101]
20	[102, 103]
21	[104, 105]
22	[106, 107]
