0	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 57, 56, 55, 54, 58, 59, 24, 25, 26, 27, 61, 60, 23, 22, 20, 19, 18, 17, 16, 91, 90, 92, 93, 94, 95, 96, 97, 98, 99, 15, 14, 21, 62, 63, 13]
1	[28, 29, 32, 33, 31, 30]
2	[34, 35, 36, 37, 38, 39, 40, 41]
3	[42, 43, 44, 113, 112, 110, 109, 108, 107, 106, 105, 104, 111, 114, 115, 116, 45, 46, 47, 117]
4	[48, 49, 50, 51, 52, 53]
5	[64, 65]
6	[66, 67, 68, 69, 70, 71]
7	[72, 73, 74, 75, 76, 77]
8	[78, 79]
9	[80, 81, 82, 83, 84, 85, 86, 87, 88, 89]
10	[100, 101]
11	[102, 103]
12	[118, 119]
13	[120, 121]
14	[122, 123]
15	[124, 125]
16	[126, 127, 128, 129, 130, 131]
17	[132, 133]
18	[134, 135]
