0	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]
1	[12, 13, 14, 15, 16, 17]
2	[18, 19, 20, 21, 22, 23, 24, 25]
3	[26, 27]
4	[28, 29, 30, 32, 33, 31]
5	[34, 35, 80, 81, 82, 83, 84, 85, 86, 87, 37, 36, 79, 78, 38, 39]
6	[40, 41]
7	[42, 43, 44, 48, 49, 50, 51, 52, 53, 47, 46, 45]
8	[54, 55]
9	[56, 57, 58, 59, 60, 61]
10	[62, 63]
11	[64, 65, 66, 67, 68, 69]
12	[70, 71]
13	[72, 73, 74, 115, 114, 116, 75, 76, 77, 117]
14	[88, 89, 90, 91, 92, 93, 94, 95, 96, 97]
15	[98, 99]
16	[100, 101]
17	[102, 103]
18	[104, 105]
19	[106, 107]
20	[108, 109, 110, 111, 112, 113]
