0	[0, 1, 2, 3, 4, 5]
1	[6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 62, 61, 60, 63, 64, 65, 66, 67]
2	[20, 21, 22, 24, 25, 26, 27, 28, 29, 23]
3	[30, 31]
4	[32, 33]
5	[34, 35]
6	[36, 37, 38, 40, 41, 42, 43, 112, 113, 111, 110, 44, 45, 39]
7	[46, 47, 48, 49, 50, 89, 88, 87, 86, 90, 91, 92, 107, 106, 105, 104, 108, 109, 93, 51, 52, 53, 54, 55, 56, 57]
8	[58, 59]
9	[68, 69, 70, 72, 73, 71]
10	[74, 75, 76, 77, 78, 79, 80, 81, 82, 83]
11	[84, 85]
12	[94, 95]
13	[96, 97, 98, 99, 100, 101]
14	[102, 103]
15	[114, 115]
16	[116, 117]
17	[118, 119]
18	[120, 121]
