0	[0, 1, 2, 3]
1	[4, 5, 8, 9, 10, 11, 12, 13, 78, 77, 76, 79, 7, 6]
2	[14, 15]
3	[16, 17, 18, 19]
4	[20, 21, 46, 45, 48, 49, 50, 51, 52, 43, 42, 41, 40, 44, 53, 47, 22, 23, 24, 25, 26, 27]
5	[28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39]
6	[54, 55]
7	[56, 57]
8	[58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 72, 73, 71, 70]
9	[68, 69]
10	[74, 75]
11	[80, 81, 82, 83, 84, 85]
12	[86, 87]
13	[88, 89]
14	[90, 91, 92, 93, 94, 95]
15	[96, 97]
16	[98, 99]
17	[100, 101]
18	[102, 103]
19	[104, 105]
20	[106, 107]
