0	[0, 1]
1	[2, 3, 4, 5, 6, 7]
2	[8, 9, 10, 11, 12, 13]
3	[14, 15]
4	[16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 34, 33, 32, 31, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45]
5	[46, 47, 48, 49, 50, 51, 52, 53, 64, 65, 66, 67, 68, 69, 63, 62, 54, 55, 77, 76, 75, 74, 73, 72, 71, 70, 78, 79]
6	[56, 57, 58, 59, 60, 61]
7	[80, 81, 82, 83, 84, 85]
8	[86, 87]
9	[88, 89]
10	[90, 91, 92, 93, 94, 95]
11	[96, 97]
12	[98, 99]
13	[100, 101]
14	[102, 103]
15	[104, 105, 106, 107, 108, 109]
16	[110, 111]
17	[112, 113]
18	[114, 115]
19	[116, 117]
20	[118, 119]
21	[120, 121]
