0	[0, 1, 2, 3, 4, 45, 44, 46, 47, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]
1	[20, 21]
2	[22, 23, 24, 25, 26, 27, 28, 29]
3	[30, 31]
4	[32, 33]
5	[34, 35, 40, 41, 42, 43, 37, 36, 39, 38]
6	[48, 49, 50, 51, 52, 53, 54, 55, 56, 57]
7	[58, 59, 60, 61, 117, 116, 67, 66, 65, 64, 63, 62, 68, 115, 114, 69, 120, 121, 122, 123, 124, 125, 126, 127, 119, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 118]
8	[94, 95, 96, 97, 98, 99, 100, 101, 102, 103]
9	[104, 105]
10	[106, 107, 108, 109, 110, 111]
11	[112, 113]
12	[128, 129, 130, 131, 132, 133, 134, 137, 136, 135, 138, 139]
13	[140, 141]
14	[142, 143, 144, 145, 146, 147]
15	[148, 149]
16	[150, 151]
17	[152, 153, 154, 155, 156, 157]
18	[158, 159]
19	[160, 161]
20	[162, 163]
21	[164, 165]
