0	[0, 1, 2, 3, 4, 5, 6, 7]
1	[8, 9, 10, 11]
2	[12, 13, 16, 17, 18, 19, 20, 21, 15, 14]
3	[22, 23]
4	[24, 25, 26, 83, 82, 81, 80, 84, 85, 27, 28, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 35, 34, 33, 32, 31, 30, 29, 60, 59, 58, 57, 56, 55, 54, 53, 52, 61, 62, 63, 36, 37]
5	[38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 112, 113, 111, 110]
6	[86, 87]
7	[88, 89, 90, 91, 92, 93, 94, 96, 97, 95]
8	[98, 99, 100, 101, 102, 103]
9	[104, 105]
10	[106, 107]
11	[108, 109]
12	[114, 115]
13	[116, 117]
14	[118, 119]
15	[120, 121]
16	[122, 123, 124, 125, 126, 127, 128, 129, 130, 131]
17	[132, 133]
18	[134, 135]
19	[136, 137]
20	[138, 139]
