0	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 53, 52, 51, 50, 54, 55, 56, 57, 58, 59, 21, 20, 19, 18, 89, 88, 15, 16, 17, 90, 91, 92, 93, 94, 95, 87, 86, 14, 22, 23, 13]
1	[24, 25, 26, 27, 28, 29]
2	[30, 32, 33, 34, 35, 36, 37, 31]
3	[38, 39, 40, 41, 42, 43, 111, 112, 113, 110, 109, 108, 106, 105, 104, 103, 102, 101, 100, 107]
4	[44, 45, 46, 48, 49, 47]
5	[60, 61]
6	[62, 63, 64, 65, 66, 67]
7	[68, 69, 70, 71, 72, 73]
8	[74, 75]
9	[76, 77, 83, 82, 81, 80, 79, 78, 84, 85]
10	[96, 97]
11	[98, 99]
12	[114, 115]
13	[116, 117]
14	[118, 119]
15	[120, 121]
16	[122, 123, 124, 125, 126, 127]
17	[128, 129]
18	[130, 131]
