0	[0, 1]
1	[2, 3]
2	[4, 5, 8, 9, 7, 6]
3	[10, 11]
4	[12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41]
5	[42, 43, 44, 67, 66, 65, 64, 63, 62, 68, 69, 46, 45, 70, 71, 47, 48, 49, 50, 51, 56, 57, 58, 59, 60, 61, 55, 54]
6	[52, 53]
7	[72, 73, 74, 75, 76, 77]
8	[78, 79]
9	[80, 81]
10	[82, 83, 84, 85, 86, 87]
11	[88, 89]
12	[90, 91]
13	[92, 93]
14	[94, 95]
15	[96, 97, 98, 99, 100, 101]
16	[102, 103]
17	[104, 105]
18	[106, 107]
19	[108, 109]
20	[110, 111]
21	[112, 113]
