0	[0, 1, 2, 3, 4, 5]
1	[6, 7, 8, 9, 10, 11, 12, 13, 34, 33, 32, 14, 15, 16, 17, 18, 19, 35, 36, 37, 38, 40, 41, 39]
2	[20, 21, 26, 25, 24, 27, 28, 29, 23, 22]
3	[30, 31]
4	[42, 43, 44, 45, 46, 47, 48, 49]
5	[50, 51, 52, 91, 90, 89, 88, 92, 93, 53]
6	[54, 55, 56, 57]
7	[58, 59, 60, 61, 62, 63, 64, 65]
8	[66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 86, 85, 84, 81, 80, 82, 83, 87]
9	[78, 79]
10	[94, 95]
11	[96, 97, 98, 99, 100, 101]
12	[102, 103]
13	[104, 105]
14	[106, 107]
15	[108, 109]
16	[110, 111, 112, 113, 114, 115]
17	[116, 117]
18	[118, 119]
19	[120, 121, 122, 123, 124, 125]
