0	[0, 1, 2, 3, 4, 5, 6, 7]
1	[8, 9, 10, 11, 16, 17, 15, 12, 13, 14]
2	[18, 19]
3	[20, 21]
4	[22, 23]
5	[24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 41, 40, 39, 38, 42, 43, 44, 45]
6	[46, 47]
7	[48, 49, 50, 51, 52, 53]
8	[54, 55, 56, 57, 58, 59, 60, 61]
9	[62, 63, 64, 65, 66, 67]
10	[68, 69, 70, 71, 72, 73, 74, 75]
11	[76, 77, 80, 81, 82, 83, 79, 78]
12	[84, 85]
13	[86, 87]
14	[88, 89]
15	[90, 91, 92, 93, 94, 95]
16	[96, 97]
17	[98, 99, 100, 101, 102, 103, 104, 105, 106, 107, 108, 109, 110, 111]
18	[112, 113]
19	[114, 115]
20	[116, 117]
21	[118, 119, 120, 121, 122, 123]
22	[124, 125]
