0	[0, 1, 2, 3, 4, 5, 6, 7]
1	[8, 9, 10, 11, 12, 13]
2	[14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 40, 41, 39, 38, 37, 36, 35, 34, 33, 32, 31, 30, 29, 26, 25, 24, 27, 28, 87, 88, 89, 86, 85, 84, 83, 82, 81, 80, 79, 78, 77, 76, 75, 74, 73, 72]
3	[42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53]
4	[54, 55, 56, 57, 58, 59]
5	[60, 61, 62, 67, 66, 65, 64, 63, 68, 69]
6	[70, 71]
7	[90, 91]
8	[92, 93]
9	[94, 95]
10	[96, 97]
11	[98, 99]
12	[100, 101]
13	[102, 103, 104, 105, 106, 107, 108, 109]
14	[110, 111]
15	[112, 113]
16	[114, 115]
17	[116, 117, 118, 119, 120, 121]
18	[122, 123]
19	[124, 125]
20	[126, 127]
