0	[0, 1, 2, 3, 4, 5]
1	[6, 7, 8, 9, 10, 19, 18, 17, 16, 20, 21, 11, 12, 13, 14, 15]
2	[22, 23]
3	[24, 25, 26, 27, 28, 29, 30, 31, 32, 33]
4	[34, 35, 36, 37, 38, 39]
5	[40, 41]
6	[42, 43, 44, 61, 60, 62, 63, 64, 65, 45, 46, 47]
7	[48, 49]
8	[50, 51, 52, 53, 54, 55, 56, 57]
9	[58, 59]
10	[66, 67, 68, 69, 70, 71, 72, 73, 74, 75]
11	[76, 77]
12	[78, 79, 80, 81, 82, 83]
13	[84, 85, 86, 87, 88, 89]
14	[90, 91]
15	[92, 93, 96, 97, 98, 99, 95, 94]
16	[100, 101]
17	[102, 103]
18	[104, 105]
19	[106, 107]
20	[108, 109]
21	[110, 111]
