0	[0, 1]
1	[2, 3, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 5, 4, 31, 30, 107, 106, 27, 26, 25, 24, 23, 18, 17, 16, 15, 11, 10, 9, 8, 53, 52, 51, 50, 49, 48, 54, 55, 7, 6, 12, 13, 14, 19, 20, 57, 56, 58, 59, 60, 61, 21, 22, 28, 105, 104, 29, 108, 109]
2	[42, 43, 44, 45, 46, 47]
3	[62, 63, 64, 65, 66, 67, 68, 74, 73, 72, 71, 70, 69, 75]
4	[76, 77]
5	[78, 79, 80, 81, 82, 83]
6	[84, 85]
7	[86, 87, 88, 89, 90, 91]
8	[92, 93]
9	[94, 95, 96, 97, 98, 99, 100, 101]
10	[102, 103]
11	[110, 111]
12	[112, 113]
13	[114, 115, 116, 117, 118, 119]
14	[120, 121]
15	[122, 123]
16	[124, 125]
17	[126, 127]
18	[128, 129]
19	[130, 131]
20	[132, 133]
