0	[0, 1]
1	[2, 3, 4, 8, 9, 7, 6, 5]
2	[10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]
3	[30, 31, 32, 33, 34, 35]
4	[36, 37]
5	[38, 39, 40, 41, 42, 43]
6	[44, 45]
7	[46, 47, 48, 49, 50, 51, 52, 53, 54, 55]
8	[56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 71, 70]
9	[82, 83, 84, 85, 86, 87, 88, 89, 99, 98, 97, 96, 100, 101]
10	[90, 91]
11	[92, 93]
12	[94, 95]
13	[102, 103, 104, 105]
14	[106, 107]
15	[108, 109]
16	[110, 111]
17	[112, 113, 114, 115, 116, 117, 118, 119]
18	[120, 121]
19	[122, 123]
20	[124, 125]
21	[126, 127]
