index	origin	start	end
1	Chr1	10000	122026459
CEN1	Chr1	122026460	125184587
2	Chr1	125184588	176037329
3	Chr1	176037330	181112259
4	Chr1	181112260	230776598
5	Chr1	230776599	233135656
6	Chr1	233135657	248946421
7	Chr2	10000	92188145
CEN2	Chr2	92188146	94090557
8	Chr2	94090558	144339946
9	Chr2	144339947	153809602
10	Chr2	153809603	226047465
11	Chr2	226047466	232713873
12	Chr2	232713874	232823519
13	Chr2	232823520	242183528
14	Chr3	10000	90772458
CEN3	Chr3	90772459	93655574
15	Chr3	93655575	144145001
16	Chr3	144145002	147909853
17	Chr3	147909854	184254025
18	Chr3	184254026	190030585
19	Chr3	190030586	192458999
20	Chr3	192459000	198235558
21	Chr4	10000	14744549
22	Chr4	14744550	14942816
23	Chr4	14942817	14942817
24	Chr4	14942818	19465813
25	Chr4	19465814	49708100
CEN4	Chr4	49708101	51743951
26	Chr4	51743952	77911496
27	Chr4	77911497	87293513
28	Chr4	87293514	143228858
29	Chr4	143228859	143228859
30	Chr4	143228860	190204554
31	Chr5	10000	12533192
32	Chr5	12533193	46485900
CEN5	Chr5	46485901	50059807
33	Chr5	50059808	181478258
34	Chr6	60000	58553888
CEN6	Chr6	58553889	59829934
35	Chr6	59829935	88087512
36	Chr6	88087513	90981966
37	Chr6	90981967	170745978
38	Chr7	10000	58169653
CEN7	Chr7	58169654	60828234
39	Chr7	60828235	81764591
40	Chr7	81764592	88570413
41	Chr7	88570414	159335972
42	Chr8	60000	44033744
CEN8	Chr8	44033745	45877265
43	Chr8	45877266	145078635
44	Chr9	10000	4659286
45	Chr9	4659287	6286669
46	Chr9	6286670	10935956
47	Chr9	10935957	16140422
48	Chr9	16140423	20180539
49	Chr9	20180540	43236167
CEN9	Chr9	43236168	45518558
50	Chr9	45518559	101869534
51	Chr9	101869535	111314622
52	Chr9	111314623	138334716
53	Chr10	10000	39686682
CEN10	Chr10	39686683	41593521
54	Chr10	41593522	133787421
55	Chr11	60000	51078348
CEN11	Chr11	51078349	54425074
56	Chr11	54425075	135076621
57	Chr12	10000	34769407
CEN12	Chr12	34769408	37185252
58	Chr12	37185253	133265308
59	Chr13	16000000	16000000
CEN13	Chr13	16000001	18051248
60	Chr13	18051249	114354327
61	Chr14	16000000	16000000
CEN14	Chr14	16000001	18173523
62	Chr14	18173524	106883717
63	Chr15	17000000	17000000
CEN15	Chr15	17000001	19725254
64	Chr15	19725255	101981188
65	Chr16	10000	36311158
CEN16	Chr16	36311159	38280682
66	Chr16	38280683	73631959
67	Chr16	73631960	80817907
68	Chr16	80817908	90228344
69	Chr17	60000	22813679
CEN17	Chr17	22813680	26885980
70	Chr17	26885981	83247440
71	Chr18	10000	15460899
CEN18	Chr18	15460900	20861206
72	Chr18	20861207	80263284
73	Chr19	60000	24498980
CEN19	Chr19	24498981	27190874
74	Chr19	27190875	58607615
75	Chr20	60000	5758531
76	Chr20	5758532	9946667
77	Chr20	9946668	26436232
CEN20	Chr20	26436233	30038348
78	Chr20	30038349	64334166
79	Chr21	5010000	10864560
CEN21	Chr21	10864561	12915808
80	Chr21	12915809	46699982
81	Chr22	10510000	12954788
CEN22	Chr22	12954789	15054318
82	Chr22	15054319	50808467
83	ChrX	10000	58605579
CENX	ChrX	58605580	62412542
84	ChrX	62412543	156030894
---
chromosome	KT	telo1_len	telo2_len
Chr1a	1+,CEN1+,2+,5+,3+,4+,6+	10000	10000
Chr1b	1+,CEN1+,2+,3+,4+,5+,6+	10000	10000
Chr2a	7+,CEN2+,8+,9+,10+,11+,12+,11+,12+,13+,13-,12-	10000	10000
Chr2b	7+,CEN2+,8+,9+,10+,11+,12+,13+	10000	10000
Chr3a	14+,CEN3+,15+,17+,18+,20-,19-,19+,20+	10000	60000
Chr3b	14+,CEN3+,15+,16+,17+,18+,19+,20+	10000	60000
Chr4a	21+,22+,23+,24+,22+,51+,23+,24+,25+,CEN4+,26+,27+,27-,28+,16+,29+,30+	10000	10000
Chr4b	21+,22+,23+,24+,25+,CEN4+,26+,27+,28+,29+,30+	10000	10000
Chr5a	deleted	0	0
Chr5b	31+,32+,CEN5+,33+	0	0
Chr6a	34+,CEN6+,35+,36-,37+	60000	60000
Chr6b	34+,CEN6+,35+,36+,37+	60000	60000
Chr7a	38+,CEN7+,39+,40+,40+,41+	10000	10000
Chr7b	38+,CEN7+,39+,40+,41+	10000	10000
Chr8a	42+,CEN8+,43+	60000	60000
Chr8b	42+,CEN8+,43+	60000	60000
Chr9a	45-,44-,44+,45+,46+,47+,48+,48-,49+,CEN9+,50+,52+	10000	60000
Chr9b	44+,45+,46+,47+,48+,49+,CEN9+,50+,51+,52+	10000	60000
Chr10a	53+,CEN10+,54+	10000	10000
Chr10b	53+,CEN10+,54+	10000	10000
Chr11a	55+,CEN11+,56+	60000	10000
Chr11b	55+,CEN11+,56+	60000	10000
Chr12a	57+,CEN12+,58+	10000	10000
Chr12b	57+,CEN12+,58+	10000	10000
Chr13a	59+,CEN13+,60+	16000000	10000
Chr13b	59+,CEN13+,60+	16000000	10000
Chr14a	61+,CEN14+,62+	16000000	160000
Chr14b	61+,CEN14+,62+	16000000	160000
Chr15a	63+,CEN15+,64+	17000000	10000
Chr15b	63+,CEN15+,64+	17000000	10000
Chr16a	65+,CEN16+,66+,68+	10000	110000
Chr16b	65+,CEN16+,66+,67+,68+	10000	110000
Chr17a	69+,CEN17+,70+	60000	10000
Chr17b	69+,CEN17+,70+	60000	10000
Chr18a	71+,CEN18+,72+	10000	110000
Chr18b	71+,CEN18+,72+	10000	110000
Chr19a	73+,CEN19+,74+	60000	10000
Chr19b	73+,CEN19+,74+	60000	10000
Chr20a	75+,76+,76+,77+,CEN20+,78+	60000	110000
Chr20b	75+,76+,77+,CEN20+,78+	60000	110000
Chr21a	79+,CEN21+,80+	5010000	10000
Chr21b	79+,CEN21+,80+	5010000	10000
Chr22a	81+,CEN22+,82+	10510000	10000
Chr22b	81+,CEN22+,82+	10510000	10000
ChrXa	83+,CENX+,84+	10000	10000
ChrXb	83+,CENX+,84+	10000	10000
---
initialization
	autosomes: ['Chr1', 'Chr2', 'Chr3', 'Chr4', 'Chr5', 'Chr6', 'Chr7', 'Chr8', 'Chr9', 'Chr10', 'Chr11', 'Chr12', 'Chr13', 'Chr14', 'Chr15', 'Chr16', 'Chr17', 'Chr18', 'Chr19', 'Chr20', 'Chr21', 'Chr22']
	autosomal copy number: 1
	sex chromosomes: ['ChrX']
block 1: Cri_du_Chat
	deletion on segments [31+], from Chr5a to Chr5a
block 2: random events
	inversion on segments [36+], from Chr6a to Chr6a
	deletion on segments [67+], from Chr16a to Chr16a
	chromosomal deletion on segments [32+,CEN5+,33+], from Chr5a to Chr5a
	left duplication inversion on segments [19+,20+], from Chr3a to Chr3a
	right duplication inversion on segments [27+], from Chr4a to Chr4a
	tandem duplication on segments [76+], from Chr20a to Chr20a
	right duplication inversion on segments [12+,13+], from Chr2a to Chr2a
	tandem duplication on segments [11+,12+], from Chr2a to Chr2a
	nonreciprocal translocation on segments [16+], from Chr3a to Chr4a
	tandem duplication on segments [40+], from Chr7a to Chr7a
	tandem duplication on segments [22+,23+,24+], from Chr4a to Chr4a
	nonreciprocal translocation on segments [51+], from Chr9a to Chr4a
	right duplication inversion on segments [48+], from Chr9a to Chr9a
	left duplication inversion on segments [44+,45+], from Chr9a to Chr9a
	balanced reciprocal translocation on segments [3+], from Chr1a to Chr1a
	balanced reciprocal translocation on segments [5+], from Chr1a to Chr1a
