chr	start	end
Path1 : 1	1	248900105
Path2 : 1	1	247128520
Path3 : 2	1	242181355
Path6 : 2	1	242181355
Path7 : 3	1	198175210
Path8 : 3	1	199705692
Path10 : 4	1	190202564
Path9 : 4	1	190202564
Path11 : 5	1	181472714
Path12 : 5	1	181472714
Path13 : 6	1	170739897
Path14 : 6	1	170739897
Path15 : 7	1	159334980
Path18 : der(7)t(7;19)	1	159861558
Path19 : 8	1	145000779
Path24 : der(8)t(8;14;18)	1	129818296
Path25 : 9	1	138334464
Path26 : 9	1	138334464
Path4 : 10	1	133755535
Path5 : der(10)t(2;10)	1	136334957
Path27 : 11	1	135069563
Path28 : 11	1	135069563
Path29 : 12	1	133218390
Path30 : 12	1	134057968
Path31 : 13	1	114352102
Path32 : 13	1	114352102
Path20 : der(14)t(8;14)	1	99129901
Path21 : der(14)t(8;14)	1	106949188
Path33 : 15	1	101976509
Path34 : 15	1	101976509
Path35 : 16	1	90224749
Path36 : 16	1	90224749
Path37 : 17	1	83246392
Path38 : 17	1	83246392
Path22 : der(18)t(14;18)	1	105684496
Path23 : 18	1	80256372
Path16 : der(19)t(7;19)	1	59037829
Path17 : 19	1	58605714
Path39 : 20	1	64333718
Path40 : 20	1	64333718
Path41 : 21	1	46697230
Path42 : 21	1	46697230
Path43 : 22	1	50805587
Path44 : 22	1	50805587
Path45 : X	1	156025612
Path46 : X	1	156025612
