chr	start	end	original_name	original_stain	band_base	Path	strand	chrom	bp	original_start	original_end	Updated_stain	centromere	iscn	sort_chrom	name	gieStain	delta	midpoint
Path1 : 1	1	248943334	q44	gneg	q44	Path1	+	1	False	243500000	248943333	gneg	0	Path1 : 1	1	q44	gneg	5443333	124471667.5
Path10 : 5	1	181472715	q35.1	gneg	q35	Path10	-	5	True	169000000	173300000	gneg	0	Path10 : 5	5	q35	gneg	12472714	90736358.0
Path11 : 6	1	170648599	q27	gneg	q27	Path11	+	6	True	164100000	170737419	gneg	0	Path11 : 6	6	q27	gneg	6637419	85324300.0
Path12 : 6	1	166913482	q27	gneg	q27	Path12	-	6	False	164100000	170737419	gneg	0	Path12 : 6	6	q27	gneg	6637419	83456741.5
Path13 : 7	1	159334985	q36.3	gneg	q36	Path13	+	7	False	155200000	159334984	gneg	0	Path13 : 7	7	q36	gneg	11134984	79667493.0
Path14 : 7	1	159334985	q36.1	gneg	q36	Path14	-	7	True	148200000	152800000	gneg	0	Path14 : 7	7	q36	gneg	11134984	79667493.0
Path15 : 8	1	145001871	q24.3	gneg	q24	Path15	+	8	True	138900000	145074239	gneg	0	Path15 : 8	8	q24.3	gneg	6174239	72500936.0
Path16 : 8	1	137739092	q24.3	gneg	q24	Path16	-	8	False	138900000	145074239	gneg	0	Path16 : 8	8	q24.3	gneg	6174239	68869546.5
Path17 : der(9)t(9;10)	1	162092565	q31.3	gpos25	q31	Path17	-	9	True	110617608	112100000	gpos25	0	Path17 : (9;10)	9	q31	gpos100	1482392	81046283.0
Path17 : der(9)t(9;10)	162092565	165851248	p15.3	gneg	p15	Path17	-	10	True	19074	3000000	gpos25	0	Path17 : (9;10)	9	p15	gneg	3758683	163971906.5
Path18 : 10	1	133742636	q26.3	gneg	q26	Path18	+	10	True	128800000	133778994	gneg	0	Path18 : 10	10	q26	gneg	16478994	66871318.5
Path19 : dic(9;10)	1	123572135	q33.1	gpos75	q33	Path19	-	9	True	114900000	115417146	gpos75	1	Path19 : (9;10)	9	q33	gpos75	517146	61786068.0
Path19 : dic(9;10)	123572135	248030324	q26.11	gneg	q26	Path19	-	10	True	117300000	119900000	gneg	1	Path19 : (9;10)	9	q26	gneg	16478994	185801229.5
Path2 : 1	1	248943334	q44	gneg	q44	Path2	-	1	False	243500000	248943333	gneg	0	Path2 : 1	1	q44	gneg	5443333	124471667.5
Path20 : 11	1	135003604	q25	gneg	q25	Path20	+	11	True	130900000	135068991	gneg	0	Path20 : 11	11	q25	gneg	4168991	67501802.5
Path21 : der(15)t(11;15)	1	99188489	q26.3	gneg	q26	Path21	-	15	True	98000000	99188489	gneg	0	Path21 : (15;11)	15	q26.3	gneg	1188489	49594245.0
Path21 : der(15)t(11;15)	99188489	106415695	q25	gneg	q25	Path21	-	11	False	130900000	135068991	gneg	0	Path21 : (15;11)	15	q25	gneg	4168991	102802092.0
Path22 : 15	1	94048774	q26.3	gneg	q26	Path22	+	15	True	99188490	101976509	gneg	0	Path22 : 15	15	q26.3	gneg	2788019	47024387.5
