chr	start	end
Path1 : 1	1	248913376
Path2 : 1	1	244746816
Path3 : 2	1	94151828
Path4 : 2	1	241960638
Path5 : 3	1	198230594
Path6 : 3	1	198230594
Path7 : 4	1	190202564
Path8 : 4	1	190202564
Path10 : 5	1	174125788
Path9 : 5	1	181433608
Path11 : 6	1	347504549
Path12 : 7	1	159334984
Path13 : 7	1	159334984
Path14 : 8	1	144998697
Path15 : 8	1	153916478
Path16 : 9	1	138334464
Path17 : 9	1	138334464
Path18 : 10	1	133785264
Path19 : 10	1	133785264
Path20 : 11	1	135069563
Path21 : 11	1	135069563
Path22 : 12	1	133263960
Path23 : 12	1	133263960
Path24 : 13	1	219689729
Path25 : 14	1	106873282
Path26 : 14	1	106873282
Path27 : 15	1	84886770
Path28 : 15	1	80064807
Path29 : 16	1	90224749
Path30 : 16	1	90224749
Path31 : 17	1	83246392
Path32 : 17	1	83246392
Path33 : 18	1	80256374
Path34 : 18	1	80256374
Path35 : 19	1	58605715
Path36 : 19	1	58605715
Path37 : 20	1	64333718
Path38 : 20	1	64333718
Path39 : 21	1	46697230
Path40 : 21	1	46697230
Path41 : 22	1	50805587
Path42 : 22	1	50805587
Path43 : X	1	156025612
Path44 : X	1	156025612
