0	1	0.0	2	H	[1]
1	1	80817142.0	2	T	[0, 2]
2	1	80817143.0	2	H	[1, 3, 23]
3	1	82120954.0	2	T	[24, 2, 4]
4	1	82120955.0	2	H	[3, 5]
5	1	195354963.0	2	T	[4, 6]
6	1	195354964.0	2	H	[43, 5, 7]
7	1	196233043.0	2	T	[8, 44, 6]
8	1	196233044.0	2	H	[9, 7]
9	1	225395204.0	2	T	[8, 10, 102]
10	1	225395205.0	2	H	[9, 11, 101]
11	1	226948534.0	2	T	[104, 10, 12]
12	1	226948535.0	2	H	[11, 13, 103]
13	1	248943333.0	2	T	[12]
14	2	0	2	H	[15]
15	2	242181357	2	T	[14]
16	3	0.0	2	H	[17]
17	3	26093478.5	2	T	[16, 18, 26]
18	3	26093479.5	2	H	[17, 19, 25]
19	3	27198425.0	2	T	[18, 20, 28]
20	3	27198426.0	2	H	[27, 19, 21]
21	3	198230596.0	2	T	[20]
22	4	0.0	2	H	[23]
23	4	142758492.5	2	T	[24, 2, 22]
24	4	142758493.5	2	H	[25, 3, 23]
25	4	175026643.0	2	T	[24, 26, 18]
26	4	175026644.0	2	H	[25, 27, 17]
27	4	176649932.5	2	T	[26, 28, 20]
28	4	176649933.5	2	H	[19, 27, 29]
29	4	190202564.0	2	T	[28]
30	5	0	2	H	[31]
31	5	181472714	2	T	[30]
32	6	0	2	H	[33]
33	6	170739897	2	T	[32]
34	7	0	2	H	[35]
35	7	159334984	2	T	[34]
36	8	0.0	2	H	[37]
37	8	143990783.0	2	T	[36, 38, 39]
38	8	143990784.0	2	H	[37, 39]
39	8	145076125.0	2	T	[37, 38]
40	9	0.0	2	H	[41]
41	9	1684639.0	2	T	[40, 42, 48]
42	9	1684640.0	2	H	[41, 43, 47]
43	9	2568670.0	2	T	[42, 44, 6]
44	9	2568671.0	2	H	[43, 45, 7]
45	9	3545432.5	2	T	[50, 44, 46]
46	9	3545433.5	2	H	[49, 45, 47]
47	9	116063996.5	2	T	[48, 42, 46]
48	9	116063997.5	2	H	[49, 41, 47]
49	9	117483546.5	2	T	[48, 50, 46]
50	9	117483547.5	2	H	[49, 51, 45]
51	9	138334464.0	2	T	[50]
52	10	0.0	2	H	[53]
53	10	94597432.5	2	T	[66, 52, 54]
54	10	94597433.5	2	H	[65, 53, 55]
55	10	96576382.0	2	T	[56, 68, 54]
56	10	96576383.0	2	H	[57, 67, 55]
57	10	133785266.0	2	T	[56]
58	11	0.0	2	H	[59]
59	11	105001355.5	2	T	[58, 60, 61]
60	11	105001356.5	2	H	[59, 61, 62]
61	11	106767492.5	2	T	[59, 60, 62]
62	11	106767493.5	2	H	[60, 61, 63]
63	11	135069565.0	2	T	[62]
64	12	14569.0	2	H	[65]
65	12	45006066.5	2	T	[64, 66, 54]
66	12	45006067.5	2	H	[65, 67, 53]
67	12	46142503.0	2	T	[56, 66, 68]
68	12	46142504.0	2	H	[67, 69, 55]
69	12	75895929.0	2	T	[72, 68, 70]
70	12	75895930.0	1	H	[69, 71]
71	12	77212558.0	1	T	[72, 70]
72	12	77212559	2	H	[73, 69, 71]
73	12	133263959	2	T	[72]
74	13	16004726.0	2	H	[75]
75	13	21932393.0	2	T	[74, 76]
76	13	21933187.0	3	H	[80, 75, 77]
77	13	23434405.0	3	T	[76, 77, 78]
78	13	23434406.0	2	H	[77, 79]
79	13	23600094.0	2	T	[80, 78]
80	13	23600095.0	2	H	[81, 76, 79]
81	13	114352101.0	2	T	[80]
82	14	16004726.0	2	H	[83]
83	14	46823218.0	2	T	[82, 84]
84	14	46823219.0	2	H	[90, 83, 85]
85	14	46889628.0	2	T	[84, 86]
86	14	46889629.0	3	H	[85, 87]
87	14	48066947.0	3	T	[88, 86]
88	14	48066948.0	2	H	[89, 87]
89	14	48283964.0	2	T	[88, 90]
90	14	48283965.0	2	H	[89, 91, 84]
91	14	106873281.0	2	T	[90]
92	15	17050954	2	H	[93]
93	15	63992120.0	2	T	[96, 92, 94]
94	15	63992121.0	1	H	[93, 95]
95	15	65320767.0	1	T	[96, 94]
96	15	65320768	2	H	[97, 93, 95]
97	15	101976508	2	T	[96]
98	16	0	2	H	[99]
99	16	90224751	2	T	[98]
100	17	0.0	2	H	[101]
101	17	75558989.5	2	T	[10, 100, 102]
102	17	75558990.5	2	H	[9, 101, 103]
103	17	77147378.0	2	T	[104, 12, 102]
104	17	77147379.0	2	H	[105, 11, 103]
105	17	83246392.0	2	T	[104]
106	18	0	2	H	[107]
107	18	80256374	2	T	[106]
108	19	0	2	H	[109]
109	19	58605715	2	T	[108]
110	20	0	2	H	[111]
111	20	64333718	2	T	[110]
112	21	0	2	H	[113]
113	21	46697230	2	T	[112]
114	22	0	2	H	[115]
115	22	50805587	2	T	[114]
116	23	11555	2	H	[117]
117	23	48520503.0	2	T	[116, 118]
118	23	48520504.0	3	H	[117, 119]
119	23	49599963.0	3	T	[120, 118]
120	23	49599964.0	3	H	[121, 119]
121	23	52380136.0	3	T	[120, 122]
122	23	52380137	2	H	[121, 123]
123	23	156025611	2	T	[122]
124	24	0	0	H	[125]
125	24	57212132	0	T	[124]
