chr	start	end	original_name	original_stain	band_base	Path	strand	chrom	bp	original_start	original_end	Updated_stain	centromere	iscn	sort_chrom	name	gieStain	delta	midpoint
Path1 : 1	1	248900106	q44	gneg	q44	Path1	+	1	True	243500000	248942320	gneg	0	Path1 : 1	1	q44	gneg	5442320	124450053.5
Path10 : 4	1	190202565	q35.1	gneg	q35	Path10	-	4	True	182300000	186200000	gpos25	0	Path10 : 4	4	q35	gneg	7902564	95101283.0
Path11 : 5	1	181472715	q35.3	gneg	q35	Path11	+	5	False	177100000	181472714	gneg	0	Path11 : 5	5	q35	gneg	12472714	90736358.0
Path12 : 5	1	181472715	q35.1	gneg	q35	Path12	-	5	True	169000000	173300000	gneg	0	Path12 : 5	5	q35	gneg	12472714	90736358.0
Path13 : 6	1	170739898	q27	gneg	q27	Path13	+	6	False	164100000	170739897	gneg	0	Path13 : 6	6	q27	gneg	6639897	85369949.5
Path14 : 6	1	170739898	q27	gneg	q27	Path14	-	6	False	164100000	170739897	gneg	0	Path14 : 6	6	q27	gneg	6639897	85369949.5
Path15 : 7	1	159334981	q36.3	gneg	q36	Path15	+	7	True	155200000	159334984	gneg	0	Path15 : 7	7	q36	gneg	11134983	79667491.0
Path16 : der(19)t(7;19)	1	47446378	q13.31	gneg	q13	Path16	-	19	True	42900000	44700000	gpos25	0	Path16 : (19;7)	19	q13.3	gneg	4546377	23723189.5
Path16 : der(19)t(7;19)	47446378	59037830	q36.1	gneg	q36	Path16	-	7	True	148200000	148702224	gneg	0	Path16 : (19;7)	19	q36	gneg	11134983	53242104.0
Path17 : 19	1	58605715	q13.43	gpos25	q13	Path17	+	19	True	55800000	58605715	gpos25	0	Path17 : 19	19	q13.4	gpos25	7705715	29302858.0
Path18 : der(7)t(7;19)	1	148702222	q36.1	gneg	q36	Path18	-	7	True	148200000	148702224	gneg	0	Path18 : (7;19)	7	q36	gneg	502224	74351111.5
Path18 : der(7)t(7;19)	148702222	159861559	q13.41	gpos25	q13	Path18	-	19	True	50900000	53100000	gpos25	0	Path18 : (7;19)	7	q13.4	gpos25	7705715	154281890.5
Path19 : 8	1	145000780	q24.3	gneg	q24	Path19	+	8	True	138900000	145074239	gpos50	0	Path19 : 8	8	q24.3	gneg	6174239	72500390.5
Path2 : 1	1	247128521	q44	gneg	q44	Path2	-	1	False	243500000	248942320	gneg	0	Path2 : 1	1	q44	gneg	5442320	123564261.0
Path20 : der(14)t(8;14)	1	34559753	q13.1	gneg	q13	Path20	-	14	True	32900000	34559753	gneg	0	Path20 : (8;14)	14	q13	gneg	1659753	17279877.0
Path20 : der(14)t(8;14)	34559753	99129902	q24.3	gneg	q24	Path20	-	8	False	138900000	145074239	gpos50	0	Path20 : (8;14)	14	q24.3	gneg	6174239	66844827.5
Path21 : der(14)t(8;14)	1	32899604	q12	gpos100	q12	Path21	+	14	False	24100000	32899603	gpos100	0	Path21 : (14;8)	14	q12	gpos75	8799603	16449802.5
Path21 : der(14)t(8;14)	32899604	34635662	q21.13	gpos75	q21	Path21	+	8	True	79662554	81398612	gpos75	0	Path21 : (14;8)	14	q21.1	gpos75	1736058	33767633.0
Path21 : der(14)t(8;14)	34635662	106949189	q32.33	gneg	q32	Path21	+	14	True	103500000	106873282	gneg	0	Path21 : (14;8)	14	q32	gneg	17573282	70792425.5
Path22 : der(18)t(14;18)	1	76248200	q23	gneg	q23	Path22	-	18	True	75400000	76248200	gneg	0	Path22 : (18;14)	18	q23	gneg	848200	38124100.5
Path22 : der(18)t(14;18)	76248200	105684497	q32.11	gneg	q32	Path22	-	14	True	89300000	91400000	gneg	0	Path22 : (18;14)	18	q32	gneg	17573282	90966348.5
Path23 : 18	1	80256373	q23	gneg	q23	Path23	+	18	True	76248201	80256374	gneg	0	Path23 : 18	18	q23	gneg	4856373	40128187.0
Path24 : der(8)t(8;14;18)	1	79596066	q21.11	gpos100	q21	Path24	-	8	True	72000000	74600000	gpos75	0	Path24 : (8;14;18)	8	q21.1	gpos75	7662553	39798033.5
Path24 : der(8)t(8;14;18)	79596066	124133445	q24.1	gneg	q24	Path24	-	14	True	67400000	69800000	gneg	0	Path24 : (8;14;18)	8	q24	gneg	10036984	101864755.5
Path24 : der(8)t(8;14;18)	124133445	129818297	q23	gneg	q23	Path24	-	18	True	75400000	76248200	gneg	0	Path24 : (8;14;18)	8	q23	gneg	4856373	126975871.0
Path25 : 9	1	138334465	q34.3	gneg	q34	Path25	+	9	False	134500000	138334464	gneg	0	Path25 : 9	9	q34	gneg	10834464	69167233.0
Path26 : 9	1	138334465	q34.11	gneg	q34	Path26	-	9	True	127500000	130600000	gneg	0	Path26 : 9	9	q34	gneg	10834464	69167233.0
Path27 : 11	1	135069564	q25	gneg	q25	Path27	+	11	True	130900000	135069565	gneg	0	Path27 : 11	11	q25	gneg	4169565	67534782.5
Path28 : 11	1	135069564	q25	gneg	q25	Path28	-	11	False	130900000	135069565	gneg	0	Path28 : 11	11	q25	gneg	4169565	67534782.5
Path29 : 12	1	133218391	q24.33	gneg	q24	Path29	+	12	True	128700000	133258008	gneg	0	Path29 : 12	12	q24.3	gneg	12958008	66609196.0
Path3 : 2	1	242181356	q37.3	gneg	q37	Path3	+	2	True	236400000	242181357	gneg	0	Path3 : 2	2	q37	gneg	12081357	121090678.5
Path30 : 12	1	134057969	q24.31	gneg	q24	Path30	-	12	True	120300000	125400000	gneg	0	Path30 : 12	12	q24.3	gneg	12958008	67028985.0
Path31 : 13	1	114352103	q34	gneg	q34	Path31	+	13	False	109600000	114352102	gneg	0	Path31 : 13	13	q34	gneg	4752102	57176052.0
Path32 : 13	1	114352103	q34	gneg	q34	Path32	-	13	False	109600000	114352102	gneg	0	Path32 : 13	13	q34	gneg	4752102	57176052.0
Path33 : 15	1	101976510	q26.3	gneg	q26	Path33	+	15	False	98000000	101976509	gneg	0	Path33 : 15	15	q26.3	gneg	3976509	50988255.5
Path34 : 15	1	101976510	q26.3	gneg	q26	Path34	-	15	False	98000000	101976509	gneg	0	Path34 : 15	15	q26.3	gneg	3976509	50988255.5
Path35 : 16	1	90224750	q24.3	gneg	q24	Path35	+	16	True	88700000	90224751	gneg	0	Path35 : 16	16	q24	gneg	6124751	45112375.5
Path36 : 16	1	90224750	q24.1	gneg	q24	Path36	-	16	True	84100000	87000000	gneg	0	Path36 : 16	16	q24	gneg	6124751	45112375.5
Path37 : 17	1	83246393	q25.3	gneg	q25	Path37	+	17	False	77200000	83246392	gneg	0	Path37 : 17	17	q25	gneg	10346392	41623197.0
Path38 : 17	1	83246393	q25.1	gneg	q25	Path38	-	17	True	72900000	76800000	gneg	0	Path38 : 17	17	q25	gneg	10346392	41623197.0
Path39 : 20	1	64333719	q13.33	gneg	q13	Path39	+	20	False	59700000	64333718	gneg	0	Path39 : 20	20	q13.3	gneg	7933718	32166860.0
Path4 : 10	1	133755536	q26.3	gneg	q26	Path4	+	10	True	128800000	133778994	gneg	0	Path4 : 10	10	q26	gneg	16474610	66877768.5
Path40 : 20	1	64333719	q13.31	gneg	q13	Path40	-	20	True	56400000	57800000	gneg	0	Path40 : 20	20	q13.3	gneg	7933718	32166860.0
Path41 : 21	1	46697231	q22.3	gneg	q22	Path41	+	21	False	41200000	46697230	gneg	0	Path41 : 21	21	q22	gneg	16497230	23348616.0
Path42 : 21	1	46697231	q22.11	gneg	q22	Path42	-	21	True	30200000	34400000	gneg	0	Path42 : 21	21	q22	gneg	16497230	23348616.0
Path43 : 22	1	50805588	q13.33	gneg	q13	Path43	+	22	False	49100000	50805587	gneg	0	Path43 : 22	22	q13	gneg	13605587	25402794.5
Path44 : 22	1	50805588	q13.1	gneg	q13	Path44	-	22	True	37200000	40600000	gneg	0	Path44 : 22	22	q13	gneg	13605587	25402794.5
Path45 : X	1	156025613	q28	gneg	q28	Path45	+	X	False	148000000	156025612	gneg	0	Path45 : X	23	q28	gneg	8025612	78012807.0
Path46 : X	1	156025613	q28	gneg	q28	Path46	-	X	False	148000000	156025612	gneg	0	Path46 : X	23	q28	gneg	8025612	78012807.0
Path5 : der(10)t(2;10)	1	77092872	q22.1	gneg	q22	Path5	-	10	True	68800000	73100000	gneg	0	Path5 : (10;2)	10	q22	gneg	8311945	38546436.5
Path5 : der(10)t(2;10)	77092872	77746441	p16.1	gpos100	p16	Path5	-	2	True	54917844	55571413	gpos100	0	Path5 : (10;2)	10	p16	gpos100	653569	77419656.5
Path5 : der(10)t(2;10)	77746441	136334958	q26.11	gneg	q26	Path5	-	10	True	117300000	119900000	gneg	0	Path5 : (10;2)	10	q26	gneg	18400463	107040699.5
Path6 : 2	1	242181356	q37.1	gneg	q37	Path6	-	2	True	230100000	234700000	gneg	0	Path6 : 2	2	q37	gneg	12081357	121090678.5
Path7 : 3	1	198175211	q29	gneg	q29	Path7	+	3	True	192600000	198217553	gneg	0	Path7 : 3	3	q29	gneg	5617553	99087606.0
Path8 : 3	1	199705693	q29	gneg	q29	Path8	-	3	False	192600000	198217553	gneg	0	Path8 : 3	3	q29	gneg	5617553	99852847.0
Path9 : 4	1	190202565	q35.2	gpos25	q35	Path9	+	4	False	186200000	190202564	gneg	0	Path9 : 4	4	q35	gneg	7902564	95101283.0
