chr	start	end	original_name	original_stain	band_base	Path	strand	chrom	bp	original_start	original_end	Updated_stain	centromere	iscn	sort_chrom	name	gieStain
Path1 : 1	1	7100001	p36.31	gneg	p36	Path1	+	1	False	5300000	7100000	gneg	0	Path1 : 1	1	p36.3	gneg
Path1 : 1	7100001	15900001	p36.21	gpos50	p36	Path1	+	1	False	12500000	15900000	gneg	0	Path1 : 1	1	p36.2	gpos50
Path1 : 1	15900001	27600001	p36.11	gneg	p36	Path1	+	1	False	23600000	27600000	gneg	0	Path1 : 1	1	p36.1	gneg
Path1 : 1	27600001	34300001	p35.1	gpos25	p35	Path1	+	1	False	32300000	34300000	gpos25	0	Path1 : 1	1	p35	gpos25
Path1 : 1	34300001	39600001	p34.3	gneg	p34	Path1	+	1	False	34300000	39600000	gneg	0	Path1 : 1	1	p34.3	gneg
Path1 : 1	39600001	43700001	p34.2	gpos25	p34	Path1	+	1	False	39600000	43700000	gneg	0	Path1 : 1	1	p34.2	gpos25
Path1 : 1	43700001	46300001	p34.1	gneg	p34	Path1	+	1	False	43700000	46300000	gneg	0	Path1 : 1	1	p34.1	gneg
Path1 : 1	46300001	50200001	p33	gpos75	p33	Path1	+	1	False	46300000	50200000	gpos75	0	Path1 : 1	1	p33	gpos75
Path1 : 1	50200001	60800001	p32.1	gneg	p32	Path1	+	1	False	58500000	60800000	gneg	0	Path1 : 1	1	p32	gneg
Path1 : 1	60800001	84400001	p31.1	gpos100	p31	Path1	+	1	False	69300000	84400000	gpos50	0	Path1 : 1	1	p31	gpos100
Path1 : 1	84400001	94300001	p22.1	gneg	p22	Path1	+	1	False	91500000	94300000	gneg	0	Path1 : 1	1	p22	gneg
Path1 : 1	94300001	106700001	p21.1	gpos100	p21	Path1	+	1	False	101800000	106700000	gpos75	0	Path1 : 1	1	p21	gpos100
Path1 : 1	106700001	117200001	p13.1	gneg	p13	Path1	+	1	False	115500000	117200000	gneg	0	Path1 : 1	1	p13	gneg
Path1 : 1	117200001	120400001	p12	gpos50	p12	Path1	+	1	False	117200000	120400000	gpos50	0	Path1 : 1	1	p12	gpos575
Path1 : 1	120400001	123400001	p11.1	acen	p11	Path1	+	1	False	121700000	123400000	acen	0	Path1 : 1	1	p11	acen
Path1 : 1	123400001	125100001	q11	acen	q11	Path1	+	1	False	123400000	125100000	acen	0	Path1 : 1	1	q11	acen
Path1 : 1	125100001	143200001	q12	gvar	q12	Path1	+	1	False	125100000	143200000	gvar	0	Path1 : 1	1	q12	gpos100
Path1 : 1	143200001	155100001	q21.3	gneg	q21	Path1	+	1	False	150600000	155100000	gneg	0	Path1 : 1	1	q21	gneg
Path1 : 1	155100001	156600001	q22	gpos50	q22	Path1	+	1	False	155100000	156600000	gpos50	0	Path1 : 1	1	q22	gpos25
Path1 : 1	156600001	165500001	q23.3	gneg	q23	Path1	+	1	False	160500000	165500000	gneg	0	Path1 : 1	1	q23	gneg
Path1 : 1	165500001	173000000	q24.3	gpos75	q24	Path1	+	1	True	170900000	173000000	gpos50	0	Path1 : 1	1	q24	gpos50
Path1 : 1	173000000	185799999	q25.3	gneg	q25	Path1	+	1	True	180300000	185800000	gneg	0	Path1 : 1	1	q25	gneg
Path1 : 1	185799999	198699999	q31.3	gpos100	q31	Path1	+	1	True	193800000	198700000	gpos100	0	Path1 : 1	1	q31	gpos100
Path1 : 1	198699999	214399999	q32.3	gneg	q32	Path1	+	1	True	211300000	214400000	gneg	0	Path1 : 1	1	q32	gneg
Path1 : 1	214399999	223899999	q41	gpos100	q41	Path1	+	1	True	214400000	223900000	gpos100	0	Path1 : 1	1	q41	gpos100
Path1 : 1	223899999	236399999	q42.3	gneg	q42	Path1	+	1	True	234600000	236400000	gneg	0	Path1 : 1	1	q42	gneg
Path1 : 1	236399999	243499999	q43	gpos75	q43	Path1	+	1	True	236400000	243500000	gpos75	0	Path1 : 1	1	q43	gpos100
Path1 : 1	243499999	248943332	q44	gneg	q44	Path1	+	1	True	243500000	248943333	gneg	0	Path1 : 1	1	q44	gneg
Path2 : 1	1	7100001	p36.33	gneg	p36	Path2	-	1	True	0	2300000	gneg	0	Path2 : 1	1	p36.3	gneg
Path2 : 1	7100001	15900001	p36.23	gpos25	p36	Path2	-	1	True	7100000	9100000	gneg	0	Path2 : 1	1	p36.2	gpos50
Path2 : 1	15900001	27600001	p36.13	gneg	p36	Path2	-	1	True	15900000	20100000	gneg	0	Path2 : 1	1	p36.1	gneg
Path2 : 1	27600001	34300001	p35.3	gpos25	p35	Path2	-	1	True	27600000	29900000	gpos25	0	Path2 : 1	1	p35	gpos25
Path2 : 1	34300001	39600001	p34.3	gneg	p34	Path2	-	1	True	34300000	39600000	gneg	0	Path2 : 1	1	p34.3	gneg
Path2 : 1	39600001	43700001	p34.2	gpos25	p34	Path2	-	1	True	39600000	43700000	gneg	0	Path2 : 1	1	p34.2	gpos25
Path2 : 1	43700001	46300001	p34.1	gneg	p34	Path2	-	1	True	43700000	46300000	gneg	0	Path2 : 1	1	p34.1	gneg
Path2 : 1	46300001	50200001	p33	gpos75	p33	Path2	-	1	True	46300000	50200000	gpos75	0	Path2 : 1	1	p33	gpos75
Path2 : 1	50200001	60800001	p32.3	gneg	p32	Path2	-	1	True	50200000	55600000	gneg	0	Path2 : 1	1	p32	gneg
Path2 : 1	60800001	84400001	p31.3	gpos50	p31	Path2	-	1	True	60800000	68500000	gpos100	0	Path2 : 1	1	p31	gpos100
Path2 : 1	84400001	94300001	p22.3	gneg	p22	Path2	-	1	True	84400000	87900000	gneg	0	Path2 : 1	1	p22	gneg
Path2 : 1	94300001	106700001	p21.3	gpos75	p21	Path2	-	1	True	94300000	99300000	gpos100	0	Path2 : 1	1	p21	gpos100
Path2 : 1	106700001	117200001	p13.3	gneg	p13	Path2	-	1	True	106700000	111200000	gneg	0	Path2 : 1	1	p13	gneg
Path2 : 1	117200001	120400001	p12	gpos50	p12	Path2	-	1	True	117200000	120400000	gpos50	0	Path2 : 1	1	p12	gpos575
Path2 : 1	120400001	123400001	p11.2	gneg	p11	Path2	-	1	True	120400000	121700000	acen	0	Path2 : 1	1	p11	acen
Path2 : 1	123400001	125100001	q11	acen	q11	Path2	-	1	True	123400000	125100000	acen	0	Path2 : 1	1	q11	acen
Path2 : 1	125100001	143200001	q12	gvar	q12	Path2	-	1	True	125100000	143200000	gvar	0	Path2 : 1	1	q12	gpos100
Path2 : 1	143200001	155100001	q21.1	gneg	q21	Path2	-	1	True	143200000	147500000	gneg	0	Path2 : 1	1	q21	gneg
Path2 : 1	155100001	156600001	q22	gpos50	q22	Path2	-	1	True	155100000	156600000	gpos50	0	Path2 : 1	1	q22	gpos25
Path2 : 1	156600001	165500001	q23.1	gneg	q23	Path2	-	1	True	156600000	159100000	gneg	0	Path2 : 1	1	q23	gneg
Path2 : 1	165500001	166521146	q24.1	gpos50	q24	Path2	-	1	True	165500000	166521145	gpos50	0	Path2 : 1	1	q24	gpos50
Path2 : 1	166521146	167252493	q25.1	gneg	q25	Path2	+	1	True	173000000	173731347	gneg	0	Path2 : 1	1	q25	gneg
Path2 : 1	167252493	173731347	q24.3	gpos75	q24	Path2	+	1	True	170900000	173000000	gpos50	0	Path2 : 1	1	q24	gpos50
