23X_15q26_overgrowth_r1.1.txt
chr_bin: Chr2-no centromere, path_name: Path3, segment_chr: Chr2 Chr2 Chr2 Chr2 Chr2 Chr2 Chr2 
chr_bin: Chr2-no centromere, path_name: Path4, segment_chr: Chr2 Chr2 Chr2 
chr_bin: Chr13-multiple centromere: Chr13 Chr13 , path_name: Path25, segment_chr: Chr13 Chr13 Chr13 Chr13 Chr13 Chr13 Chr13 Chr13 Chr13 
chr_bin: Chr15-no centromere, path_name: Path28, segment_chr: Chr15 Chr15 Chr15 Chr15 Chr15 Chr15 Chr15 Chr15 
chr_bin: Chr15-no centromere, path_name: Path29, segment_chr: Chr15 Chr15 Chr15 Chr15 Chr15 Chr15 Chr15 Chr15 
(Chr2, 241879153, 242175920, arm_region, 8+)
(Chr2, 92188146, 93877125, arm_region, 4+)
(Chr2, 22064, 92188145, arm_region, 4+)
(Chr3, 32379199, 32381429, arm_region, 12+)
(Chr3, 29280414, 32379198, arm_region, 12+)
(Chr3, 29279206, 29280413, arm_region, 12+)
(Chr3, 29280414, 32379198, arm_region, 10+)
(Chr6, 170737420, 170745978, arm_region, 25+)
(Chr6, 170071634, 170737419, arm_region, 25+)
(Chr6, 170070789, 170071633, arm_region, 25+)
(Chr6, 163876869, 170070788, arm_region, 25+)
(Chr6, 163874104, 163876868, arm_region, 25+)
(Chr6, 163787260, 163874103, arm_region, 25+)
(Chr6, 170071634, 170737419, arm_region, 19+)
(Chr6, 163876869, 170070788, arm_region, 18+)
(Chr6, 163787260, 163874103, arm_region, 17+)
(Chr6, 163785222, 163787259, arm_region, 17+)
(Chr11, 116015521, 120314791, arm_region, 38+)
(Chr11, 120314792, 120316431, arm_region, 30+)
(Chr11, 116015521, 120314791, arm_region, 30+)
(Chr11, 116012930, 116015520, arm_region, 30+)
(Chr13, 114352103, 114354327, arm_region, 46+)
(Chr13, 105338052, 114352102, arm_region, 46+)
(Chr13, 105338052, 114352102, arm_region, 34+)
(Chr13, 105337629, 105338051, arm_region, 34+)
(Chr13, 52163585, 105337628, arm_region, 33+)
