Segments,smap_id,q_id,ref_c_id1,ref_c_id2,ref_start,ref_end,confidence,sv_type,size,VAF,Paths
Segment 2,81,1322,1,1,40523789.0,41936520.0,1.0,inversion,303117.0,0,[]
Segment 2,79,1321,1,1,40523789.0,41936520.0,1.0,inversion,303117.0,0,[]
Segment 4,81,1322,1,1,40523789.0,41936520.0,1.0,inversion,303117.0,0,['Path 5']
Segment 4,157,1050,1,1,147055820.0,148404176.0,0.99,deletion,1349364.2,0,[]
Segment 4,79,1321,1,1,40523789.0,41936520.0,1.0,inversion,303117.0,0,[]
Segment 6,157,1050,1,1,147055820.0,148404176.0,0.99,deletion,1349364.2,0,['Path 5']
Segment 6,214,281,1,8,185954042.0,32875965.0,0.07,translocation_interchr,-1.0,0,[]
Segment 8,318,82,2,11,17104876.0,73799268.0,0.12,translocation_interchr,-1.0,0,[]
Segment 8,317,82,2,2,17104876.0,18276181.0,0.99,insertion,658015.7,0,[]
Segment 8,302,81,2,2,17104876.0,18276181.0,0.99,insertion,658015.6,0,[]
Segment 8,303,81,2,11,17104876.0,73799268.0,0.48,translocation_interchr,-1.0,0,[]
Segment 9,320,351,2,11,17111367.0,73784783.5,0.08,translocation_interchr,-1.0,0,['Path 8']
Segment 9,321,351,2,11,18276181.0,75620387.0,0.83,translocation_interchr,-1.0,0,[]
Segment 9,324,352,2,11,17111367.0,73784783.5,0.15,translocation_interchr,-1.0,0,[]
Segment 9,325,352,2,11,18276181.0,75620387.0,0.34,translocation_interchr,-1.0,0,[]
Segment 10,409,82,2,11,18276181.0,75620387.0,0.21,translocation_interchr,-1.0,0,['Path 7']
Segment 10,365,81,2,11,18276181.0,75620387.0,0.5,translocation_interchr,-1.0,0,[]
Segment 10,317,82,2,2,17104876.0,18276181.0,0.99,insertion,658015.7,0,[]
Segment 10,302,81,2,2,17104876.0,18276181.0,0.99,insertion,658015.6,0,[]
Segment 11,578,1381,2,2,167593132.0,169252765.0,-1.0,duplication_split,1722561.0,0,"['Path 6', 'Path 7', 'Path 7', 'Path 7']"
Segment 11,579,1382,2,2,167593132.0,169252765.0,-1.0,duplication_split,1722561.0,0,[]
Segment 13,693,1442,3,9,13062759.0,84188185.0,0.34,translocation_interchr,-1.0,0,[]
Segment 13,694,1441,3,9,13062759.0,84188185.0,0.74,translocation_interchr,-1.0,0,[]
Segment 14,695,1280,3,9,13098379.0,84960052.0,0.85,translocation_interchr,-1.0,0,['Path 5']
Segment 15,853,1260,3,3,122760083.0,124576454.0,1.0,inversion,302780.0,0,[]
Segment 18,853,1260,3,3,122760083.0,124576454.0,1.0,inversion,302780.0,0,[]
Segment 19,935,131,4,4,82336357.0,82929518.0,0.99,deletion,547549.3,0,[]
Segment 21,935,131,4,4,82336357.0,82929518.0,0.99,deletion,547549.3,0,['Path 10']
Segment 24,1553,1401,6,6,72933242.0,74143806.0,0.73,inversion,303219.0,0,[]
Segment 24,1555,1402,6,6,72933242.0,74143806.0,0.91,inversion,303219.0,0,[]
Segment 26,1553,1401,6,6,72933242.0,74143806.0,0.73,inversion,303219.0,0,['Path 14']
Segment 26,1555,1402,6,6,72933242.0,74143806.0,0.91,inversion,303219.0,0,[]
Segment 29,214,281,1,8,185954042.0,32875965.0,0.07,translocation_interchr,-1.0,0,['Path 5']
Segment 30,1850,710,8,9,82535852.0,28058760.0,0.34,translocation_interchr,-1.0,0,[]
Segment 30,1852,1230,8,9,81261655.0,28056026.0,0.7,translocation_interchr,-1.0,0,[]
Segment 32,1852,1230,8,9,81261655.0,28056026.0,0.7,translocation_interchr,-1.0,0,[]
Segment 33,1850,710,8,9,82535852.0,28058760.0,0.34,translocation_interchr,-1.0,0,['Path 5']
Segment 34,693,1442,3,9,13062759.0,84188185.0,0.34,translocation_interchr,-1.0,0,[]
Segment 34,694,1441,3,9,13062759.0,84188185.0,0.74,translocation_interchr,-1.0,0,[]
Segment 34,695,1280,3,9,13098379.0,84960052.0,0.85,translocation_interchr,-1.0,0,[]
Segment 36,2185,1301,10,10,46991592.0,48060267.0,0.93,inversion,189840.5,0,[]
Segment 36,2183,1302,10,10,46991592.0,48060267.0,0.95,inversion,189840.5,0,[]
Segment 37,2185,1301,10,10,46991592.0,48060267.0,0.93,inversion,189840.5,0,['Path 18']
Segment 37,2188,1240,10,10,46991592.0,48060267.0,0.96,inversion,221628.0,0,[]
Segment 37,2183,1302,10,10,46991592.0,48060267.0,0.95,inversion,189840.5,0,[]
Segment 38,2188,1240,10,10,46991592.0,48060267.0,0.96,inversion,221628.0,0,['Path 18']
Segment 39,320,351,2,11,17111367.0,73784783.5,0.08,translocation_interchr,-1.0,0,['Path 8']
Segment 39,324,352,2,11,17111367.0,73784783.5,0.15,translocation_interchr,-1.0,0,[]
Segment 40,409,82,2,11,18276181.0,75620387.0,0.21,translocation_interchr,-1.0,0,[]
Segment 40,365,81,2,11,18276181.0,75620387.0,0.5,translocation_interchr,-1.0,0,[]
Segment 40,318,82,2,11,17104876.0,73799268.0,0.12,translocation_interchr,-1.0,0,[]
Segment 40,303,81,2,11,17104876.0,73799268.0,0.48,translocation_interchr,-1.0,0,[]
Segment 41,321,351,2,11,18276181.0,75620387.0,0.83,translocation_interchr,-1.0,0,[]
Segment 41,325,352,2,11,18276181.0,75620387.0,0.34,translocation_interchr,-1.0,0,[]
Segment 42,2538,62,12,12,63786531.0,65434069.0,1.0,inversion,1645398.0,0,[]
Segment 42,2515,61,12,12,63786531.0,65434069.0,1.0,inversion,1645398.0,0,[]
Segment 43,2538,62,12,12,63786531.0,65434069.0,1.0,inversion,1645398.0,0,['Path 20']
Segment 43,2515,61,12,12,63786531.0,65434069.0,1.0,inversion,1645398.0,0,[]
Segment 43,2541,61,12,12,63788671.0,65437243.0,1.0,inversion,1645398.0,0,[]
Segment 43,2543,62,12,12,63788671.0,65437243.0,1.0,inversion,1645398.0,0,[]
Segment 44,2541,61,12,12,63788671.0,65437243.0,1.0,inversion,1645398.0,0,['Path 20']
Segment 44,2543,62,12,12,63788671.0,65437243.0,1.0,inversion,1645398.0,0,[]
Segment 46,2801,1370,13,13,50480710.0,50993749.0,-1.0,duplication_split,513856.0,0,"['Path 21', 'Path 22', 'Path 22', 'Path 22']"
Segment 49,2945,141,15,15,63471437.0,65417718.0,1.0,inversion,1944556.0,0,[]
