index	origin	start	end
1	Chr1	10000	122026459
CEN1	Chr1	122026460	125184587
2	Chr1	125184588	248946421
3	Chr2	10000	25695810
4	Chr2	25695811	31128106
5	Chr2	31128107	92188145
CEN2	Chr2	92188146	94090557
6	Chr2	94090558	242183528
7	Chr3	10000	90772458
CEN3	Chr3	90772459	93655574
8	Chr3	93655575	108388255
9	Chr3	108388256	114852144
10	Chr3	114852145	198235558
11	Chr4	10000	49708100
CEN4	Chr4	49708101	51743951
12	Chr4	51743952	170149688
13	Chr4	170149689	175681415
14	Chr4	175681416	190204554
15	Chr5	10000	46485900
CEN5	Chr5	46485901	50059807
16	Chr5	50059808	181478258
17	Chr6	60000	58553888
CEN6	Chr6	58553889	59829934
18	Chr6	59829935	170745978
19	Chr7	10000	58169653
CEN7	Chr7	58169654	60828234
20	Chr7	60828235	159335972
21	Chr8	60000	44033744
CEN8	Chr8	44033745	45877265
22	Chr8	45877266	145078635
23	Chr9	10000	43236167
CEN9	Chr9	43236168	45518558
24	Chr9	45518559	138334716
25	Chr10	10000	13741327
26	Chr10	13741328	18027586
27	Chr10	18027587	24033955
28	Chr10	24033956	28516125
29	Chr10	28516126	32949994
30	Chr10	32949995	35702038
31	Chr10	35702039	39686682
CEN10	Chr10	39686683	41593521
32	Chr10	41593522	97828529
33	Chr10	97828530	103927224
34	Chr10	103927225	105972501
35	Chr10	105972502	113677265
36	Chr10	113677266	133787421
37	Chr11	60000	31784790
38	Chr11	31784791	32435541
39	Chr11	32435542	39559053
40	Chr11	39559054	39559054
41	Chr11	39559055	51078348
CEN11	Chr11	51078349	54425074
42	Chr11	54425075	135076621
43	Chr12	10000	34769407
CEN12	Chr12	34769408	37185252
44	Chr12	37185253	133265308
45	Chr13	16000000	16000000
CEN13	Chr13	16000001	18051248
46	Chr13	18051249	114354327
47	Chr14	16000000	16000000
CEN14	Chr14	16000001	18173523
48	Chr14	18173524	106883717
49	Chr15	17000000	17000000
CEN15	Chr15	17000001	19725254
50	Chr15	19725255	87770988
51	Chr15	87770989	92852477
52	Chr15	92852478	101981188
53	Chr16	10000	36311158
CEN16	Chr16	36311159	38280682
54	Chr16	38280683	90228344
55	Chr17	60000	22813679
CEN17	Chr17	22813680	26885980
56	Chr17	26885981	83247440
57	Chr18	10000	15460899
CEN18	Chr18	15460900	20861206
58	Chr18	20861207	32377722
59	Chr18	32377723	38879637
60	Chr18	38879638	49269791
61	Chr18	49269792	54715824
62	Chr18	54715825	80263284
63	Chr19	60000	24498980
CEN19	Chr19	24498981	27190874
64	Chr19	27190875	58607615
65	Chr20	60000	26436232
CEN20	Chr20	26436233	30038348
66	Chr20	30038349	64334166
67	Chr21	5010000	10864560
CEN21	Chr21	10864561	12915808
68	Chr21	12915809	46699982
69	Chr22	10510000	12954788
CEN22	Chr22	12954789	15054318
70	Chr22	15054319	50808467
71	ChrX	10000	58605579
CENX	ChrX	58605580	62412542
72	ChrX	62412543	156030894
73	ChrY	10000	10316944
CENY	ChrY	10316945	10544039
74	ChrY	10544040	57217414
---
chromosome	KT	telo1_len	telo2_len
Chr1a	1+,CEN1+,2+	10000	10000
Chr1b	1+,CEN1+,2+	10000	10000
Chr2a	3+,5+,CEN2+,6+	10000	10000
Chr2b	3+,4+,5+,CEN2+,6+	10000	10000
Chr3a	7+,CEN3+,8+,9-,9+,10+	10000	60000
Chr3b	7+,CEN3+,8+,9+,10+	10000	60000
Chr4a	11+,CEN4+,12+,14+	10000	10000
Chr4b	11+,CEN4+,12+,13+,14+	10000	10000
Chr5a	15+,CEN5+,16+	10000	60000
Chr5b	15+,CEN5+,16+	10000	60000
Chr6a	17+,CEN6+,18+	60000	60000
Chr6b	17+,CEN6+,18+	60000	60000
Chr7a	19+,CEN7+,20+	10000	10000
Chr7b	19+,CEN7+,20+	10000	10000
Chr8a	21+,CEN8+,22+	60000	60000
Chr8b	21+,CEN8+,22+	60000	60000
Chr9a	23+,CEN9+,24+	10000	60000
Chr9b	23+,CEN9+,24+	10000	60000
Chr10a	25+,35+,27+,28-,29+,33+,31+,CEN10+,32+,30+,34+,26+,36+	10000	10000
Chr10b	25+,26+,27+,28+,29+,30+,31+,CEN10+,32+,33+,34+,35+,36+	10000	10000
Chr11a	37+,39+,13+,40+,41+,CEN11+,42+	60000	10000
Chr11b	37+,38+,39+,40+,41+,CEN11+,42+	60000	10000
Chr12a	43+,CEN12+,44+	10000	10000
Chr12b	43+,CEN12+,44+	10000	10000
Chr13a	45+,CEN13+,46+	16000000	10000
Chr13b	45+,CEN13+,46+	16000000	10000
Chr14a	47+,CEN14+,48+	16000000	160000
Chr14b	47+,CEN14+,48+	16000000	160000
Chr15a	49+,CEN15+,50+,51-,52+	17000000	10000
Chr15b	49+,CEN15+,50+,51+,52+	17000000	10000
Chr16a	53+,CEN16+,54+	10000	110000
Chr16b	53+,CEN16+,54+	10000	110000
Chr17a	55+,CEN17+,56+	60000	10000
Chr17b	55+,CEN17+,56+	60000	10000
Chr18a	57+,CEN18+,58+,59-,60+,61-,62+	10000	110000
Chr18b	57+,CEN18+,58+,59+,60+,61+,62+	10000	110000
Chr19a	63+,CEN19+,64+	60000	10000
Chr19b	63+,CEN19+,64+	60000	10000
Chr20a	65+,CEN20+,66+	60000	110000
Chr20b	65+,CEN20+,66+	60000	110000
Chr21a	67+,CEN21+,68+	5010000	10000
Chr21b	67+,CEN21+,68+	5010000	10000
Chr21c	67+,CEN21+,68+	5010000	10000
Chr22a	69+,CEN22+,70+	10510000	10000
Chr22b	69+,CEN22+,70+	10510000	10000
ChrXa	71+,CENX+,72+	10000	10000
ChrYa	73+,CENY+,74+	10000	10000
---
initialization
	autosomes: ['Chr1', 'Chr2', 'Chr3', 'Chr4', 'Chr5', 'Chr6', 'Chr7', 'Chr8', 'Chr9', 'Chr10', 'Chr11', 'Chr12', 'Chr13', 'Chr14', 'Chr15', 'Chr16', 'Chr17', 'Chr18', 'Chr19', 'Chr20', 'Chr21', 'Chr22']
	autosomal copy number: 1
	sex chromosomes: ['ChrY']
block 1: WAGR_11p13_deletion
	deletion on segments [38+], from Chr11a to Chr11a
block 2: random events
	inversion on segments [59+], from Chr18a to Chr18a
	inversion on segments [51+], from Chr15a to Chr15a
	inversion on segments [61+], from Chr18a to Chr18a
	inversion on segments [28+], from Chr10a to Chr10a
	left duplication inversion on segments [9+], from Chr3a to Chr3a
	nonreciprocal translocation on segments [13+], from Chr4a to Chr11a
	balanced reciprocal translocation on segments [30+], from Chr10a to Chr10a
	balanced reciprocal translocation on segments [33+], from Chr10a to Chr10a
	chromosomal duplication on segments [67+,CEN21+,68+], from Chr21a to Chr21a
	deletion on segments [4+], from Chr2a to Chr2a
	balanced reciprocal translocation on segments [35+], from Chr10a to Chr10a
	balanced reciprocal translocation on segments [26+], from Chr10a to Chr10a
