chr	start	end	original_name	original_stain	band_base	Path	strand	chrom	bp	original_start	original_end	Updated_stain	centromere	iscn	sort_chrom	name	gieStain	delta	midpoint
Path1 : 1	1	248943334	q44	gneg	q44	Path1	+	1	False	243500000	248943333	gneg	0	Path1 : 1	1	q44	gneg	5443333	124471667.5
Path10 : 5	1	181472715	q35.1	gneg	q35	Path10	-	5	True	169000000	173300000	gneg	0	Path10 : 5	5	q35	gneg	12472714	90736358.0
Path11 : 6	1	170739898	q27	gneg	q27	Path11	+	6	False	164100000	170739897	gneg	0	Path11 : 6	6	q27	gneg	6639897	85369949.5
Path12 : 6	1	170739898	q27	gneg	q27	Path12	-	6	False	164100000	170739897	gneg	0	Path12 : 6	6	q27	gneg	6639897	85369949.5
Path13 : 7	1	159334985	q36.3	gneg	q36	Path13	+	7	False	155200000	159334984	gneg	0	Path13 : 7	7	q36	gneg	11134984	79667493.0
Path14 : 7	1	159334985	q36.1	gneg	q36	Path14	-	7	True	148200000	152800000	gneg	0	Path14 : 7	7	q36	gneg	11134984	79667493.0
Path15 : 8	1	145076126	q24.3	gneg	q24	Path15	+	8	False	138900000	145076125	gneg	0	Path15 : 8	8	q24.3	gneg	6176125	72538063.5
Path16 : 8	1	145076126	q24.3	gneg	q24	Path16	-	8	False	138900000	145076125	gneg	0	Path16 : 8	8	q24.3	gneg	6176125	72538063.5
Path17 : 9	1	138226781	q34.3	gneg	q34	Path17	+	9	True	134500000	138326093	gneg	0	Path17 : 9	9	q34	gneg	10817431	69113391.0
Path18 : 9	1	207711559	q34.11	gneg	q34	Path18	-	9	True	127500000	130600000	gneg	0	Path18 : 9	9	q34	gneg	10817431	103855780.0
Path19 : 10	1	132640460	q26.3	gneg	q26	Path19	+	10	True	133571442	133778994	gneg	0	Path19 : 10	10	q26	gneg	16475140	66320230.5
Path2 : 1	1	248943334	q44	gneg	q44	Path2	-	1	False	243500000	248943333	gneg	0	Path2 : 1	1	q44	gneg	5443333	124471667.5
Path20 : 10	1	39796300	p15.3	gneg	p15	Path20	-	10	True	19074	3000000	gneg	0	Path20 : 10	10	p15	gneg	6580926	19898150.5
Path21 : 11	1	134988925	q25	gneg	q25	Path21	+	11	True	130900000	135068991	gneg	0	Path21 : 11	11	q25	gneg	4168991	67494463.0
Path22 : der(20)t(11;20)	1	46564167	q13.11	gneg	q13	Path22	-	20	True	43100000	43500000	gpos25	0	Path22 : (20;11)	20	q13.1	gneg	3464167	23282084.0
Path22 : der(20)t(11;20)	46564167	54623678	q25	gneg	q25	Path22	-	11	False	130900000	135068991	gneg	0	Path22 : (20;11)	20	q25	gneg	4168991	50593922.5
Path23 : der(20)t(11;20)	1	42464978	q12	gpos75	q12	Path23	+	20	False	39000000	42464977	gpos75	0	Path23 : (20;11)	20	q12	gpos75	3464977	21232489.5
Path23 : der(20)t(11;20)	42464978	44765540	q24.2	gneg	q24	Path23	+	11	True	124708917	127009479	gneg	0	Path23 : (20;11)	20	q24	gpos25	2300562	43615259.0
