index	origin	start	end
1	Chr1	10000	25607463
2	Chr1	25607464	26954981
3	Chr1	26954982	122026459
CEN1	Chr1	122026460	125184587
4	Chr1	125184588	147061831
5	Chr1	147061832	148411223
6	Chr1	148411224	244453571
7	Chr1	244453572	245922898
8	Chr1	245922899	248946421
9	Chr2	10000	56056558
10	Chr2	56056559	57867224
11	Chr2	57867225	92188145
CEN2	Chr2	92188146	94090557
12	Chr2	94090558	103331144
13	Chr2	103331145	104207320
14	Chr2	104207321	230791698
15	Chr2	230791699	231492540
16	Chr2	231492541	242183528
17	Chr3	10000	920792
18	Chr3	920793	63315210
19	Chr3	63315211	64226003
20	Chr3	64226004	66004585
21	Chr3	66004586	67187237
22	Chr3	67187238	90772458
CEN3	Chr3	90772459	93655574
23	Chr3	93655575	198235558
24	Chr4	10000	1767590
25	Chr4	1767591	32955891
26	Chr4	32955892	34713482
27	Chr4	34713483	49708100
CEN4	Chr4	49708101	51743951
28	Chr4	51743952	108043766
29	Chr4	108043767	109512825
30	Chr4	109512826	190204554
31	Chr5	10000	46485900
CEN5	Chr5	46485901	50059807
32	Chr5	50059808	146337778
33	Chr5	146337779	147064545
34	Chr5	147064546	181478258
35	Chr6	60000	58553888
CEN6	Chr6	58553889	59829934
36	Chr6	59829935	86635943
37	Chr6	86635944	87877725
38	Chr6	87877726	170745978
39	Chr7	10000	58169653
CEN7	Chr7	58169654	60828234
40	Chr7	60828235	136595402
41	Chr7	136595403	138464887
42	Chr7	138464888	145652549
43	Chr7	145652550	147568124
44	Chr7	147568125	159335972
45	Chr8	60000	44033744
CEN8	Chr8	44033745	45877265
46	Chr8	45877266	145078635
47	Chr9	10000	2378515
48	Chr9	2378516	4098614
49	Chr9	4098615	43236167
CEN9	Chr9	43236168	45518558
50	Chr9	45518559	138334716
51	Chr10	10000	39686682
CEN10	Chr10	39686683	41593521
52	Chr10	41593522	133787421
53	Chr11	60000	51078348
CEN11	Chr11	51078349	54425074
54	Chr11	54425075	135076621
55	Chr12	10000	34769407
CEN12	Chr12	34769408	37185252
56	Chr12	37185253	57567889
57	Chr12	57567890	58735172
58	Chr12	58735173	133265308
59	Chr13	16000000	16000000
CEN13	Chr13	16000001	18051248
60	Chr13	18051249	21069881
61	Chr13	21069882	22277067
62	Chr13	22277068	96142258
63	Chr13	96142259	98112457
64	Chr13	98112458	114354327
65	Chr14	16000000	16000000
CEN14	Chr14	16000001	18173523
66	Chr14	18173524	106883717
67	Chr15	17000000	17000000
CEN15	Chr15	17000001	19725254
68	Chr15	19725255	101981188
69	Chr16	10000	23587434
70	Chr16	23587435	24954399
71	Chr16	24954400	36311158
CEN16	Chr16	36311159	38280682
72	Chr16	38280683	60138753
73	Chr16	60138754	60751429
74	Chr16	60751430	90228344
75	Chr17	60000	22813679
CEN17	Chr17	22813680	26885980
76	Chr17	26885981	83247440
77	Chr18	10000	15460899
CEN18	Chr18	15460900	20861206
78	Chr18	20861207	80263284
79	Chr19	60000	24498980
CEN19	Chr19	24498981	27190874
80	Chr19	27190875	58607615
81	Chr20	60000	26436232
CEN20	Chr20	26436233	30038348
82	Chr20	30038349	64334166
83	Chr21	5010000	10864560
CEN21	Chr21	10864561	12915808
84	Chr21	12915809	46699982
85	Chr22	10510000	12954788
CEN22	Chr22	12954789	15054318
86	Chr22	15054319	50808467
87	ChrX	10000	58605579
CENX	ChrX	58605580	62412542
88	ChrX	62412543	156030894
---
chromosome	KT	telo1_len	telo2_len
Chr1a	1+,2-,3+,CEN1+,4+,5+,5+,6+,41+,8+	10000	10000
Chr2a	9+,61+,11+,CEN2+,12+,43+,14+,15+,15+,16+	10000	10000
Chr3a	17-,17+,18+,19+,20+,22+,CEN3+,23+	10000	60000
Chr4a	24+,24-,25+,26+,27+,CEN4+,28+,29+,29-,30+	10000	10000
Chr5a	31+,CEN5+,32+,73+,34+	10000	60000
Chr6a	35+,CEN6+,36+,37-,38+	60000	60000
Chr7a	39+,CEN7+,40+,7+,42+,13+,44+	10000	10000
Chr8a	45+,CEN8+,46+	60000	60000
Chr9a	47+,48-,49+,CEN9+,50+	10000	60000
Chr10a	51+,CEN10+,52+	10000	10000
Chr11a	53+,CEN11+,54+	60000	10000
Chr12a	55+,CEN12+,56+,57-,57+,58+	10000	10000
Chr13a	59+,CEN13+,60+,10+,62+,63+,63+,64+	16000000	10000
Chr14a	65+,CEN14+,66+	16000000	160000
Chr15a	67+,CEN15+,68+	17000000	10000
Chr16a	69+,70-,71+,CEN16+,72+,33+,74+	10000	110000
Chr17a	75+,CEN17+,76+	60000	10000
Chr18a	77+,CEN18+,78+	10000	110000
Chr19a	79+,CEN19+,80+	60000	10000
Chr20a	81+,CEN20+,82+	60000	110000
Chr21a	83+,CEN21+,84+	5010000	10000
Chr22a	85+,CEN22+,86+	10510000	10000
ChrXa	87+,CENX+,88+	10000	10000
---
initialization
	autosomes: ['Chr1', 'Chr2', 'Chr3', 'Chr4', 'Chr5', 'Chr6', 'Chr7', 'Chr8', 'Chr9', 'Chr10', 'Chr11', 'Chr12', 'Chr13', 'Chr14', 'Chr15', 'Chr16', 'Chr17', 'Chr18', 'Chr19', 'Chr20', 'Chr21', 'Chr22']
	autosomal copy number: 1
	sex chromosomes: ['ChrX']
block 1: 1q21_recurrent_microduplication
	tandem_duplication on segments [5+], from Chr1a to Chr1a
block 2: random events
	tandem duplication on segments [63+], from Chr13a to Chr13a
	inversion on segments [2+], from Chr1a to Chr1a
	inversion on segments [37+], from Chr6a to Chr6a
	inversion on segments [70+], from Chr16a to Chr16a
	right duplication inversion on segments [29+], from Chr4a to Chr4a
	deletion on segments [21+], from Chr3a to Chr3a
	balanced reciprocal translocation on segments [43+], from Chr7a to Chr2a
	balanced reciprocal translocation on segments [13+], from Chr2a to Chr7a
	inversion on segments [48+], from Chr9a to Chr9a
	balanced reciprocal translocation on segments [10+], from Chr2a to Chr13a
	balanced reciprocal translocation on segments [61+], from Chr13a to Chr2a
	left duplication inversion on segments [57+], from Chr12a to Chr12a
	balanced reciprocal translocation on segments [41+], from Chr7a to Chr1a
	balanced reciprocal translocation on segments [7+], from Chr1a to Chr7a
	right duplication inversion on segments [24+], from Chr4a to Chr4a
	left duplication inversion on segments [17+], from Chr3a to Chr3a
	balanced reciprocal translocation on segments [33+], from Chr5a to Chr16a
	balanced reciprocal translocation on segments [73+], from Chr16a to Chr5a
	tandem duplication on segments [15+], from Chr2a to Chr2a
