index	origin	start	end
1	Chr1	10000	122026459
CEN1	Chr1	122026460	125184587
2	Chr1	125184588	188403952
3	Chr1	188403953	193844363
4	Chr1	193844364	243506011
5	Chr1	243506012	248946421
6	Chr2	10000	59058560
7	Chr2	59058561	61592680
8	Chr2	61592681	92188145
CEN2	Chr2	92188146	94090557
9	Chr2	94090558	186974005
10	Chr2	186974006	193411936
11	Chr2	193411937	242183528
12	Chr3	10000	90772458
CEN3	Chr3	90772459	93655574
13	Chr3	93655575	198235558
14	Chr4	10000	49708100
CEN4	Chr4	49708101	51743951
15	Chr4	51743952	146923027
16	Chr4	146923028	154585755
17	Chr4	154585756	182541827
18	Chr4	182541828	190204554
19	Chr5	10000	46485900
CEN5	Chr5	46485901	50059807
20	Chr5	50059808	85913775
21	Chr5	85913776	89574681
22	Chr5	89574682	97332629
23	Chr5	97332630	97332630
24	Chr5	97332631	177817353
25	Chr5	177817354	181478258
26	Chr6	60000	58553888
CEN6	Chr6	58553889	59829934
27	Chr6	59829935	84457360
28	Chr6	84457361	87969847
29	Chr6	87969848	89879366
30	Chr6	89879367	90471160
31	Chr6	90471161	170745978
32	Chr7	10000	12444686
33	Chr7	12444687	17965377
34	Chr7	17965378	58169653
CEN7	Chr7	58169654	60828234
35	Chr7	60828235	109894614
36	Chr7	109894615	118108790
37	Chr7	118108791	129387251
38	Chr7	129387252	136038690
39	Chr7	136038691	159335972
40	Chr8	60000	44033744
CEN8	Chr8	44033745	45877265
41	Chr8	45877266	145078635
42	Chr9	10000	43236167
CEN9	Chr9	43236168	45518558
43	Chr9	45518559	138334716
44	Chr10	10000	39686682
CEN10	Chr10	39686683	41593521
45	Chr10	41593522	105454456
46	Chr10	105454457	108908140
47	Chr10	108908141	133787421
48	Chr11	60000	51078348
CEN11	Chr11	51078349	54425074
49	Chr11	54425075	135076621
50	Chr12	10000	34769407
CEN12	Chr12	34769408	37185252
51	Chr12	37185253	49331911
52	Chr12	49331912	49331912
53	Chr12	49331913	133265308
54	Chr13	16000000	16000000
CEN13	Chr13	16000001	18051248
55	Chr13	18051249	114354327
56	Chr14	16000000	16000000
CEN14	Chr14	16000001	18173523
57	Chr14	18173524	67602934
58	Chr14	67602935	67602935
59	Chr14	67602936	106883717
60	Chr15	17000000	17000000
CEN15	Chr15	17000001	19725254
61	Chr15	19725255	101981188
62	Chr16	10000	36311158
CEN16	Chr16	36311159	38280682
63	Chr16	38280683	90228344
64	Chr17	60000	22813679
CEN17	Chr17	22813680	26885980
65	Chr17	26885981	83247440
66	Chr18	10000	15460899
CEN18	Chr18	15460900	20861206
67	Chr18	20861207	62930622
68	Chr18	62930623	70299406
69	Chr18	70299407	80263284
70	Chr19	60000	24498980
CEN19	Chr19	24498981	27190874
71	Chr19	27190875	58607615
72	Chr20	60000	26436232
CEN20	Chr20	26436233	30038348
73	Chr20	30038349	64334166
74	Chr21	5010000	10864560
CEN21	Chr21	10864561	12915808
75	Chr21	12915809	46699982
76	Chr22	10510000	12954788
CEN22	Chr22	12954789	15054318
77	Chr22	15054319	50808467
78	ChrX	10000	58605579
CENX	ChrX	58605580	62412542
79	ChrX	62412543	156030894
80	ChrY	10000	10316944
CENY	ChrY	10316945	10544039
81	ChrY	10544040	57217414
---
chromosome	KT	telo1_len	telo2_len
Chr1a	1+,CEN1+,2+,3+,4+,5+,5+	10000	10000
Chr1b	1+,CEN1+,2+,3+,4+,5+	10000	10000
Chr2a	6+,8+,CEN2+,9+,11+	10000	10000
Chr2b	6+,7+,8+,CEN2+,9+,10+,11+	10000	10000
Chr3a	12+,CEN3+,13+	10000	60000
Chr3b	12+,CEN3+,13+	10000	60000
Chr4a	14+,CEN4+,15+,16+,17+,18+,18-	10000	10000
Chr4b	14+,CEN4+,15+,16+,17+,18+	10000	10000
Chr5a	19+,CEN5+,20+,21+,22+,36+,23+,24+	10000	60000
Chr5b	19+,CEN5+,20+,21+,22+,23+,24+,25+	10000	60000
Chr6a	26+,CEN6+,27+,28+,29+,28+,30-,29-,29+,30+,31+	60000	60000
Chr6b	26+,CEN6+,27+,28+,29+,30+,31+	60000	60000
Chr7a	32+,38+,34+,CEN7+,35+,37+,33+,39+	10000	10000
Chr7b	32+,33+,34+,CEN7+,35+,36+,37+,38+,39+	10000	10000
Chr8a	40+,CEN8+,41+	60000	60000
Chr8b	40+,CEN8+,41+	60000	60000
Chr9a	42+,CEN9+,43+	10000	60000
Chr9b	42+,CEN9+,43+	10000	60000
Chr10a	44+,CEN10+,45+,47+	10000	10000
Chr10b	44+,CEN10+,45+,46+,47+	10000	10000
Chr11a	48+,CEN11+,49+	60000	10000
Chr11b	48+,CEN11+,49+	60000	10000
Chr12a	50+,CEN12+,51+,46+,52+,53+	10000	10000
Chr12b	50+,CEN12+,51+,52+,53+	10000	10000
Chr13a	54+,CEN13+,55+	16000000	10000
Chr13b	54+,CEN13+,55+	16000000	10000
Chr14a	56+,CEN14+,57+,10+,58+,59+	16000000	160000
Chr14b	56+,CEN14+,57+,58+,59+	16000000	160000
Chr15a	60+,CEN15+,61+	17000000	10000
Chr15b	60+,CEN15+,61+	17000000	10000
Chr16a	62+,CEN16+,63+	10000	110000
Chr16b	62+,CEN16+,63+	10000	110000
Chr17a	64+,CEN17+,65+	60000	10000
Chr17b	64+,CEN17+,65+	60000	10000
Chr18a	66+,CEN18+,67+,69+	10000	110000
Chr18b	66+,CEN18+,67+,68+,69+	10000	110000
Chr19a	70+,CEN19+,71+	60000	10000
Chr19b	70+,CEN19+,71+	60000	10000
Chr20a	72+,CEN20+,73+	60000	110000
Chr20b	72+,CEN20+,73+	60000	110000
Chr21a	74+,CEN21+,75+	5010000	10000
Chr21b	74+,CEN21+,75+	5010000	10000
Chr22a	76+,CEN22+,77+	10510000	10000
Chr22b	76+,CEN22+,77+	10510000	10000
ChrXa	78+,CENX+,79+	10000	10000
ChrYa	80+,CENY+,81+	10000	10000
---
initialization
	autosomes: ['Chr1', 'Chr2', 'Chr3', 'Chr4', 'Chr5', 'Chr6', 'Chr7', 'Chr8', 'Chr9', 'Chr10', 'Chr11', 'Chr12', 'Chr13', 'Chr14', 'Chr15', 'Chr16', 'Chr17', 'Chr18', 'Chr19', 'Chr20', 'Chr21', 'Chr22']
	autosomal copy number: 1
	sex chromosomes: ['ChrY']
block 1: 2p15-16.1_microdeletion
	deletion on segments [7+], from Chr2a to Chr2a
block 2: random events
	nonreciprocal translocation on segments [46+], from Chr10a to Chr12a
	nonreciprocal translocation on segments [10+], from Chr2a to Chr14a
	balanced reciprocal translocation on segments [38+], from Chr7a to Chr7a
	balanced reciprocal translocation on segments [33+], from Chr7a to Chr7a
	deletion on segments [68+], from Chr18a to Chr18a
	tandem duplication on segments [28+,29+], from Chr6a to Chr6a
	tandem duplication on segments [5+], from Chr1a to Chr1a
	nonreciprocal translocation on segments [36+], from Chr7a to Chr5a
	right duplication inversion on segments [18+], from Chr4a to Chr4a
	deletion on segments [25+], from Chr5a to Chr5a
	left duplication inversion on segments [29+,30+], from Chr6a to Chr6a
