index	origin	start	end
1	Chr1	10000	122026459
CEN1	Chr1	122026460	125184587
2	Chr1	125184588	219727508
3	Chr1	219727509	221292821
4	Chr1	221292822	247381109
5	Chr1	247381110	248946421
6	Chr2	10000	92188145
CEN2	Chr2	92188146	94090557
7	Chr2	94090558	242183528
8	Chr3	10000	90772458
CEN3	Chr3	90772459	93655574
9	Chr3	93655575	153127819
10	Chr3	153127820	153945633
11	Chr3	153945634	198235558
12	Chr4	10000	42490233
13	Chr4	42490234	43787904
14	Chr4	43787905	49708100
CEN4	Chr4	49708101	51743951
15	Chr4	51743952	190204554
16	Chr5	10000	46485900
CEN5	Chr5	46485901	50059807
17	Chr5	50059808	60326803
18	Chr5	60326804	60890726
19	Chr5	60890727	151574622
20	Chr5	151574623	151574623
21	Chr5	151574624	174479244
22	Chr5	174479245	175729954
23	Chr5	175729955	181478258
24	Chr6	60000	58553888
CEN6	Chr6	58553889	59829934
25	Chr6	59829935	92153874
26	Chr6	92153875	92153875
27	Chr6	92153876	170745978
28	Chr7	10000	58169653
CEN7	Chr7	58169654	60828234
29	Chr7	60828235	159335972
30	Chr8	60000	18573664
31	Chr8	18573665	19303778
32	Chr8	19303779	25638632
33	Chr8	25638633	26660165
34	Chr8	26660166	44033744
CEN8	Chr8	44033745	45877265
35	Chr8	45877266	112528609
36	Chr8	112528610	113649064
37	Chr8	113649065	145078635
38	Chr9	10000	43236167
CEN9	Chr9	43236168	45518558
39	Chr9	45518559	138334716
40	Chr10	10000	39686682
CEN10	Chr10	39686683	41593521
41	Chr10	41593522	66460091
42	Chr10	66460092	67931058
43	Chr10	67931059	133787421
44	Chr11	60000	51078348
CEN11	Chr11	51078349	54425074
45	Chr11	54425075	105111607
46	Chr11	105111608	105999157
47	Chr11	105999158	135076621
48	Chr12	10000	25752725
49	Chr12	25752726	26389013
50	Chr12	26389014	34769407
CEN12	Chr12	34769408	37185252
51	Chr12	37185253	89394841
52	Chr12	89394842	90539400
53	Chr12	90539401	104962114
54	Chr12	104962115	104962115
55	Chr12	104962116	133265308
56	Chr13	16000000	16000000
CEN13	Chr13	16000001	18051248
57	Chr13	18051249	114354327
58	Chr14	16000000	16000000
CEN14	Chr14	16000001	18173523
59	Chr14	18173524	106883717
60	Chr15	17000000	17000000
CEN15	Chr15	17000001	19725254
61	Chr15	19725255	36417743
62	Chr15	36417744	36991321
63	Chr15	36991322	50112419
64	Chr15	50112420	51701450
65	Chr15	51701451	101981188
66	Chr16	10000	36311158
CEN16	Chr16	36311159	38280682
67	Chr16	38280683	90228344
68	Chr17	60000	22813679
CEN17	Chr17	22813680	26885980
69	Chr17	26885981	83247440
70	Chr18	10000	15460899
CEN18	Chr18	15460900	20861206
71	Chr18	20861207	80263284
72	Chr19	60000	24498980
CEN19	Chr19	24498981	27190874
73	Chr19	27190875	58607615
74	Chr20	60000	26436232
CEN20	Chr20	26436233	30038348
75	Chr20	30038349	45315603
76	Chr20	45315604	46117002
77	Chr20	46117003	55117148
78	Chr20	55117149	56433410
79	Chr20	56433411	64334166
80	Chr21	5010000	10864560
CEN21	Chr21	10864561	12915808
81	Chr21	12915809	25880548
82	Chr21	25880549	26171128
83	Chr21	26171129	46699982
84	Chr22	10510000	12954788
CEN22	Chr22	12954789	15054318
85	Chr22	15054319	50808467
86	ChrX	10000	58605579
CENX	ChrX	58605580	62412542
87	ChrX	62412543	156030894
---
chromosome	KT	telo1_len	telo2_len
Chr1a	1+,CEN1+,2+,3+,4+,5+,5+	10000	10000
Chr2a	6+,CEN2+,7+	10000	10000
Chr3a	8+,CEN3+,9+,10-,11+	10000	60000
Chr4a	12+,13-,13+,14+,CEN4+,15+	10000	10000
Chr5a	16+,CEN5+,17+,18-,19+,76+,20+,21+,36+,23+	10000	60000
Chr6a	24+,CEN6+,25+,49+,26+,27+	60000	60000
Chr7a	28+,CEN7+,29+	10000	10000
Chr8a	30+,32+,33-,33+,34+,CEN8+,35+,22+,37+	60000	60000
Chr9a	38+,CEN9+,39+	10000	60000
Chr10a	40+,CEN10+,41+,43+	10000	10000
Chr11a	44+,CEN11+,45+,47+	60000	10000
Chr12a	48+,50+,CEN12+,51+,53+,31+,54+,55+	10000	10000
Chr13a	56+,CEN13+,57+	16000000	10000
Chr14a	58+,CEN14+,59+	16000000	160000
Chr15a	60+,CEN15+,61+,63+,64-,64+,65+	17000000	10000
Chr16a	66+,CEN16+,67+	10000	110000
Chr17a	68+,CEN17+,69+	60000	10000
Chr18a	70+,CEN18+,71+	10000	110000
Chr19a	72+,CEN19+,73+	60000	10000
Chr20a	74+,CEN20+,75+,77+,78+,78+,79+	60000	110000
Chr21a	80+,CEN21+,81+,82+,82+,83+	5010000	10000
Chr22a	84+,CEN22+,85+	10510000	10000
ChrXa	86+,CENX+,87+	10000	10000
---
initialization
	autosomes: ['Chr1', 'Chr2', 'Chr3', 'Chr4', 'Chr5', 'Chr6', 'Chr7', 'Chr8', 'Chr9', 'Chr10', 'Chr11', 'Chr12', 'Chr13', 'Chr14', 'Chr15', 'Chr16', 'Chr17', 'Chr18', 'Chr19', 'Chr20', 'Chr21', 'Chr22']
	autosomal copy number: 1
	sex chromosomes: ['ChrX']
block 1: Early_onset_Alzheimer
	tandem_duplication on segments [82+], from Chr21a to Chr21a
block 2: random events
	inversion on segments [10+], from Chr3a to Chr3a
	left duplication inversion on segments [33+], from Chr8a to Chr8a
	balanced reciprocal translocation on segments [22+], from Chr5a to Chr8a
	balanced reciprocal translocation on segments [36+], from Chr8a to Chr5a
	inversion on segments [18+], from Chr5a to Chr5a
	left duplication inversion on segments [64+], from Chr15a to Chr15a
	deletion on segments [46+], from Chr11a to Chr11a
	nonreciprocal translocation on segments [76+], from Chr20a to Chr5a
	deletion on segments [42+], from Chr10a to Chr10a
	tandem duplication on segments [5+], from Chr1a to Chr1a
	deletion on segments [52+], from Chr12a to Chr12a
	nonreciprocal translocation on segments [49+], from Chr12a to Chr6a
	deletion on segments [62+], from Chr15a to Chr15a
	left duplication inversion on segments [13+], from Chr4a to Chr4a
	tandem duplication on segments [78+], from Chr20a to Chr20a
	nonreciprocal translocation on segments [31+], from Chr8a to Chr12a
