chr	start	end	original_name	original_stain	band_base	Path	strand	chrom	bp	original_start	original_end	Updated_stain	centromere	iscn	sort_chrom	name	gieStain
Path1 : 1	1	7100001	p36.31	gneg	p36	Path1	+	1	False	5300000	7100000	gneg	0	Path1 : 1	1	p36.3	gneg
Path1 : 1	7100001	15900001	p36.21	gpos50	p36	Path1	+	1	False	12500000	15900000	gneg	0	Path1 : 1	1	p36.2	gpos50
Path1 : 1	15900001	27600001	p36.11	gneg	p36	Path1	+	1	False	23600000	27600000	gneg	0	Path1 : 1	1	p36.1	gneg
Path1 : 1	27600001	34300001	p35.1	gpos25	p35	Path1	+	1	False	32300000	34300000	gpos25	0	Path1 : 1	1	p35	gpos25
Path1 : 1	34300001	39600001	p34.3	gneg	p34	Path1	+	1	False	34300000	39600000	gneg	0	Path1 : 1	1	p34.3	gneg
Path1 : 1	39600001	43700001	p34.2	gpos25	p34	Path1	+	1	False	39600000	43700000	gneg	0	Path1 : 1	1	p34.2	gpos25
Path1 : 1	43700001	46300001	p34.1	gneg	p34	Path1	+	1	False	43700000	46300000	gneg	0	Path1 : 1	1	p34.1	gneg
Path1 : 1	46300001	50200001	p33	gpos75	p33	Path1	+	1	False	46300000	50200000	gpos75	0	Path1 : 1	1	p33	gpos75
Path1 : 1	50200001	60800001	p32.1	gneg	p32	Path1	+	1	False	58500000	60800000	gneg	0	Path1 : 1	1	p32	gneg
Path1 : 1	60800001	84400001	p31.1	gpos100	p31	Path1	+	1	False	69300000	84400000	gpos50	0	Path1 : 1	1	p31	gpos100
Path1 : 1	84400001	94300000	p22.1	gneg	p22	Path1	+	1	True	93719320	94300000	gneg	0	Path1 : 1	1	p22	gneg
Path1 : 1	94300000	106700000	p21.1	gpos100	p21	Path1	+	1	True	101800000	106700000	gpos75	0	Path1 : 1	1	p21	gpos100
Path1 : 1	106700000	117200000	p13.1	gneg	p13	Path1	+	1	True	115500000	117200000	gneg	0	Path1 : 1	1	p13	gneg
Path1 : 1	117200000	120400000	p12	gpos50	p12	Path1	+	1	True	117200000	120400000	gpos50	0	Path1 : 1	1	p12	gpos575
Path1 : 1	120400000	123400000	p11.1	acen	p11	Path1	+	1	True	121700000	123400000	acen	0	Path1 : 1	1	p11	acen
Path1 : 1	123400000	125100000	q11	acen	q11	Path1	+	1	True	123400000	125100000	acen	0	Path1 : 1	1	q11	acen
Path1 : 1	125100000	143200000	q12	gvar	q12	Path1	+	1	True	125100000	143200000	gvar	0	Path1 : 1	1	q12	gpos100
Path1 : 1	143200000	155100000	q21.3	gneg	q21	Path1	+	1	True	150600000	155100000	gneg	0	Path1 : 1	1	q21	gneg
Path1 : 1	155100000	156600000	q22	gpos50	q22	Path1	+	1	True	155100000	156600000	gpos50	0	Path1 : 1	1	q22	gpos25
Path1 : 1	156600000	165500000	q23.3	gneg	q23	Path1	+	1	True	160500000	165500000	gneg	0	Path1 : 1	1	q23	gneg
Path1 : 1	165500000	173000000	q24.3	gpos75	q24	Path1	+	1	True	170900000	173000000	gpos50	0	Path1 : 1	1	q24	gpos50
Path1 : 1	173000000	185800000	q25.3	gneg	q25	Path1	+	1	True	180300000	185800000	gneg	0	Path1 : 1	1	q25	gneg
Path1 : 1	185800000	198700000	q31.3	gpos100	q31	Path1	+	1	True	193800000	198700000	gpos100	0	Path1 : 1	1	q31	gpos100
Path1 : 1	198700000	214400000	q32.3	gneg	q32	Path1	+	1	True	211300000	214400000	gneg	0	Path1 : 1	1	q32	gneg
Path1 : 1	214400000	223900000	q41	gpos100	q41	Path1	+	1	True	214400000	223900000	gpos100	0	Path1 : 1	1	q41	gpos100
Path1 : 1	223900000	236400000	q42.3	gneg	q42	Path1	+	1	True	234600000	236400000	gneg	0	Path1 : 1	1	q42	gneg
Path1 : 1	236400000	243500000	q43	gpos75	q43	Path1	+	1	True	236400000	243500000	gpos75	0	Path1 : 1	1	q43	gpos100
Path1 : 1	243500000	248943333	q44	gneg	q44	Path1	+	1	True	243500000	248943333	gneg	0	Path1 : 1	1	q44	gneg
Path4 : der(1)t(1;21)	1	7100001	p36.33	gneg	p36	Path4	-	1	True	0	2300000	gneg	0	Path4 : (1;21)	1	p36.3	gneg
Path4 : der(1)t(1;21)	7100001	15900001	p36.23	gpos25	p36	Path4	-	1	True	7100000	9100000	gneg	0	Path4 : (1;21)	1	p36.2	gpos50
Path4 : der(1)t(1;21)	15900001	27600001	p36.13	gneg	p36	Path4	-	1	True	15900000	20100000	gneg	0	Path4 : (1;21)	1	p36.1	gneg
Path4 : der(1)t(1;21)	27600001	34300001	p35.3	gpos25	p35	Path4	-	1	True	27600000	29900000	gpos25	0	Path4 : (1;21)	1	p35	gpos25
Path4 : der(1)t(1;21)	34300001	39600001	p34.3	gneg	p34	Path4	-	1	True	34300000	39600000	gneg	0	Path4 : (1;21)	1	p34.3	gneg
Path4 : der(1)t(1;21)	39600001	43700001	p34.2	gpos25	p34	Path4	-	1	True	39600000	43700000	gneg	0	Path4 : (1;21)	1	p34.2	gpos25
Path4 : der(1)t(1;21)	43700001	46300001	p34.1	gneg	p34	Path4	-	1	True	43700000	46300000	gneg	0	Path4 : (1;21)	1	p34.1	gneg
Path4 : der(1)t(1;21)	46300001	50200001	p33	gpos75	p33	Path4	-	1	True	46300000	50200000	gpos75	0	Path4 : (1;21)	1	p33	gpos75
Path4 : der(1)t(1;21)	50200001	60800001	p32.3	gneg	p32	Path4	-	1	True	50200000	55600000	gneg	0	Path4 : (1;21)	1	p32	gneg
Path4 : der(1)t(1;21)	60800001	84400001	p31.3	gpos50	p31	Path4	-	1	True	60800000	68500000	gpos100	0	Path4 : (1;21)	1	p31	gpos100
Path4 : der(1)t(1;21)	84400001	93719320	p22.3	gneg	p22	Path4	-	1	True	84400000	87900000	gneg	0	Path4 : (1;21)	1	p22	gneg
Path4 : der(1)t(1;21)	93719320	102473529	q21.1	gpos100	q21	Path4	-	21	True	16536771	22600000	gneg	0	Path4 : (1;21)	1	q21	gpos100
Path4 : der(1)t(1;21)	102473529	103054209	p22.1	gneg	p22	Path4	-	1	True	93719320	94300000	gneg	0	Path4 : (1;21)	1	p22	gneg
Path4 : der(1)t(1;21)	103054209	115454209	p21.3	gpos75	p21	Path4	-	1	True	94300000	99300000	gpos100	0	Path4 : (1;21)	1	p21	gpos100
Path4 : der(1)t(1;21)	115454209	125954209	p13.3	gneg	p13	Path4	-	1	True	106700000	111200000	gneg	0	Path4 : (1;21)	1	p13	gneg
Path4 : der(1)t(1;21)	125954209	129154209	p12	gpos50	p12	Path4	-	1	True	117200000	120400000	gpos50	0	Path4 : (1;21)	1	p12	gpos575
Path4 : der(1)t(1;21)	129154209	132154209	p11.2	gneg	p11	Path4	-	1	True	120400000	121700000	acen	0	Path4 : (1;21)	1	p11	acen
Path4 : der(1)t(1;21)	132154209	133854209	q11	acen	q11	Path4	-	1	True	123400000	125100000	acen	0	Path4 : (1;21)	1	q11	acen
Path4 : der(1)t(1;21)	133854209	151954209	q12	gvar	q12	Path4	-	1	True	125100000	143200000	gvar	0	Path4 : (1;21)	1	q12	gpos100
Path4 : der(1)t(1;21)	151954209	163854209	q21.1	gneg	q21	Path4	-	1	True	143200000	147500000	gneg	0	Path4 : (1;21)	1	q21	gneg
