chr	start	end
Path2 : der(1)t(1;9)	1	218060718
Path11 : 2	1	242181357
Path12 : 2	1	242181357
Path3 : der(3)t(3;4)	1	198748936
Path7 : der(3)t(1;3;4)	1	286526219
Path8 : 4	1	190202561
Path13 : 5	1	181472714
Path14 : 5	1	181472714
Path15 : 6	1	170739897
Path16 : 6	1	170739897
Path17 : 7	1	159334984
Path18 : 7	1	159334984
Path19 : 8	1	289066907
Path1 : 9	1	138334459
Path6 : der(9)t(1;9;17)	1	154234421
Path20 : 10	1	133785264
Path23 : der(10)t(10;12)	1	181518813
Path24 : 11	1	135069563
Path25 : 11	1	135069563
Path21 : der(12)t(10;12)	1	83331664
Path22 : der(12)t(10;12)	1	134066867
Path26 : 13	1	98334101
Path27 : 13	1	99835319
Path28 : 14	1	90838536
Path29 : 14	1	92015854
Path30 : 15	1	84908357
Path31 : 15	1	83579711
Path32 : 16	1	90224751
Path33 : 16	1	90224751
Path4 : der(17)t(1;17)	1	99142175
Path5 : der(17)t(1;17)	1	83211331
Path34 : 18	1	80256374
Path35 : 18	1	80256374
Path36 : 19	1	58605715
Path37 : 19	1	58605715
Path38 : 20	1	64333718
Path39 : 20	1	64333718
Path40 : 21	1	46697230
Path41 : 21	1	46697230
Path42 : 22	1	50805587
Path43 : 22	1	50805587
Path44 : X	1	155994770
Path45 : X	1	159854401
Path10 : dic(4;1)	1	310884677
Path9 : 3;4	1	40751055
