0	1	0.0	2	H	[1]
1	1	167143943.0	2	T	[0, 2, 3]
2	1	167143944.0	2	H	[1, 3, 4]
3	1	173896303.5	2	T	[1, 2, 4]
4	1	173896304.5	2	H	[2, 3, 5]
5	1	248943333.0	2	T	[4]
6	2	15925.0	2	H	[7]
7	2	10318322.25	2	T	[8, 18, 6]
8	2	10318323.25	2	H	[9, 17, 7]
9	2	18215667.0	2	T	[8, 10, 20]
10	2	18215668.0	2	H	[19, 9, 11]
11	2	34045739.0	2	T	[10, 12, 14]
12	2	34045740.0	1	H	[11, 13]
13	2	40163364.0	1	T	[12, 14]
14	2	40182831	2	H	[11, 13, 15]
15	2	242181356	2	T	[14]
16	3	0.0	2	H	[17]
17	3	2071496.0	2	T	[16, 8, 18]
18	3	2071497.0	2	H	[17, 19, 7]
19	3	10937392.0	2	T	[18, 10, 20]
20	3	10937393.0	2	H	[9, 19, 21]
21	3	198230596.0	2	T	[20]
22	4	0	2	H	[23]
23	4	190202564	2	T	[22]
24	5	19315	2	H	[25]
25	5	254718.0	2	T	[24, 26]
26	5	254719.0	1	H	[25, 27]
27	5	12605821.0	1	T	[26, 28]
28	5	12605822.0	2	H	[27, 29]
29	5	157639707.5	2	T	[28, 30]
30	5	157646546.0	3	H	[29, 31]
31	5	163786078.0	3	T	[32, 30]
32	5	163793639	2	H	[33, 31]
33	5	181472713	2	T	[32]
34	6	76217	2	H	[35]
35	6	86176730.0	2	T	[34, 36]
36	6	86176731.0	3	H	[35, 37]
37	6	90427979.0	3	T	[36, 38]
38	6	90427980	2	H	[37, 39]
39	6	170739896	2	T	[38]
40	7	0	2	H	[41]
41	7	159334984	2	T	[40]
42	8	0.0	2	H	[43]
43	8	116327180.0	2	T	[64, 42, 44]
44	8	116327181.0	2	H	[43, 45, 63]
45	8	122927075.5	2	T	[66, 44, 46]
46	8	122927076.5	2	H	[65, 45, 47]
47	8	145076125.0	2	T	[46]
48	9	0	2	H	[49]
49	9	138334464	2	T	[48]
50	10	18515.0	2	H	[51]
51	10	114840482.0	2	T	[57, 50, 52]
52	10	114840483.0	2	H	[51, 53]
53	10	114962497.0	2	T	[52, 54]
54	10	114962498.0	3	H	[53, 55]
55	10	123824125.0	3	T	[56, 54]
56	10	123824126.0	2	H	[57, 55]
57	10	123879224.0	2	T	[56, 58, 51]
58	10	123879225.0	2	H	[57, 59]
59	10	133785265.0	2	T	[58]
60	11	0	2	H	[61]
61	11	135069565	2	T	[60]
62	12	0.0	2	H	[63]
63	12	75579873.0	2	T	[64, 44, 62]
64	12	75579874.0	2	H	[65, 43, 63]
65	12	81581607.0	2	T	[64, 66, 46]
66	12	81581608.0	2	H	[65, 67, 45]
67	12	133263960.0	2	T	[66]
68	13	16004726.0	2	H	[69]
69	13	90881889.0	2	T	[68, 70, 71]
70	13	90881890.0	2	H	[72, 69, 71]
71	13	96463005.5	2	T	[72, 69, 70]
72	13	96463006.5	2	H	[73, 70, 71]
73	13	110510479.0	2	T	[72, 73, 74]
74	13	110510480.0	3	H	[73, 74, 75]
75	13	113516616.0	3	T	[74, 76]
76	13	113516617	2	H	[75, 77]
77	13	114352101	2	T	[76]
78	14	0	2	H	[79]
79	14	106873282	2	T	[78]
80	15	0.0	2	H	[81]
81	15	30766282.0	2	T	[80, 82]
82	15	30766283.0	2	H	[81, 83, 84]
83	15	31639515.0	2	T	[82, 84]
84	15	31639516.0	2	H	[82, 83, 85]
85	15	101976509.0	2	T	[84]
86	16	0.0	2	H	[87]
87	16	21500434.0	2	T	[88, 89, 86]
88	16	21500435.0	2	H	[89, 87]
89	16	22438802.0	2	T	[88, 90, 87]
90	16	22438803.0	2	H	[89, 91]
91	16	90224751.0	2	T	[90]
92	17	0	2	H	[93]
93	17	83246392	2	T	[92]
94	18	0.0	2	H	[95]
95	18	57250827.5	2	T	[96, 98, 94]
96	18	57250828.5	2	H	[97, 99, 95]
97	18	66759432.5	2	T	[96, 98, 100]
98	18	66759433.5	2	H	[97, 99, 95]
99	18	74947575.5	2	T	[96, 98, 100]
100	18	74947576.5	2	H	[97, 99, 101]
101	18	80256374.0	2	T	[100]
102	19	0	2	H	[103]
103	19	58605715	2	T	[102]
104	20	0	2	H	[105]
105	20	64333718	2	T	[104]
106	21	0	2	H	[107]
107	21	46697230	2	T	[106]
108	22	0	2	H	[109]
109	22	50805587	2	T	[108]
110	23	0	1	H	[111]
111	23	156025612	1	T	[110]
112	24	0	1	H	[113]
113	24	57212132	1	T	[112]
