index	origin	start	end
1	Chr1	10000	27962499
2	Chr1	27962500	34953255
3	Chr1	34953256	122026459
CEN1	Chr1	122026460	125184587
4	Chr1	125184588	248946421
5	Chr2	10000	51019204
6	Chr2	51019205	53089646
7	Chr2	53089647	92188145
CEN2	Chr2	92188146	94090557
8	Chr2	94090558	210860138
9	Chr2	210860139	214198537
10	Chr2	214198538	242183528
11	Chr3	10000	90772458
CEN3	Chr3	90772459	93655574
12	Chr3	93655575	198235558
13	Chr4	10000	49708100
CEN4	Chr4	49708101	51743951
14	Chr4	51743952	190204554
15	Chr5	10000	46485900
CEN5	Chr5	46485901	50059807
16	Chr5	50059808	181478258
17	Chr6	60000	58553888
CEN6	Chr6	58553889	59829934
18	Chr6	59829935	116964463
19	Chr6	116964464	122855575
20	Chr6	122855576	170745978
21	Chr7	10000	58169653
CEN7	Chr7	58169654	60828234
22	Chr7	60828235	159335972
23	Chr8	60000	44033744
CEN8	Chr8	44033745	45877265
24	Chr8	45877266	109105637
25	Chr8	109105638	116300203
26	Chr8	116300204	137884070
27	Chr8	137884071	145078635
28	Chr9	10000	9180831
29	Chr9	9180832	11361589
30	Chr9	11361590	12794061
31	Chr9	12794062	18141639
32	Chr9	18141640	43236167
CEN9	Chr9	43236168	45518558
33	Chr9	45518559	138334716
34	Chr10	10000	39686682
CEN10	Chr10	39686683	41593521
35	Chr10	41593522	133787421
36	Chr11	60000	36253967
37	Chr11	36253968	45359206
38	Chr11	45359207	51078348
CEN11	Chr11	51078349	54425074
39	Chr11	54425075	135076621
40	Chr12	10000	34769407
CEN12	Chr12	34769408	37185252
41	Chr12	37185253	108130235
42	Chr12	108130236	114277764
43	Chr12	114277765	133265308
44	Chr13	16000000	16000000
CEN13	Chr13	16000001	18051248
45	Chr13	18051249	114354327
46	Chr14	16000000	16000000
CEN14	Chr14	16000001	18173523
47	Chr14	18173524	106883717
48	Chr15	17000000	17000000
CEN15	Chr15	17000001	19725254
49	Chr15	19725255	101981188
50	Chr16	10000	36311158
CEN16	Chr16	36311159	38280682
51	Chr16	38280683	90228344
52	Chr17	60000	22813679
CEN17	Chr17	22813680	26885980
53	Chr17	26885981	83247440
54	Chr18	10000	15460899
CEN18	Chr18	15460900	20861206
55	Chr18	20861207	27065337
56	Chr18	27065338	31468223
57	Chr18	31468224	35082032
58	Chr18	35082033	36272174
59	Chr18	36272175	80263284
60	Chr19	60000	24498980
CEN19	Chr19	24498981	27190874
61	Chr19	27190875	58607615
62	Chr20	60000	26436232
CEN20	Chr20	26436233	30038348
63	Chr20	30038349	64334166
64	Chr21	5010000	10864560
CEN21	Chr21	10864561	12915808
65	Chr21	12915809	46699982
66	Chr22	10510000	12954788
CEN22	Chr22	12954789	15054318
