index	origin	start	end
1	Chr1	10000	122026459
CEN1	Chr1	122026460	125184587
2	Chr1	125184588	248946421
3	Chr2	10000	92188145
CEN2	Chr2	92188146	94090557
4	Chr2	94090558	180976460
5	Chr2	180976461	188943842
6	Chr2	188943843	242183528
7	Chr3	10000	90772458
CEN3	Chr3	90772459	93655574
8	Chr3	93655575	198235558
9	Chr4	10000	49708100
CEN4	Chr4	49708101	51743951
10	Chr4	51743952	95595887
11	Chr4	95595888	99145190
12	Chr4	99145191	190204554
13	Chr5	10000	46485900
CEN5	Chr5	46485901	50059807
14	Chr5	50059808	181478258
15	Chr6	60000	58553888
CEN6	Chr6	58553889	59829934
16	Chr6	59829935	66023216
17	Chr6	66023217	69746164
18	Chr6	69746165	170745978
19	Chr7	10000	58169653
CEN7	Chr7	58169654	60828234
20	Chr7	60828235	159335972
21	Chr8	60000	5380799
22	Chr8	5380800	18642175
23	Chr8	18642176	23962975
24	Chr8	23962976	44033744
CEN8	Chr8	44033745	45877265
25	Chr8	45877266	99998447
26	Chr8	99998448	107258691
27	Chr8	107258692	122701141
28	Chr8	122701142	128274535
29	Chr8	128274536	145078635
30	Chr9	10000	43236167
CEN9	Chr9	43236168	45518558
31	Chr9	45518559	70143911
32	Chr9	70143912	78446551
33	Chr9	78446552	110616245
34	Chr9	110616246	115418026
35	Chr9	115418027	118208116
36	Chr9	118208117	122108930
37	Chr9	122108931	134433903
38	Chr9	134433904	138334716
39	Chr10	10000	3778868
40	Chr10	3778869	3778869
41	Chr10	3778870	17729493
42	Chr10	17729494	23239753
43	Chr10	23239754	39686682
CEN10	Chr10	39686683	41593521
44	Chr10	41593522	133787421
45	Chr11	60000	43973249
46	Chr11	43973250	46030899
47	Chr11	46030900	51078348
CEN11	Chr11	51078349	54425074
48	Chr11	54425075	127844489
49	Chr11	127844490	127844490
50	Chr11	127844491	135076621
51	Chr12	10000	34769407
CEN12	Chr12	34769408	37185252
52	Chr12	37185253	133265308
53	Chr13	16000000	16000000
CEN13	Chr13	16000001	18051248
54	Chr13	18051249	114354327
55	Chr14	16000000	16000000
CEN14	Chr14	16000001	18173523
56	Chr14	18173524	106883717
57	Chr15	17000000	17000000
CEN15	Chr15	17000001	19725254
58	Chr15	19725255	91257216
59	Chr15	91257217	99188864
60	Chr15	99188865	101981188
61	Chr16	10000	36311158
CEN16	Chr16	36311159	38280682
62	Chr16	38280683	66153260
63	Chr16	66153261	68845660
64	Chr16	68845661	87535945
65	Chr16	87535946	90228344
66	Chr17	60000	22813679
CEN17	Chr17	22813680	26885980
67	Chr17	26885981	83247440
68	Chr18	10000	15460899
CEN18	Chr18	15460900	20861206
69	Chr18	20861207	80263284
70	Chr19	60000	24498980
CEN19	Chr19	24498981	27190874
71	Chr19	27190875	58607615
72	Chr20	60000	8334944
73	Chr20	8334945	13064232
74	Chr20	13064233	15005752
75	Chr20	15005753	17538180
76	Chr20	17538181	23871605
77	Chr20	23871606	26436232
CEN20	Chr20	26436233	30038348
78	Chr20	30038349	64334166
79	Chr21	5010000	10864560
CEN21	Chr21	10864561	12915808
80	Chr21	12915809	46699982
81	Chr22	10510000	12954788
CEN22	Chr22	12954789	15054318
82	Chr22	15054319	50808467
83	ChrX	10000	58605579
CENX	ChrX	58605580	62412542
84	ChrX	62412543	156030894
85	ChrY	10000	10316944
CENY	ChrY	10316945	10544039
86	ChrY	10544040	57217414
---
chromosome	KT	telo1_len	telo2_len
Chr1a	1+,CEN1+,2+	10000	10000
Chr1b	1+,CEN1+,2+	10000	10000
Chr2a	3+,CEN2+,4+,5+,5-,6+	10000	10000
Chr2b	3+,CEN2+,4+,5+,6+	10000	10000
Chr3a	deleted	0	0
Chr3b	7+,CEN3+,8+	0	0
Chr4a	9+,CEN4+,10+,12+	10000	10000
Chr4b	9+,CEN4+,10+,11+,12+	10000	10000
Chr5a	13+,CEN5+,14+	10000	60000
Chr5b	13+,CEN5+,14+	10000	60000
Chr6a	15+,CEN6+,16+,18+	60000	60000
Chr6b	15+,CEN6+,16+,17+,18+	60000	60000
Chr7a	19+,CEN7+,20+	10000	10000
Chr7b	19+,CEN7+,20+	10000	10000
Chr8a	21-,22+,23+,24+,CEN8+,25+,27+,28-,29+	60000	60000
Chr8b	21+,22+,23+,24+,CEN8+,25+,26+,27+,28+,29+	60000	60000
Chr9a	30+,CEN9+,31+,32-,32+,33+,35+,36+,37+,38-,38+	10000	60000
Chr9b	30+,CEN9+,31+,32+,33+,34+,35+,36+,37+,38+	10000	60000
Chr10a	39+,34+,40+,41+,43+,CEN10+,44+	10000	10000
Chr10b	39+,40+,41+,42+,43+,CEN10+,44+	10000	10000
Chr11a	45+,47+,CEN11+,48+,59+,49+,50+	60000	10000
Chr11b	45+,46+,47+,CEN11+,48+,49+,50+	60000	10000
Chr12a	51+,CEN12+,52+	10000	10000
Chr12b	51+,CEN12+,52+	10000	10000
Chr13a	53+,CEN13+,54+	16000000	10000
Chr13b	53+,CEN13+,54+	16000000	10000
Chr14a	55+,CEN14+,56+	16000000	160000
Chr14b	55+,CEN14+,56+	16000000	160000
Chr15a	57+,CEN15+,58+,60+	17000000	10000
Chr15b	57+,CEN15+,58+,59+,60+	17000000	10000
Chr16a	61+,CEN16+,62+,63+,64+,65-	10000	110000
Chr16b	61+,CEN16+,62+,63+,64+,65+	10000	110000
Chr17a	66+,CEN17+,67+	60000	10000
Chr17b	66+,CEN17+,67+	60000	10000
Chr18a	68+,CEN18+,69+	10000	110000
Chr18b	68+,CEN18+,69+	10000	110000
Chr19a	70+,CEN19+,71+	60000	10000
Chr19b	70+,CEN19+,71+	60000	10000
Chr20a	72+,72+,73+,74+,76-,75-,77+,CEN20+,78+	60000	110000
Chr20b	72+,73+,74+,75+,76+,77+,CEN20+,78+	60000	110000
Chr21a	79+,CEN21+,80+	5010000	10000
Chr21b	79+,CEN21+,80+	5010000	10000
Chr22a	81+,CEN22+,82+	10510000	10000
Chr22b	81+,CEN22+,82+	10510000	10000
ChrXa	83+,CENX+,84+	10000	10000
ChrYa	85+,CENY+,86+	10000	10000
---
initialization
	autosomes: ['Chr1', 'Chr2', 'Chr3', 'Chr4', 'Chr5', 'Chr6', 'Chr7', 'Chr8', 'Chr9', 'Chr10', 'Chr11', 'Chr12', 'Chr13', 'Chr14', 'Chr15', 'Chr16', 'Chr17', 'Chr18', 'Chr19', 'Chr20', 'Chr21', 'Chr22']
	autosomal copy number: 1
	sex chromosomes: ['ChrY']
block 1: Potocki_Shaffer
	deletion on segments [46+], from Chr11a to Chr11a
block 2: random events
	inversion on segments [75+,76+], from Chr20a to Chr20a
	deletion on segments [11+], from Chr4a to Chr4a
	right duplication inversion on segments [5+], from Chr2a to Chr2a
	left duplication inversion on segments [38+], from Chr9a to Chr9a
	inversion on segments [21+], from Chr8a to Chr8a
	chromosomal deletion on segments [7+,CEN3+,8+], from Chr3a to Chr3a
	inversion on segments [28+], from Chr8a to Chr8a
	tandem duplication on segments [72+], from Chr20a to Chr20a
	deletion on segments [42+], from Chr10a to Chr10a
	deletion on segments [26+], from Chr8a to Chr8a
	inversion on segments [65+], from Chr16a to Chr16a
	left duplication inversion on segments [32+], from Chr9a to Chr9a
	nonreciprocal translocation on segments [59+], from Chr15a to Chr11a
	nonreciprocal translocation on segments [34+], from Chr9a to Chr10a
	deletion on segments [17+], from Chr6a to Chr6a
