index	origin	start	end
1	Chr1	10000	122026459
CEN1	Chr1	122026460	125184587
2	Chr1	125184588	166182644
3	Chr1	166182645	172732413
4	Chr1	172732414	248946421
5	Chr2	10000	48698893
6	Chr2	48698894	54116976
7	Chr2	54116977	92188145
CEN2	Chr2	92188146	94090557
8	Chr2	94090558	185136340
9	Chr2	185136341	188929235
10	Chr2	188929236	242183528
11	Chr3	10000	90772458
CEN3	Chr3	90772459	93655574
12	Chr3	93655575	198235558
13	Chr4	10000	49708100
CEN4	Chr4	49708101	51743951
14	Chr4	51743952	190204554
15	Chr5	10000	46485900
CEN5	Chr5	46485901	50059807
16	Chr5	50059808	80424191
17	Chr5	80424192	89606605
18	Chr5	89606606	115005899
19	Chr5	115005900	119413901
20	Chr5	119413902	181478258
21	Chr6	60000	58553888
CEN6	Chr6	58553889	59829934
22	Chr6	59829935	170745978
23	Chr7	10000	46581029
24	Chr7	46581030	52172258
25	Chr7	52172259	58169653
CEN7	Chr7	58169654	60828234
26	Chr7	60828235	117403629
27	Chr7	117403630	122936895
28	Chr7	122936896	159335972
29	Chr8	60000	44033744
CEN8	Chr8	44033745	45877265
30	Chr8	45877266	145078635
31	Chr9	10000	43236167
CEN9	Chr9	43236168	45518558
32	Chr9	45518559	79164184
33	Chr9	79164185	79164185
34	Chr9	79164186	138334716
35	Chr10	10000	39686682
CEN10	Chr10	39686683	41593521
36	Chr10	41593522	133787421
37	Chr11	60000	11813873
38	Chr11	11813874	11895653
39	Chr11	11895654	16042632
40	Chr11	16042633	21331777
41	Chr11	21331778	26046651
42	Chr11	26046652	32294044
43	Chr11	32294045	51078348
CEN11	Chr11	51078349	54425074
44	Chr11	54425075	56326708
45	Chr11	56326709	60256604
46	Chr11	60256605	135076621
47	Chr12	10000	34769407
CEN12	Chr12	34769408	37185252
48	Chr12	37185253	133265308
49	Chr13	16000000	16000000
CEN13	Chr13	16000001	18051248
50	Chr13	18051249	114354327
51	Chr14	16000000	16000000
CEN14	Chr14	16000001	18173523
52	Chr14	18173524	106883717
53	Chr15	17000000	17000000
CEN15	Chr15	17000001	19725254
54	Chr15	19725255	22677344
55	Chr15	22677345	28193120
56	Chr15	28193121	36199474
57	Chr15	36199475	45940128
58	Chr15	45940129	57281261
59	Chr15	57281262	60273953
60	Chr15	60273954	101981188
61	Chr16	10000	36311158
CEN16	Chr16	36311159	38280682
62	Chr16	38280683	90228344
63	Chr17	60000	22813679
CEN17	Chr17	22813680	26885980
64	Chr17	26885981	83247440
65	Chr18	10000	15460899
CEN18	Chr18	15460900	20861206
66	Chr18	20861207	80263284
67	Chr19	60000	24498980
CEN19	Chr19	24498981	27190874
68	Chr19	27190875	58607615
69	Chr20	60000	26436232
CEN20	Chr20	26436233	30038348
70	Chr20	30038349	64334166
71	Chr21	5010000	10864560
CEN21	Chr21	10864561	12915808
72	Chr21	12915809	15049121
73	Chr21	15049122	20918359
74	Chr21	20918360	46699982
75	Chr22	10510000	12954788
CEN22	Chr22	12954789	15054318
76	Chr22	15054319	50808467
77	ChrX	10000	58605579
CENX	ChrX	58605580	62412542
78	ChrX	62412543	156030894
---
chromosome	KT	telo1_len	telo2_len
Chr1a	1+,CEN1+,2+,4+	10000	10000
Chr1b	1+,CEN1+,2+,3+,4+	10000	10000
Chr2a	5+,6-,7+,CEN2+,8+,9+,9-,10+	10000	10000
Chr2b	5+,6+,7+,CEN2+,8+,9+,10+	10000	10000
Chr3a	11+,CEN3+,12+	10000	60000
Chr3b	11+,CEN3+,12+	10000	60000
Chr4a	13+,CEN4+,14+	10000	10000
Chr4b	13+,CEN4+,14+	10000	10000
Chr5a	15+,CEN5+,16+,17+,17-,18+,19+,19+,20+	10000	60000
Chr5b	15+,CEN5+,16+,17+,18+,19+,20+	10000	60000
Chr6a	21+,CEN6+,22+	60000	60000
Chr6b	21+,CEN6+,22+	60000	60000
Chr7a	23+,24+,24+,25+,CEN7+,26+,28+	10000	10000
Chr7b	deleted	0	0
Chr7c	23+,24+,25+,CEN7+,26+,27+,28+	10000	10000
Chr8a	29+,CEN8+,30+	60000	60000
Chr8b	29+,CEN8+,30+	60000	60000
Chr9a	31+,CEN9+,32+,3+,33+,34+	10000	60000
Chr9b	31+,CEN9+,32+,33+,34+	10000	60000
Chr10a	35+,CEN10+,36+	10000	10000
Chr10b	35+,CEN10+,36+	10000	10000
Chr11a	37+,42+,41+,38+,39+,39-,40+,43+,CEN11+,44+,45+,45+,46+	60000	10000
Chr11b	37+,38+,39+,40+,41+,42+,43+,CEN11+,44+,45+,46+	60000	10000
Chr12a	47+,CEN12+,48+	10000	10000
Chr12b	47+,CEN12+,48+	10000	10000
Chr13a	49+,CEN13+,50+	16000000	10000
Chr13b	49+,CEN13+,50+	16000000	10000
Chr14a	51+,CEN14+,52+	16000000	160000
Chr14b	51+,CEN14+,52+	16000000	160000
Chr15a	53+,CEN15+,54+,56+,57-,57+,58+,60+	17000000	10000
Chr15b	53+,CEN15+,54+,55+,56+,57+,58+,59+,60+	17000000	10000
Chr16a	61+,CEN16+,62+	10000	110000
Chr16b	61+,CEN16+,62+	10000	110000
Chr17a	63+,CEN17+,64+	60000	10000
Chr17b	63+,CEN17+,64+	60000	10000
Chr18a	65+,CEN18+,66+	10000	110000
Chr18b	65+,CEN18+,66+	10000	110000
Chr19a	67+,CEN19+,68+	60000	10000
Chr19b	67+,CEN19+,68+	60000	10000
Chr20a	69+,CEN20+,70+	60000	110000
Chr20b	69+,CEN20+,70+	60000	110000
Chr21a	71+,CEN21+,72+,74+	5010000	10000
Chr21b	71+,CEN21+,72+,73+,74+	5010000	10000
Chr22a	75+,CEN22+,76+	10510000	10000
Chr22b	75+,CEN22+,76+	10510000	10000
ChrXa	77+,CENX+,78+	10000	10000
ChrXb	77+,CENX+,78+	10000	10000
---
initialization
	autosomes: ['Chr1', 'Chr2', 'Chr3', 'Chr4', 'Chr5', 'Chr6', 'Chr7', 'Chr8', 'Chr9', 'Chr10', 'Chr11', 'Chr12', 'Chr13', 'Chr14', 'Chr15', 'Chr16', 'Chr17', 'Chr18', 'Chr19', 'Chr20', 'Chr21', 'Chr22']
	autosomal copy number: 1
	sex chromosomes: ['ChrX']
block 1: Angelman
	deletion on segments [55+], from Chr15a to Chr15a
block 2: random events
	deletion on segments [59+], from Chr15a to Chr15a
	arm tandem duplication on segments [26+,27+,28+], from Chr7a to Chr7b
	balanced reciprocal translocation on segments [42+], from Chr11a to Chr11a
	balanced reciprocal translocation on segments [38+,39+,40+], from Chr11a to Chr11a
	deletion on segments [73+], from Chr21a to Chr21a
	left duplication inversion on segments [57+], from Chr15a to Chr15a
	chromosomal deletion on segments [23+,24+,25+,CEN7+,26+,27+,28+], from Chr7b to Chr7b
	nonreciprocal translocation on segments [3+], from Chr1a to Chr9a
	right duplication inversion on segments [39+], from Chr11a to Chr11a
	deletion on segments [27+], from Chr7a to Chr7a
	tandem duplication on segments [45+], from Chr11a to Chr11a
	tandem duplication on segments [19+], from Chr5a to Chr5a
	right duplication inversion on segments [17+], from Chr5a to Chr5a
	inversion on segments [6+], from Chr2a to Chr2a
	tandem duplication on segments [24+], from Chr7a to Chr7a
	right duplication inversion on segments [9+], from Chr2a to Chr2a
