chr	start	end	original_name	original_stain	band_base	Path	strand	chrom	bp	original_start	original_end	Updated_stain	centromere	iscn	sort_chrom	name	gieStain
Path2 : der(1)t(1;9)	1	7100001	p36.33	gneg	p36	Path2	-	1	True	0	2300000	gneg	0	Path2 : (1;9)	1	p36.3	gneg
Path2 : der(1)t(1;9)	7100001	15900001	p36.23	gpos25	p36	Path2	-	1	True	7100000	9100000	gneg	0	Path2 : (1;9)	1	p36.2	gpos50
Path2 : der(1)t(1;9)	15900001	27600001	p36.13	gneg	p36	Path2	-	1	True	15900000	20100000	gneg	0	Path2 : (1;9)	1	p36.1	gneg
Path2 : der(1)t(1;9)	27600001	34300001	p35.3	gpos25	p35	Path2	-	1	True	27600000	29900000	gpos25	0	Path2 : (1;9)	1	p35	gpos25
Path2 : der(1)t(1;9)	34300001	39600001	p34.3	gneg	p34	Path2	-	1	True	34300000	39600000	gneg	0	Path2 : (1;9)	1	p34.3	gneg
Path2 : der(1)t(1;9)	39600001	43700001	p34.2	gpos25	p34	Path2	-	1	True	39600000	43700000	gneg	0	Path2 : (1;9)	1	p34.2	gpos25
Path2 : der(1)t(1;9)	43700001	46300001	p34.1	gneg	p34	Path2	-	1	True	43700000	46300000	gneg	0	Path2 : (1;9)	1	p34.1	gneg
Path2 : der(1)t(1;9)	46300001	50200001	p33	gpos75	p33	Path2	-	1	True	46300000	50200000	gpos75	0	Path2 : (1;9)	1	p33	gpos75
Path2 : der(1)t(1;9)	50200001	60800001	p32.3	gneg	p32	Path2	-	1	True	50200000	55600000	gneg	0	Path2 : (1;9)	1	p32	gneg
Path2 : der(1)t(1;9)	60800001	84399999	p31.3	gpos50	p31	Path2	-	1	True	60800000	68500000	gpos100	0	Path2 : (1;9)	1	p31	gpos100
Path2 : der(1)t(1;9)	84399999	94299999	p22.3	gneg	p22	Path2	-	1	True	84400000	87900000	gneg	0	Path2 : (1;9)	1	p22	gneg
Path2 : der(1)t(1;9)	94299999	106699999	p21.3	gpos75	p21	Path2	-	1	True	94300000	99300000	gpos100	0	Path2 : (1;9)	1	p21	gpos100
Path2 : der(1)t(1;9)	106699999	117199999	p13.3	gneg	p13	Path2	-	1	True	106700000	111200000	gneg	0	Path2 : (1;9)	1	p13	gneg
