Segments,smap_id,q_id,ref_c_id1,ref_c_id2,ref_start,ref_end,confidence,sv_type,size,VAF,Paths
Segment 2,115,690,1,1,147057352.0,148302015.0,-1.0,duplication_split,1341598.0,0,"['Path 1', 'Path 2', 'Path 2', 'Path 2']"
Segment 4,245,541,2,2,12905355.0,14337630.0,0.99,deletion,1418261.4,0,[]
Segment 4,254,542,2,2,12905355.0,14337630.0,0.99,deletion,1418261.4,0,[]
Segment 6,245,541,2,2,12905355.0,14337630.0,0.99,deletion,1418261.4,0,['Path 4']
Segment 6,254,542,2,2,12905355.0,14337630.0,0.99,deletion,1418261.4,0,[]
Segment 7,346,1130,2,2,52097251.0,52835880.0,-1.0,duplication_split,740483.0,0,"['Path 3', 'Path 4', 'Path 4', 'Path 4']"
Segment 9,561,242,3,6,50848427.5,139612418.0,0.81,translocation_interchr,-1.0,0,[]
Segment 9,539,241,3,6,50848427.5,139612418.0,0.64,translocation_interchr,-1.0,0,[]
Segment 10,585,301,3,6,50861711.0,140916239.0,0.63,translocation_interchr,-1.0,0,['Path 6']
Segment 10,599,302,3,6,50861711.0,140916239.0,0.53,translocation_interchr,-1.0,0,[]
Segment 11,600,1251,3,3,55901785.0,57604444.0,0.99,inversion,89758.0,0,['Path 6']
Segment 11,603,1252,3,3,55901785.0,57604444.0,1.0,inversion,277152.0,0,[]
Segment 11,605,1351,3,3,57585230.0,57585230.0,-1.0,duplication_inverted,216621.0,0,[]
Segment 11,606,1352,3,3,57585230.0,57585230.0,-1.0,duplication_inverted,268098.0,0,[]
Segment 12,600,1251,3,3,55901785.0,57604444.0,0.99,inversion,89758.0,0,['Path 6']
Segment 12,610,1120,3,3,58401100.0,60268820.0,1.0,inversion,299606.0,0,[]
Segment 12,603,1252,3,3,55901785.0,57604444.0,1.0,inversion,277152.0,0,[]
Segment 13,610,1120,3,3,58401100.0,60268820.0,1.0,inversion,299606.0,0,"['Path 6', 'Path 6']"
Segment 13,612,1360,3,3,58453603.0,58453603.0,-1.0,duplication_inverted,264829.0,0,[]
Segment 15,613,1180,3,3,88532600.0,89230241.0,-1.0,duplication_split,722226.0,0,"['Path 5', 'Path 6', 'Path 6', 'Path 6']"
Segment 17,1056,192,4,4,175410516.0,176466225.0,1.0,inversion,1053389.0,0,[]
Segment 17,1020,191,4,4,175410516.0,176466225.0,1.0,inversion,1053389.0,0,[]
Segment 18,1056,192,4,4,175410516.0,176466225.0,1.0,inversion,1053389.0,0,['Path 9']
Segment 18,1060,192,4,4,175412836.0,176466225.0,0.8,inversion,1053389.0,0,[]
Segment 18,1020,191,4,4,175410516.0,176466225.0,1.0,inversion,1053389.0,0,[]
Segment 19,1060,192,4,4,175412836.0,176466225.0,0.8,inversion,1053389.0,0,['Path 9']
Segment 22,585,301,3,6,50861711.0,140916239.0,0.63,translocation_interchr,-1.0,0,[]
Segment 22,561,242,3,6,50848427.5,139612418.0,0.81,translocation_interchr,-1.0,0,[]
Segment 22,539,241,3,6,50848427.5,139612418.0,0.64,translocation_interchr,-1.0,0,[]
Segment 22,599,302,3,6,50861711.0,140916239.0,0.53,translocation_interchr,-1.0,0,[]
Segment 26,1755,1230,8,8,37169578.0,38449192.0,-1.0,duplication_split,1272666.0,0,"['Path 14', 'Path 15', 'Path 15', 'Path 15']"
Segment 30,2316,1340,11,11,130305630.0,132133518.5,1.0,inversion,281034.5,0,[]
Segment 31,2322,1242,11,11,130319792.0,132158355.0,1.0,inversion,286465.0,0,['Path 21']
Segment 31,2316,1340,11,11,130305630.0,132133518.5,1.0,inversion,281034.5,0,[]
Segment 31,2319,1241,11,11,130319792.0,132158355.0,1.0,inversion,286465.0,0,[]
Segment 32,2322,1242,11,11,130319792.0,132158355.0,1.0,inversion,286465.0,0,['Path 21']
Segment 32,2319,1241,11,11,130319792.0,132158355.0,1.0,inversion,286465.0,0,[]
Segment 37,2865,1511,15,15,30766282.0,31639515.0,0.85,inversion,183317.0,0,[]
Segment 38,2865,1511,15,15,30766282.0,31639515.0,0.85,inversion,183317.0,0,[]
Segment 40,2940,1140,16,16,58241754.0,59378522.0,1.0,inversion,303426.0,0,[]
Segment 41,2944,1330,16,16,59355469.0,59355469.0,-1.0,duplication_inverted,261670.0,0,['Path 31']
Segment 42,2940,1140,16,16,58241754.0,59378522.0,1.0,inversion,303426.0,0,['Path 31']
Segment 44,3153,1270,18,18,31096948.0,31942633.0,1.0,inversion,300667.0,0,[]
Segment 45,3153,1270,18,18,31096948.0,31942633.0,1.0,inversion,300667.0,0,['Path 35']
Segment 45,3157,1220,18,18,31097937.0,31954949.5,1.0,inversion,307415.0,0,[]
Segment 46,3157,1220,18,18,31097937.0,31954949.5,1.0,inversion,307415.0,0,['Path 35']
Segment 47,3160,1150,18,18,56767452.0,58533687.0,-1.0,duplication_split,1877587.0,0,"['Path 34', 'Path 35', 'Path 35', 'Path 35']"
Segment 56,3535,1320,23,23,146916100.0,148608907.0,-1.0,duplication_split,1857447.0,0,"['Path 44', 'Path 45', 'Path 45', 'Path 45']"
