chr	start	end
Path1 : 1	1	248919096
Path2 : 1	1	239257774
Path3 : 2	1	242181357
Path4 : 2	1	242181357
Path5 : 3	1	198158097
Path6 : 3	1	201300210
Path7 : 4	1	190202564
Path8 : 4	1	190202564
Path10 : 5	1	181472712
Path9 : 5	1	181472712
Path11 : 6	1	170739895
Path14 : der(6)t(6;15)	1	135739339
Path15 : 7	1	159334984
Path16 : 7	1	159334984
Path17 : 8	1	145000918
Path18 : 8	1	144484557
Path19 : 9	1	138334464
Path20 : 9	1	138334464
Path21 : 10	1	133785264
Path22 : 10	1	133785264
Path23 : 11	1	135069565
Path24 : 11	1	135069565
Path25 : 12	1	133216635
Path26 : 12	1	135641282
Path27 : 13	1	114352102
Path28 : 13	1	114352102
Path29 : 14	1	106873280
Path32 : der(14)t(14;X)	1	96525554
Path12 : der(15)t(6;15)	1	127215279
Path13 : der(15)t(6;15)	1	85886367
Path33 : 16	1	90182842
Path34 : 16	1	92694509
Path35 : 17	1	83246392
Path36 : 17	1	83246392
Path37 : 18	1	80256374
Path38 : 18	1	80256374
Path39 : 19	1	58605715
Path40 : 19	1	58605715
Path41 : 20	1	64333718
Path42 : 20	1	64333718
Path43 : 21	1	46697230
Path44 : 21	1	46697230
Path45 : 22	1	40285210
Path46 : 22	1	41968312
Path30 : der(X)t(14;X)	1	168707279
Path31 : X	1	156025611
