chr	start	end
Path1 : 1	1	248943333
Path2 : 1	1	248943333
Path3 : 2	1	242146702
Path4 : 2	1	250030439
Path5 : 3	1	197675304
Path7 : 4	1	190167410
Path8 : 4	1	186528545
Path10 : 5	1	181472714
Path9 : 5	1	181472714
Path11 : 6	1	170648598
Path12 : 6	1	166913481
Path13 : 7	1	159334984
Path14 : 7	1	159334984
Path15 : 8	1	145001870
Path16 : 8	1	137739091
Path17 : der(9)t(9;10)	1	165851247
Path18 : 10	1	133742635
Path20 : 11	1	135003603
Path23 : der(11)t(11;15)	1	136321650
Path24 : 12	1	133263960
Path25 : 12	1	133263960
Path26 : 13	1	114352102
Path27 : 13	1	114352102
Path28 : 14	1	106873282
Path29 : 14	1	106873282
Path21 : der(15)t(11;15)	1	106415694
Path22 : 15	1	94048773
Path30 : 16	1	177750835
Path31 : 17	1	83246392
Path32 : 17	1	83246392
Path33 : 18	1	80256374
Path34 : 18	1	80256374
Path35 : 19	1	58605715
Path36 : 19	1	58605715
Path37 : 20	1	98498623
Path38 : 21	1	46697230
Path39 : 21	1	46697230
Path40 : 22	1	50805587
Path41 : 22	1	50805587
Path42 : X	1	156025612
Path43 : Y	1	57212132
Path19 : dic(9;10)	1	248030323
Path6 : 3	1	235014
