chr	start	end	original_name	original_stain	band_base	Path	strand	chrom	bp	original_start	original_end	Updated_stain	centromere	iscn	sort_chrom	name	gieStain	delta	midpoint
Path1 : 1	1	248917543	q44	gneg	q44	Path1	+	1	True	243500000	248942320	gneg	0	Path1 : 1	1	q44	gneg	5442320	124458772.0
Path10 : 4	1	190202563	q35.1	gneg	q35	Path10	-	4	True	182300000	186200000	gpos25	0	Path10 : 4	4	q35	gneg	7902564	95101282.0
Path11 : 5	1	181472715	q35.3	gneg	q35	Path11	+	5	False	177100000	181472714	gneg	0	Path11 : 5	5	q35	gneg	12472714	90736358.0
Path12 : 5	1	181472715	q35.1	gneg	q35	Path12	-	5	True	169000000	173300000	gneg	0	Path12 : 5	5	q35	gneg	12472714	90736358.0
Path13 : 7	1	159334985	q36.3	gneg	q36	Path13	+	7	False	155200000	159334984	gneg	0	Path13 : 7	7	q36	gneg	11134984	79667493.0
Path14 : 7	1	159334985	q36.1	gneg	q36	Path14	-	7	True	148200000	152800000	gneg	0	Path14 : 7	7	q36	gneg	11134984	79667493.0
Path15 : 8	1	144993613	q24.3	gneg	q24	Path15	+	8	True	138900000	145074239	gneg	0	Path15 : 8	8	q24.3	gneg	6174239	72496807.0
Path16 : 8	1	146273227	q24.3	gneg	q24	Path16	-	8	False	138900000	145074239	gneg	0	Path16 : 8	8	q24.3	gneg	6174239	73136614.0
Path17 : 9	1	138334465	q34.3	gneg	q34	Path17	+	9	False	134500000	138334464	gneg	0	Path17 : 9	9	q34	gneg	10834464	69167233.0
Path18 : 9	1	138334465	q34.11	gneg	q34	Path18	-	9	True	127500000	130600000	gneg	0	Path18 : 9	9	q34	gneg	10834464	69167233.0
Path19 : 10	1	133785267	q26.3	gneg	q26	Path19	+	10	False	128800000	133785266	gneg	0	Path19 : 10	10	q26	gneg	16485266	66892634.0
Path2 : 1	1	250162206	q44	gneg	q44	Path2	-	1	False	243500000	248942320	gneg	0	Path2 : 1	1	q44	gneg	5442320	125081103.5
Path20 : 10	1	133785267	q26.11	gneg	q26	Path20	-	10	True	117300000	119900000	gneg	0	Path20 : 10	10	q26	gneg	16485266	66892634.0
Path21 : 11	1	135069564	q25	gneg	q25	Path21	+	11	True	132145937	135069565	gneg	0	Path21 : 11	11	q25	gneg	4169564	67534782.5
Path22 : 11	1	135069564	q25	gneg	q25	Path22	-	11	False	132145937	135069565	gneg	0	Path22 : 11	11	q25	gneg	2923628	67534782.5
Path23 : 12	1	133263961	q24.33	gneg	q24	Path23	+	12	False	128700000	133263960	gneg	0	Path23 : 12	12	q24.3	gneg	12963960	66631981.0
Path24 : 12	1	133263961	q24.31	gneg	q24	Path24	-	12	True	120300000	125400000	gneg	0	Path24 : 12	12	q24.3	gneg	12963960	66631981.0
Path25 : 13	1	114352103	q34	gneg	q34	Path25	+	13	False	109600000	114352102	gneg	0	Path25 : 13	13	q34	gneg	4752102	57176052.0
Path26 : 13	1	114352103	q34	gneg	q34	Path26	-	13	False	109600000	114352102	gneg	0	Path26 : 13	13	q34	gneg	4752102	57176052.0
Path27 : 14	1	106873283	q32.33	gneg	q32	Path27	+	14	False	103500000	106873282	gneg	0	Path27 : 14	14	q32	gneg	17573282	53436642.0
Path28 : 14	1	106873283	q32.11	gneg	q32	Path28	-	14	True	89300000	91400000	gneg	0	Path28 : 14	14	q32	gneg	17573282	53436642.0
Path29 : 15	1	101976508	q26.3	gneg	q26	Path29	+	15	True	98000000	101976509	gneg	0	Path29 : 15	15	q26.3	gneg	3976509	50988254.5
Path3 : 2	1	242122761	q37.3	gneg	q37	Path3	+	2	True	236400000	242175920	gneg	0	Path3 : 2	2	q37	gneg	12075920	121061381.0
Path30 : 15	1	101976508	q26.3	gneg	q26	Path30	-	15	False	98000000	101976509	gneg	0	Path30 : 15	15	q26.3	gneg	3976509	50988254.5
Path31 : 16	1	90182085	q24.3	gneg	q24	Path31	+	16	True	88700000	90220072	gneg	0	Path31 : 16	16	q24	gneg	6120072	45091043.0
Path32 : 16	1	91289221	q24.1	gneg	q24	Path32	-	16	True	84100000	87000000	gneg	0	Path32 : 16	16	q24	gneg	6120072	45644611.0
Path33 : 17	1	83246393	q25.3	gneg	q25	Path33	+	17	False	77200000	83246392	gneg	0	Path33 : 17	17	q25	gneg	10346392	41623197.0
Path34 : 17	1	83246393	q25.1	gneg	q25	Path34	-	17	True	72900000	76800000	gneg	0	Path34 : 17	17	q25	gneg	10346392	41623197.0
Path35 : 18	1	80201974	q23	gneg	q23	Path35	+	18	True	75400000	80243011	gneg	0	Path35 : 18	18	q23	gneg	4843011	40100987.5
Path36 : 18	1	81968209	q23	gneg	q23	Path36	-	18	False	75400000	80243011	gneg	0	Path36 : 18	18	q23	gneg	4843011	40984105.0
Path37 : 19	1	58605716	q13.43	gpos25	q13	Path37	+	19	False	55800000	58605715	gneg	0	Path37 : 19	19	q13.4	gpos25	7705715	29302858.5
Path38 : 19	1	58605716	q13.41	gpos25	q13	Path38	-	19	True	50900000	53100000	gpos25	0	Path38 : 19	19	q13.4	gpos25	7705715	29302858.5
Path39 : 20	1	64333719	q13.33	gneg	q13	Path39	+	20	False	59700000	64333718	gneg	0	Path39 : 20	20	q13.3	gneg	7933718	32166860.0
Path4 : 2	1	241429115	q37.1	gneg	q37	Path4	-	2	True	230100000	234700000	gneg	0	Path4 : 2	2	q37	gneg	12075920	120714558.0
Path40 : 20	1	64333719	q13.31	gneg	q13	Path40	-	20	True	56400000	57800000	gneg	0	Path40 : 20	20	q13.3	gneg	7933718	32166860.0
Path41 : 21	1	41669970	q22.3	gneg	q22	Path41	+	21	True	41200000	46696217	gneg	0	Path41 : 21	21	q22	gneg	16496217	20834985.5
Path42 : 21	1	42158114	q22.11	gneg	q22	Path42	-	21	True	30200000	34400000	gneg	0	Path42 : 21	21	q22	gneg	16496217	21079057.5
Path43 : 22	1	50805588	q13.33	gneg	q13	Path43	+	22	False	49100000	50805587	gneg	0	Path43 : 22	22	q13	gneg	13605587	25402794.5
Path44 : 22	1	50805588	q13.1	gneg	q13	Path44	-	22	True	37200000	40600000	gneg	0	Path44 : 22	22	q13	gneg	13605587	25402794.5
Path45 : X	1	155990829	q28	gneg	q28	Path45	+	X	True	148612288	156020370	gneg	0	Path45 : X	23	q28	gneg	8016989	77995415.0
Path46 : X	1	157683636	q28	gneg	q28	Path46	-	X	True	148000000	148608907	gneg	0	Path46 : X	23	q28	gneg	8016989	78841818.5
Path5 : 3	1	198133012	q29	gneg	q29	Path5	+	3	True	192600000	198217553	gneg	0	Path5 : 3	3	q29	gneg	5617553	99066506.5
Path6 : 6	1	170739896	q27	gneg	q27	Path6	+	6	True	164100000	170739897	gneg	0	Path6 : 6	6	q27	gneg	6639897	85369948.5
Path7 : 6	1	170739896	q27	gneg	q27	Path7	-	6	False	164100000	170739897	gneg	0	Path7 : 6	6	q27	gneg	6639897	85369948.5
