index	origin	start	end
1	Chr1	10000	40518467
2	Chr1	40518468	41934107
3	Chr1	41934108	122026459
CEN1	Chr1	122026460	125184587
4	Chr1	125184588	147061831
5	Chr1	147061832	148411223
6	Chr1	148411224	185129086
7	Chr1	185129087	185959236
8	Chr1	185959237	248946421
9	Chr2	10000	17105797
10	Chr2	17105798	18277029
11	Chr2	18277030	92188145
CEN2	Chr2	92188146	94090557
12	Chr2	94090558	167605190
13	Chr2	167605191	169332636
14	Chr2	169332637	242183528
15	Chr3	10000	13089763
16	Chr3	13089764	13089764
17	Chr3	13089765	90772458
CEN3	Chr3	90772459	93655574
18	Chr3	93655575	122756231
19	Chr3	122756232	124567229
20	Chr3	124567230	198235558
21	Chr4	10000	49708100
CEN4	Chr4	49708101	51743951
22	Chr4	51743952	82340861
23	Chr4	82340862	82888448
24	Chr4	82888449	190204554
25	Chr5	10000	46485900
CEN5	Chr5	46485901	50059807
26	Chr5	50059808	181478258
27	Chr6	60000	42899699
28	Chr6	42899700	43509804
29	Chr6	43509805	58553888
CEN6	Chr6	58553889	59829934
30	Chr6	59829935	72935116
31	Chr6	72935117	74141377
32	Chr6	74141378	170745978
33	Chr7	10000	58169653
CEN7	Chr7	58169654	60828234
34	Chr7	60828235	159335972
35	Chr8	60000	32871212
36	Chr8	32871213	32871213
37	Chr8	32871214	44033744
CEN8	Chr8	44033745	45877265
38	Chr8	45877266	81261470
39	Chr8	81261471	82537210
40	Chr8	82537211	145078635
41	Chr9	10000	28056721
42	Chr9	28056722	28056722
43	Chr9	28056723	43236167
CEN9	Chr9	43236168	45518558
44	Chr9	45518559	84186540
45	Chr9	84186541	84962741
46	Chr9	84962742	138334716
47	Chr10	10000	39686682
CEN10	Chr10	39686683	41593521
48	Chr10	41593522	133787421
49	Chr11	60000	51078348
CEN11	Chr11	51078349	54425074
50	Chr11	54425075	73792600
51	Chr11	73792601	75621367
52	Chr11	75621368	135076621
53	Chr12	10000	34769407
CEN12	Chr12	34769408	37185252
54	Chr12	37185253	63788219
55	Chr12	63788220	65437142
56	Chr12	65437143	133265308
57	Chr13	16000000	16000000
CEN13	Chr13	16000001	18051248
58	Chr13	18051249	50479197
59	Chr13	50479198	50995220
60	Chr13	50995221	114354327
61	Chr14	16000000	16000000
CEN14	Chr14	16000001	18173523
62	Chr14	18173524	106883717
63	Chr15	17000000	17000000
CEN15	Chr15	17000001	19725254
64	Chr15	19725255	63471836
65	Chr15	63471837	65425670
66	Chr15	65425671	101981188
67	Chr16	10000	1588372
68	Chr16	1588373	23829945
69	Chr16	23829946	25408318
70	Chr16	25408319	36311158
CEN16	Chr16	36311159	38280682
71	Chr16	38280683	90228344
72	Chr17	60000	22813679
CEN17	Chr17	22813680	26885980
73	Chr17	26885981	71089493
74	Chr17	71089494	71863667
75	Chr17	71863668	83247440
76	Chr18	10000	15460899
CEN18	Chr18	15460900	20861206
77	Chr18	20861207	80263284
78	Chr19	60000	24498980
CEN19	Chr19	24498981	27190874
79	Chr19	27190875	58607615
80	Chr20	60000	26436232
CEN20	Chr20	26436233	30038348
81	Chr20	30038349	64334166
82	Chr21	5010000	10864560
CEN21	Chr21	10864561	12915808
83	Chr21	12915809	46699982
84	Chr22	10510000	12954788
CEN22	Chr22	12954789	15054318
85	Chr22	15054319	50808467
86	ChrX	10000	58605579
CENX	ChrX	58605580	62412542
87	ChrX	62412543	156030894
88	ChrY	10000	10316944
CENY	ChrY	10316945	10544039
89	ChrY	10544040	57217414
---
chromosome	KT	telo1_len	telo2_len
Chr1a	1+,2+,2-,3+,CEN1+,4+,6+,8+	10000	10000
