chr	start	end	original_name	original_stain	band_base	Path	strand	chrom	bp	original_start	original_end	Updated_stain	centromere	iscn	sort_chrom	name	gieStain	delta	midpoint
Path1 : 1	1	248917834	q44	gneg	q44	Path1	-	1	False	243500000	248943333	gneg	0	Path1 : 1	1	q44	gneg	5443333	124458917.5
Path10 : 4	1	190186054	q35.1	gneg	q35	Path10	-	4	True	182300000	182703048	gneg	0	Path10 : 4	4	q35	gneg	7900628	95093027.5
Path11 : 4	1	190186054	q35.2	gpos25	q35	Path11	+	4	True	186200000	190202564	gneg	0	Path11 : 4	4	q35	gneg	7900628	95093027.5
Path12 : 4	1	7497581	q35.1	gneg	q35	Path12	-	4	True	182704984	186200000	gpos25	2	Path12 : 4	4	q35	gneg	7497580	3748791.0
Path13 : der(7)t(5;7)	1	118106674	q31.31	gpos75	q31	Path13	+	7	True	117700000	118106676	gpos75	0	Path13 : (7;5)	7	q31	gpos100	10306675	59053337.5
Path13 : der(7)t(5;7)	118106674	202220705	q35.3	gneg	q35	Path13	+	5	True	181308173	181466351	gneg	0	Path13 : (7;5)	7	q35	gneg	12455291	160163689.5
Path14 : 5	1	177714853	q35.1	gneg	q35	Path14	-	5	True	169000000	173300000	gneg	0	Path14 : 5	5	q35	gneg	8734777	88857427.0
Path15 : der(5)t(5;7)	1	97321336	q15	gneg	q15	Path15	+	5	True	93000000	97341259	gneg	0	Path15 : (5;7)	5	q15	gneg	4341259	48660668.5
Path15 : der(5)t(5;7)	97321336	146763485	q36.3	gneg	q36	Path15	+	7	True	155200000	159334984	gneg	0	Path15 : (5;7)	5	q36	gneg	11134984	122042410.5
Path16 : 7	1	151121135	q36.1	gneg	q36	Path16	-	7	True	148200000	152800000	gneg	0	Path16 : 7	7	q36	gneg	11134984	75560568.0
Path17 : 6	1	170619638	q27	gneg	q27	Path17	-	6	False	164100000	170737419	gneg	0	Path17 : 6	6	q27	gneg	6637419	85309819.5
Path18 : 6	1	96173241	q15	gneg	q15	Path18	+	6	True	90237276	90470603	gneg	0	Path18 : 6	6	q15	gneg	2475675	48086621.0
Path19 : 8	1	145076126	q24.3	gneg	q24	Path19	+	8	False	138900000	145076125	gneg	0	Path19 : 8	8	q24.3	gneg	6176125	72538063.5
Path2 : 1	1	248917834	q44	gneg	q44	Path2	+	1	True	243500000	248943333	gneg	0	Path2 : 1	1	q44	gneg	5443333	124458917.5
Path20 : 8	1	145076126	q24.3	gneg	q24	Path20	-	8	False	138900000	145076125	gneg	0	Path20 : 8	8	q24.3	gneg	6176125	72538063.5
Path21 : 9	1	138334465	q34.3	gneg	q34	Path21	+	9	False	134500000	138334464	gneg	0	Path21 : 9	9	q34	gneg	10834464	69167233.0
Path22 : 9	1	138334465	q34.11	gneg	q34	Path22	-	9	True	127500000	130600000	gneg	0	Path22 : 9	9	q34	gneg	10834464	69167233.0
Path23 : 10	1	133785263	q26.3	gneg	q26	Path23	+	10	True	128800000	133785266	gneg	0	Path23 : 10	10	q26	gneg	16485266	66892632.0
Path24 : der(12)t(10;12)	1	49331763	q13.11	gneg	q13	Path24	-	12	True	46000000	48700000	gpos25	0	Path24 : (12;10)	12	q13	gneg	3331762	24665882.0
Path24 : der(12)t(10;12)	49331763	77661979	q26.11	gneg	q26	Path24	-	10	True	117300000	119900000	gneg	0	Path24 : (12;10)	12	q26	gneg	16485266	63496871.0
Path25 : 12	1	133263960	q24.33	gneg	q24	Path25	+	12	True	128700000	133263960	gneg	0	Path25 : 12	12	q24.3	gneg	12963960	66631980.5
Path26 : der(10)t(10;12)	1	108894310	q25.1	gpos100	q25	Path26	-	10	True	104000000	105455048	gpos100	0	Path26 : (10;12)	10	q25	gpos75	4894311	54447155.5
Path26 : der(10)t(10;12)	108894310	192826507	q24.31	gneg	q24	Path26	-	12	True	120300000	125400000	gneg	0	Path26 : (10;12)	10	q24.3	gneg	12963960	150860408.5
Path27 : 11	1	135069566	q25	gneg	q25	Path27	+	11	False	130900000	135069565	gneg	0	Path27 : 11	11	q25	gneg	4169565	67534783.5
Path28 : 11	1	135069566	q25	gneg	q25	Path28	-	11	False	130900000	135069565	gneg	0	Path28 : 11	11	q25	gneg	4169565	67534783.5
Path29 : 13	1	114352103	q34	gneg	q34	Path29	+	13	False	109600000	114352102	gneg	0	Path29 : 13	13	q34	gneg	4752102	57176052.0
Path3 : 1	1	5452769	q44	gneg	q44	Path3	-	1	False	243500000	248943333	gneg	2	Path3 : 1	1	q44	gneg	5443333	2726385.0
Path30 : 13	1	114352103	q34	gneg	q34	Path30	-	13	False	109600000	114352102	gneg	0	Path30 : 13	13	q34	gneg	4752102	57176052.0
Path31 : 15	1	101976508	q26.3	gneg	q26	Path31	+	15	True	98000000	101976509	gneg	0	Path31 : 15	15	q26.3	gneg	3976509	50988254.5
Path32 : 15	1	101976508	q26.3	gneg	q26	Path32	-	15	False	98000000	101976509	gneg	0	Path32 : 15	15	q26.3	gneg	3976509	50988254.5
Path33 : 16	1	90224752	q24.3	gneg	q24	Path33	+	16	False	88700000	90224751	gneg	0	Path33 : 16	16	q24	gneg	6124751	45112376.5
Path34 : 16	1	90224752	q24.1	gneg	q24	Path34	-	16	True	84100000	87000000	gneg	0	Path34 : 16	16	q24	gneg	6124751	45112376.5
Path35 : 17	1	83246393	q25.3	gneg	q25	Path35	+	17	False	77200000	83246392	gneg	0	Path35 : 17	17	q25	gneg	10346392	41623197.0
Path36 : 17	1	83246393	q25.1	gneg	q25	Path36	-	17	True	72900000	76800000	gneg	0	Path36 : 17	17	q25	gneg	10346392	41623197.0
Path37 : 18	1	80203365	q23	gneg	q23	Path37	+	18	True	75400000	80243011	gneg	0	Path37 : 18	18	q23	gneg	4843011	40101683.0
Path38 : 18	1	72825772	q23	gneg	q23	Path38	-	18	False	75400000	80243011	gneg	0	Path38 : 18	18	q23	gneg	4843011	36412886.5
Path39 : 19	1	58605716	q13.43	gpos25	q13	Path39	+	19	False	55800000	58605715	gneg	0	Path39 : 19	19	q13.4	gpos25	7705715	29302858.5
Path4 : der(2)t(2;14)	1	193377772	q32.3	gpos75	q32	Path4	+	2	True	191100000	193404433	gpos75	0	Path4 : (2;14)	2	q32	gpos100	11304432	96688886.5
Path4 : der(2)t(2;14)	193377772	232648902	q32.33	gneg	q32	Path4	+	14	True	103500000	106873282	gneg	0	Path4 : (2;14)	2	q32	gneg	17573282	213013337.0
Path40 : 19	1	58605716	q13.41	gpos25	q13	Path40	-	19	True	50900000	53100000	gpos25	0	Path40 : 19	19	q13.4	gpos25	7705715	29302858.5
