Segments,smap_id,q_id,ref_c_id1,ref_c_id2,ref_start,ref_end,confidence,sv_type,size,VAF,Paths
Segment 1,232,281,1,6,209351648.0,90579357.0,0.02,translocation_interchr,-1.0,0,[]
Segment 1,236,282,1,6,209351648.0,90579357.0,0.31,translocation_interchr,-1.0,0,[]
Segment 2,240,12,1,6,209351648.0,90579357.0,0.15,translocation_interchr,-1.0,0,['Path 3']
Segment 2,241,12,1,6,213683356.0,93996468.0,0.38,translocation_interchr,-1.0,0,[]
Segment 2,237,11,1,6,209351648.0,90579357.0,0.04,translocation_interchr,-1.0,0,[]
Segment 2,238,11,1,6,213683356.0,93996468.0,0.25,translocation_interchr,-1.0,0,[]
Segment 3,284,282,1,6,213698339.0,93983607.0,0.08,translocation_interchr,-1.0,0,['Path 2']
Segment 3,261,281,1,6,213698339.0,93983607.0,0.41,translocation_interchr,-1.0,0,[]
Segment 4,347,1350,2,2,6763399.0,11097905.0,1.0,inversion,308742.0,0,[]
Segment 7,347,1350,2,2,6763399.0,11097905.0,1.0,inversion,308742.0,0,[]
Segment 8,352,1251,2,2,45354844.0,180869229.0,0.92,translocation_intrachr,-1.0,0,[]
Segment 8,350,1252,2,2,45354844.0,180869229.0,0.47,translocation_intrachr,-1.0,0,[]
Segment 9,353,1282,2,2,45356197.0,180852829.0,0.9,translocation_intrachr,-1.0,0,['Path 6']
Segment 9,354,1281,2,2,45356197.0,180852829.0,0.68,translocation_intrachr,-1.0,0,[]
Segment 9,317,141,2,2,51025616.0,189247949.0,0.02,translocation_intrachr,-1.0,0,[]
Segment 9,346,142,2,2,51025616.0,189247949.0,0.23,translocation_intrachr,-1.0,0,[]
Segment 10,353,1282,2,2,45356197.0,180852829.0,0.9,translocation_intrachr,-1.0,0,['Path 6']
Segment 10,354,1281,2,2,45356197.0,180852829.0,0.68,translocation_intrachr,-1.0,0,[]
Segment 10,389,51,2,2,51027102.0,189231640.0,0.39,translocation_intrachr,-1.0,0,[]
Segment 10,413,52,2,2,51027102.0,189231640.0,0.07,translocation_intrachr,-1.0,0,[]
Segment 11,352,1251,2,2,45354844.0,180869229.0,0.92,translocation_intrachr,-1.0,0,['Path 6']
Segment 11,389,51,2,2,51027102.0,189231640.0,0.39,translocation_intrachr,-1.0,0,[]
Segment 11,350,1252,2,2,45354844.0,180869229.0,0.47,translocation_intrachr,-1.0,0,[]
Segment 11,413,52,2,2,51027102.0,189231640.0,0.07,translocation_intrachr,-1.0,0,[]
Segment 12,346,142,2,2,51025616.0,189247949.0,0.23,translocation_intrachr,-1.0,0,['Path 6']
Segment 12,573,362,2,2,205822040.0,208791528.0,0.99,deletion,2831189.2,0,[]
Segment 12,317,141,2,2,51025616.0,189247949.0,0.02,translocation_intrachr,-1.0,0,[]
Segment 12,575,361,2,2,205822040.0,208791528.0,0.99,deletion,2831189.2,0,[]
Segment 14,573,362,2,2,205822040.0,208791528.0,0.99,deletion,2831189.2,0,['Path 6']
Segment 14,575,361,2,2,205822040.0,208791528.0,0.99,deletion,2831189.2,0,[]
Segment 15,691,271,3,3,40024722.0,47416553.0,0.15,translocation_intrachr,-1.0,0,[]
Segment 15,693,272,3,3,40024722.0,47416553.0,0.12,translocation_intrachr,-1.0,0,[]
Segment 17,691,271,3,3,40024722.0,47416553.0,0.15,translocation_intrachr,-1.0,0,['Path 8']
Segment 17,693,272,3,3,40024722.0,47416553.0,0.12,translocation_intrachr,-1.0,0,[]
Segment 19,971,1200,4,4,36167207.0,43218398.0,0.92,translocation_intrachr,-1.0,0,[]
Segment 21,971,1200,4,4,36167207.0,43218398.0,0.92,translocation_intrachr,-1.0,0,['Path 10']
Segment 23,1297,1210,5,8,79082160.0,52990538.0,0.96,translocation_interchr,-1.0,0,[]
Segment 24,1298,1320,5,8,79090806.0,52983868.0,0.49,translocation_interchr,-1.0,0,['Path 13']
Segment 24,1373,792,5,8,87255816.0,61171717.0,0.7,translocation_interchr,-1.0,0,[]
Segment 24,1375,791,5,8,87255816.0,61171717.0,0.82,translocation_interchr,-1.0,0,[]
Segment 25,1446,1360,5,8,87255816.0,61171717.0,0.65,translocation_interchr,-1.0,0,['Path 12']
Segment 26,240,12,1,6,209351648.0,90579357.0,0.15,translocation_interchr,-1.0,0,['Path 3']
Segment 26,1547,12,6,6,90579357.0,93996468.0,0.99,insertion,925282.4,0,[]
Segment 26,237,11,1,6,209351648.0,90579357.0,0.04,translocation_interchr,-1.0,0,[]
Segment 26,1567,11,6,6,90579357.0,93996468.0,0.99,insertion,924972.8,0,[]
Segment 27,232,281,1,6,209351648.0,90579357.0,0.02,translocation_interchr,-1.0,0,['Path 4']
Segment 27,261,281,1,6,213698339.0,93983607.0,0.41,translocation_interchr,-1.0,0,[]
Segment 27,236,282,1,6,209351648.0,90579357.0,0.31,translocation_interchr,-1.0,0,[]
Segment 27,284,282,1,6,213698339.0,93983607.0,0.08,translocation_interchr,-1.0,0,[]
Segment 28,241,12,1,6,213683356.0,93996468.0,0.38,translocation_interchr,-1.0,0,[]
Segment 28,1547,12,6,6,90579357.0,93996468.0,0.99,insertion,925282.4,0,[]
Segment 28,238,11,1,6,213683356.0,93996468.0,0.25,translocation_interchr,-1.0,0,[]
Segment 28,1567,11,6,6,90579357.0,93996468.0,0.99,insertion,924972.8,0,[]
Segment 30,1780,1230,7,7,64185630.0,66817386.0,-1.0,duplication_split,2861187.0,0,"['Path 14', 'Path 15', 'Path 15', 'Path 15']"
Segment 32,1298,1320,5,8,79090806.0,52983868.0,0.49,translocation_interchr,-1.0,0,['Path 13']
Segment 33,1297,1210,5,8,79082160.0,52990538.0,0.96,translocation_interchr,-1.0,0,['Path 13']
Segment 33,1446,1360,5,8,87255816.0,61171717.0,0.65,translocation_interchr,-1.0,0,[]
