chr	start	end	original_name	original_stain	band_base	Path	strand	chrom	bp	original_start	original_end	Updated_stain	centromere	iscn	sort_chrom	name	gieStain
Path3 : 1	1	7085548	p36.31	gneg	p36	Path3	+	1	True	5300000	7100000	gneg	0	Path3 : 1	1	p36.3	gneg
Path3 : 1	7085548	15885548	p36.21	gpos50	p36	Path3	+	1	True	12500000	15900000	gneg	0	Path3 : 1	1	p36.2	gpos50
Path3 : 1	15885548	27585547	p36.11	gneg	p36	Path3	+	1	True	23600000	27600000	gneg	0	Path3 : 1	1	p36.1	gneg
Path3 : 1	27585547	34285547	p35.1	gpos25	p35	Path3	+	1	True	32300000	34300000	gpos25	0	Path3 : 1	1	p35	gpos25
Path3 : 1	34285547	39585547	p34.3	gneg	p34	Path3	+	1	True	34300000	39600000	gneg	0	Path3 : 1	1	p34.3	gneg
Path3 : 1	39585547	43685547	p34.2	gpos25	p34	Path3	+	1	True	39600000	43700000	gneg	0	Path3 : 1	1	p34.2	gpos25
Path3 : 1	43685547	46285547	p34.1	gneg	p34	Path3	+	1	True	43700000	46300000	gneg	0	Path3 : 1	1	p34.1	gneg
Path3 : 1	46285547	50185547	p33	gpos75	p33	Path3	+	1	True	46300000	50200000	gpos75	0	Path3 : 1	1	p33	gpos75
Path3 : 1	50185547	60785547	p32.1	gneg	p32	Path3	+	1	True	58500000	60800000	gneg	0	Path3 : 1	1	p32	gneg
Path3 : 1	60785547	84385547	p31.1	gpos100	p31	Path3	+	1	True	69300000	84400000	gpos50	0	Path3 : 1	1	p31	gpos100
Path3 : 1	84385547	94285547	p22.1	gneg	p22	Path3	+	1	True	91500000	94300000	gneg	0	Path3 : 1	1	p22	gneg
Path3 : 1	94285547	106679874	p21.1	gpos100	p21	Path3	+	1	True	101800000	106700000	gpos75	0	Path3 : 1	1	p21	gpos100
Path3 : 1	106679874	117179874	p13.1	gneg	p13	Path3	+	1	True	115500000	117200000	gneg	0	Path3 : 1	1	p13	gneg
Path3 : 1	117179874	120379874	p12	gpos50	p12	Path3	+	1	True	117200000	120400000	gpos50	0	Path3 : 1	1	p12	gpos575
Path3 : 1	120379874	123253271	p11.1	acen	p11	Path3	+	1	True	121734676	123400000	acen	0	Path3 : 1	1	p11	acen
Path3 : 1	123253271	124953271	q11	acen	q11	Path3	+	1	True	123400000	125100000	acen	0	Path3 : 1	1	q11	acen
