chr	start	end
Path1 : 1	1	248863492
Path4 : der(1)t(1;12)	1	260779696
Path6 : 2	1	230160090
Path8 : 2	1	242144187
Path12 : der(3)t(3;18)	1	185743831
Path9 : 3	1	198198249
Path13 : 4	1	190202564
Path14 : 4	1	190202564
Path15 : 5	1	181472714
Path16 : 5	1	181472714
Path17 : 6	1	170739897
Path18 : 6	1	170739897
Path19 : 7	1	159277519
Path20 : 7	1	62057056
Path21 : 8	1	145076125
Path22 : 8	1	145076125
Path23 : 9	1	138298004
Path24 : 9	1	146519257
Path25 : 10	1	133785266
Path26 : 10	1	133785266
Path5 : 11	1	141165967
Path7 : der(11)t(2;11)	1	144403419
Path2 : 12	1	133200511
Path3 : 12	1	133200511
Path27 : 13	1	114352102
Path28 : 13	1	114352102
Path29 : 14	1	106873282
Path30 : 14	1	106873282
Path31 : 15	1	84905375
Path32 : 15	1	92316405
Path33 : 16	1	89130572
Path34 : 16	1	37447682
Path35 : 17	1	83246392
Path36 : 17	1	83246392
Path10 : der(18)t(3;18)	1	89146665
Path11 : der(18)t(3;18)	1	77500955
Path37 : 19	1	58605715
Path38 : 19	1	58605715
Path39 : 20	1	64333718
Path40 : 20	1	64333718
Path41 : 21	1	46697228
Path42 : 21	1	46697228
Path43 : 22	1	50805587
Path44 : 22	1	50805587
Path45 : X	1	156006856
Path46 : X	1	154311286
