file_name,cluster,n_origin_chr,origin_chr,n_path_karsim,n_path_omkar,total_alignment_cost,alignment_costs,event_chr,is_event_cluster,n_event_chr,segment_distance,segment_distance_improvement,approximated_distance,n_approximated_edges,karsim_missed_transition,omkar_missed_transition,unaccounted_distance,log10_unaccounted_distance,total_missed_transition
23X_15q26_overgrowth_r1,0,1,['Chr1'],2,2,64203,"[41160, 23043]","['Chr1', 'Chr2', 'Chr3', 'Chr5', 'Chr6', 'Chr8', 'Chr11', 'Chr13', 'Chr15']",True,1,64203,0,104199,8,0,0,0,0.0,0
23X_15q26_overgrowth_r1,1,1,['Chr2'],2,2,188445274,"[188232388, 212886]","['Chr1', 'Chr2', 'Chr3', 'Chr5', 'Chr6', 'Chr8', 'Chr11', 'Chr13', 'Chr15']",True,1,188445268,6,57187,5,1,4,188388081,8.275053422237772,5
23X_15q26_overgrowth_r1,10,1,['Chr11'],2,2,22574,"[15518, 7056]","['Chr1', 'Chr2', 'Chr3', 'Chr5', 'Chr6', 'Chr8', 'Chr11', 'Chr13', 'Chr15']",True,1,22570,4,34110,2,2,2,0,0.0,4
23X_15q26_overgrowth_r1,11,1,['Chr12'],2,2,2696,"[1348, 1348]","['Chr1', 'Chr2', 'Chr3', 'Chr5', 'Chr6', 'Chr8', 'Chr11', 'Chr13', 'Chr15']",False,0,2696,0,22694,2,0,0,0,0.0,0
23X_15q26_overgrowth_r1,12,1,['Chr13'],2,1,183591686,"[96303080, 87288606]","['Chr1', 'Chr2', 'Chr3', 'Chr5', 'Chr6', 'Chr8', 'Chr11', 'Chr13', 'Chr15']",True,1,183591674,12,0,0,2,2,183591674,8.263852981778907,4
23X_15q26_overgrowth_r1,13,1,['Chr14'],2,2,20870,"[10435, 10435]","['Chr1', 'Chr2', 'Chr3', 'Chr5', 'Chr6', 'Chr8', 'Chr11', 'Chr13', 'Chr15']",False,0,20870,0,0,0,0,2,20870,4.319522449065454,2
23X_15q26_overgrowth_r1,14,1,['Chr15'],2,2,153408633,"[153366646, 41987]","['Chr1', 'Chr2', 'Chr3', 'Chr5', 'Chr6', 'Chr8', 'Chr11', 'Chr13', 'Chr15']",True,1,153408619,14,65575,7,2,7,153343044,8.185664080149389,9
23X_15q26_overgrowth_r1,15,1,['Chr16'],2,2,7186,"[3593, 3593]","['Chr1', 'Chr2', 'Chr3', 'Chr5', 'Chr6', 'Chr8', 'Chr11', 'Chr13', 'Chr15']",False,0,7186,0,0,0,0,2,7186,3.8564872128686307,2
23X_15q26_overgrowth_r1,16,1,['Chr17'],2,2,2096,"[1048, 1048]","['Chr1', 'Chr2', 'Chr3', 'Chr5', 'Chr6', 'Chr8', 'Chr11', 'Chr13', 'Chr15']",False,0,2096,0,22094,2,0,0,0,0.0,0
23X_15q26_overgrowth_r1,17,1,['Chr18'],2,2,13820,"[6910, 6910]","['Chr1', 'Chr2', 'Chr3', 'Chr5', 'Chr6', 'Chr8', 'Chr11', 'Chr13', 'Chr15']",False,0,13820,0,0,0,0,2,13820,4.14050804303818,2
23X_15q26_overgrowth_r1,18,1,['Chr19'],2,2,3800,"[1900, 1900]","['Chr1', 'Chr2', 'Chr3', 'Chr5', 'Chr6', 'Chr8', 'Chr11', 'Chr13', 'Chr15']",False,0,3800,0,23798,2,0,0,0,0.0,0
23X_15q26_overgrowth_r1,19,1,['Chr20'],2,2,896,"[448, 448]","['Chr1', 'Chr2', 'Chr3', 'Chr5', 'Chr6', 'Chr8', 'Chr11', 'Chr13', 'Chr15']",False,0,896,0,0,0,0,2,896,2.9523080096621253,2
23X_15q26_overgrowth_r1,2,1,['Chr3'],2,2,16802,"[11840, 4962]","['Chr1', 'Chr2', 'Chr3', 'Chr5', 'Chr6', 'Chr8', 'Chr11', 'Chr13', 'Chr15']",True,1,16798,4,0,0,2,4,16798,4.225257576924099,6
23X_15q26_overgrowth_r1,20,1,['Chr21'],2,2,5504,"[2752, 2752]","['Chr1', 'Chr2', 'Chr3', 'Chr5', 'Chr6', 'Chr8', 'Chr11', 'Chr13', 'Chr15']",False,0,5504,0,25502,2,0,0,0,0.0,0
23X_15q26_overgrowth_r1,21,1,['Chr22'],2,2,5760,"[2880, 2880]","['Chr1', 'Chr2', 'Chr3', 'Chr5', 'Chr6', 'Chr8', 'Chr11', 'Chr13', 'Chr15']",False,0,5760,0,25758,2,0,0,0,0.0,0
23X_15q26_overgrowth_r1,22,1,['ChrX'],2,2,10564,"[5282, 5282]","['Chr1', 'Chr2', 'Chr3', 'Chr5', 'Chr6', 'Chr8', 'Chr11', 'Chr13', 'Chr15']",False,0,10564,0,30562,2,0,0,0,0.0,0
23X_15q26_overgrowth_r1,3,1,['Chr4'],2,2,3980,"[1990, 1990]","['Chr1', 'Chr2', 'Chr3', 'Chr5', 'Chr6', 'Chr8', 'Chr11', 'Chr13', 'Chr15']",False,0,3980,0,23978,2,0,0,0,0.0,0
23X_15q26_overgrowth_r1,4,1,['Chr5'],2,2,61524,"[26876, 34648]","['Chr1', 'Chr2', 'Chr3', 'Chr5', 'Chr6', 'Chr8', 'Chr11', 'Chr13', 'Chr15']",True,1,61524,0,57708,6,0,2,3816,3.5816083660320577,2
