chr	start	end	original_name	original_stain	band_base	Path	strand	chrom	bp	original_start	original_end	Updated_stain	centromere	iscn	sort_chrom	name	gieStain
Path1 : 1	1	7080315	p36.33	gneg	p36	Path1	-	1	True	19686	2300000	gneg	0	Path1 : 1	1	p36.3	gneg
Path1 : 1	7080315	15880315	p36.23	gpos25	p36	Path1	-	1	True	7100000	9100000	gneg	0	Path1 : 1	1	p36.2	gpos50
Path1 : 1	15880315	27580315	p36.13	gneg	p36	Path1	-	1	True	15900000	20100000	gneg	0	Path1 : 1	1	p36.1	gneg
Path1 : 1	27580315	34280315	p35.3	gpos25	p35	Path1	-	1	True	27600000	29900000	gpos25	0	Path1 : 1	1	p35	gpos25
Path1 : 1	34280315	39580315	p34.3	gneg	p34	Path1	-	1	True	34300000	39600000	gneg	0	Path1 : 1	1	p34.3	gneg
Path1 : 1	39580315	43680315	p34.2	gpos25	p34	Path1	-	1	True	39600000	43700000	gneg	0	Path1 : 1	1	p34.2	gpos25
Path1 : 1	43680315	46280315	p34.1	gneg	p34	Path1	-	1	True	43700000	46300000	gneg	0	Path1 : 1	1	p34.1	gneg
Path1 : 1	46280315	50180315	p33	gpos75	p33	Path1	-	1	True	46300000	50200000	gpos75	0	Path1 : 1	1	p33	gpos75
Path1 : 1	50180315	60780315	p32.3	gneg	p32	Path1	-	1	True	50200000	55600000	gneg	0	Path1 : 1	1	p32	gneg
Path1 : 1	60780315	84380315	p31.3	gpos50	p31	Path1	-	1	True	60800000	68500000	gpos100	0	Path1 : 1	1	p31	gpos100
Path1 : 1	84380315	94280315	p22.3	gneg	p22	Path1	-	1	True	84400000	87900000	gneg	0	Path1 : 1	1	p22	gneg
Path1 : 1	94280315	106680315	p21.3	gpos75	p21	Path1	-	1	True	94300000	99300000	gpos100	0	Path1 : 1	1	p21	gpos100
Path1 : 1	106680315	117180315	p13.3	gneg	p13	Path1	-	1	True	106700000	111200000	gneg	0	Path1 : 1	1	p13	gneg
Path1 : 1	117180315	120380315	p12	gpos50	p12	Path1	-	1	True	117200000	120400000	gpos50	0	Path1 : 1	1	p12	gpos575
Path1 : 1	120380315	123380315	p11.2	gneg	p11	Path1	-	1	True	120400000	121700000	acen	0	Path1 : 1	1	p11	acen
Path1 : 1	123380315	125080315	q11	acen	q11	Path1	-	1	True	123400000	125100000	acen	0	Path1 : 1	1	q11	acen
Path1 : 1	125080315	143180315	q12	gvar	q12	Path1	-	1	True	125100000	143200000	gvar	0	Path1 : 1	1	q12	gpos100
Path1 : 1	143180315	155080315	q21.1	gneg	q21	Path1	-	1	True	143200000	147500000	gneg	0	Path1 : 1	1	q21	gneg
Path1 : 1	155080315	156580315	q22	gpos50	q22	Path1	-	1	True	155100000	156600000	gpos50	0	Path1 : 1	1	q22	gpos25
Path1 : 1	156580315	165480315	q23.1	gneg	q23	Path1	-	1	True	156600000	159100000	gneg	0	Path1 : 1	1	q23	gneg
Path1 : 1	165480315	172980315	q24.1	gpos50	q24	Path1	-	1	True	165500000	167200000	gpos75	0	Path1 : 1	1	q24	gpos50
Path1 : 1	172980315	185780315	q25.1	gneg	q25	Path1	-	1	True	173000000	176100000	gneg	0	Path1 : 1	1	q25	gneg
Path1 : 1	185780315	198680315	q31.1	gpos100	q31	Path1	-	1	True	185800000	190800000	gpos100	0	Path1 : 1	1	q31	gpos100
Path1 : 1	198680315	214380315	q32.1	gneg	q32	Path1	-	1	True	198700000	207100000	gneg	0	Path1 : 1	1	q32	gneg
Path1 : 1	214380315	223880315	q41	gpos100	q41	Path1	-	1	True	214400000	223900000	gpos100	0	Path1 : 1	1	q41	gpos100
Path1 : 1	223880315	236380315	q42.11	gneg	q42	Path1	-	1	True	223900000	224400000	gneg	0	Path1 : 1	1	q42	gneg
Path1 : 1	236380315	243474501	q43	gpos75	q43	Path1	-	1	True	236400000	243484751	gpos75	0	Path1 : 1	1	q43	gpos100
Path1 : 1	243474501	248917834	q44	gneg	q44	Path1	-	1	False	243500000	248943333	gneg	0	Path1 : 1	1	q44	gneg
Path2 : 1	1	7080315	p36.31	gneg	p36	Path2	+	1	True	5300000	7100000	gneg	0	Path2 : 1	1	p36.3	gneg
Path2 : 1	7080315	15880315	p36.21	gpos50	p36	Path2	+	1	True	12500000	15900000	gneg	0	Path2 : 1	1	p36.2	gpos50
Path2 : 1	15880315	27580315	p36.11	gneg	p36	Path2	+	1	True	23600000	27600000	gneg	0	Path2 : 1	1	p36.1	gneg
Path2 : 1	27580315	34280315	p35.1	gpos25	p35	Path2	+	1	True	32300000	34300000	gpos25	0	Path2 : 1	1	p35	gpos25
Path2 : 1	34280315	39580315	p34.3	gneg	p34	Path2	+	1	True	34300000	39600000	gneg	0	Path2 : 1	1	p34.3	gneg
Path2 : 1	39580315	43680315	p34.2	gpos25	p34	Path2	+	1	True	39600000	43700000	gneg	0	Path2 : 1	1	p34.2	gpos25
Path2 : 1	43680315	46280315	p34.1	gneg	p34	Path2	+	1	True	43700000	46300000	gneg	0	Path2 : 1	1	p34.1	gneg
Path2 : 1	46280315	50180315	p33	gpos75	p33	Path2	+	1	True	46300000	50200000	gpos75	0	Path2 : 1	1	p33	gpos75
Path2 : 1	50180315	60780315	p32.1	gneg	p32	Path2	+	1	True	58500000	60800000	gneg	0	Path2 : 1	1	p32	gneg
Path2 : 1	60780315	84380315	p31.1	gpos100	p31	Path2	+	1	True	69300000	84400000	gpos50	0	Path2 : 1	1	p31	gpos100
Path2 : 1	84380315	94280315	p22.1	gneg	p22	Path2	+	1	True	91500000	94300000	gneg	0	Path2 : 1	1	p22	gneg
Path2 : 1	94280315	106680315	p21.1	gpos100	p21	Path2	+	1	True	101800000	106700000	gpos75	0	Path2 : 1	1	p21	gpos100
Path2 : 1	106680315	117180315	p13.1	gneg	p13	Path2	+	1	True	115500000	117200000	gneg	0	Path2 : 1	1	p13	gneg
Path2 : 1	117180315	120380315	p12	gpos50	p12	Path2	+	1	True	117200000	120400000	gpos50	0	Path2 : 1	1	p12	gpos575
Path2 : 1	120380315	123380315	p11.1	acen	p11	Path2	+	1	True	121700000	123400000	acen	0	Path2 : 1	1	p11	acen
Path2 : 1	123380315	125080315	q11	acen	q11	Path2	+	1	True	123400000	125100000	acen	0	Path2 : 1	1	q11	acen
Path2 : 1	125080315	143180315	q12	gvar	q12	Path2	+	1	True	125100000	143200000	gvar	0	Path2 : 1	1	q12	gpos100
Path2 : 1	143180315	155080315	q21.3	gneg	q21	Path2	+	1	True	150600000	155100000	gneg	0	Path2 : 1	1	q21	gneg
Path2 : 1	155080315	156580315	q22	gpos50	q22	Path2	+	1	True	155100000	156600000	gpos50	0	Path2 : 1	1	q22	gpos25
Path2 : 1	156580315	165480315	q23.3	gneg	q23	Path2	+	1	True	160500000	165500000	gneg	0	Path2 : 1	1	q23	gneg
Path2 : 1	165480315	172980315	q24.3	gpos75	q24	Path2	+	1	True	170900000	173000000	gpos50	0	Path2 : 1	1	q24	gpos50
Path2 : 1	172980315	185780315	q25.3	gneg	q25	Path2	+	1	True	180300000	185800000	gneg	0	Path2 : 1	1	q25	gneg
Path2 : 1	185780315	198680315	q31.3	gpos100	q31	Path2	+	1	True	193800000	198700000	gpos100	0	Path2 : 1	1	q31	gpos100
Path2 : 1	198680315	214380315	q32.3	gneg	q32	Path2	+	1	True	211300000	214400000	gneg	0	Path2 : 1	1	q32	gneg
Path2 : 1	214380315	223880315	q41	gpos100	q41	Path2	+	1	True	214400000	223900000	gpos100	0	Path2 : 1	1	q41	gpos100
Path2 : 1	223880315	236380315	q42.3	gneg	q42	Path2	+	1	True	234600000	236400000	gneg	0	Path2 : 1	1	q42	gneg
Path2 : 1	236380315	243474501	q43	gpos75	q43	Path2	+	1	True	243490565	243500000	gpos75	0	Path2 : 1	1	q43	gpos100
Path2 : 1	243474501	248917834	q44	gneg	q44	Path2	+	1	True	243500000	248943333	gneg	0	Path2 : 1	1	q44	gneg
Path4 : der(2)t(2;14)	1	11977937	p25.1	gneg	p25	Path4	+	2	True	6900000	12000000	gneg	0	Path4 : (2;14)	2	p25	gneg
Path4 : der(2)t(2;14)	11977937	23777937	p24.1	gpos75	p24	Path4	+	2	True	19000000	23800000	gpos75	0	Path4 : (2;14)	2	p24	gpos100
Path4 : der(2)t(2;14)	23777937	31777937	p23.1	gneg	p23	Path4	+	2	True	29800000	31800000	gneg	0	Path4 : (2;14)	2	p23	gneg
Path4 : der(2)t(2;14)	31777937	41477937	p22.1	gpos50	p22	Path4	+	2	True	38300000	41500000	gpos75	0	Path4 : (2;14)	2	p22	gpos100
Path4 : der(2)t(2;14)	41477937	47477937	p21	gneg	p21	Path4	+	2	True	41500000	47500000	gneg	0	Path4 : (2;14)	2	p21	gneg
Path4 : der(2)t(2;14)	47477937	60976087	p16.1	gpos100	p16	Path4	+	2	True	59014091	61000000	gpos100	0	Path4 : (2;14)	2	p16	gpos100
Path4 : der(2)t(2;14)	60976087	63873340	p15	gneg	p15	Path4	+	2	True	61599877	63900000	gneg	0	Path4 : (2;14)	2	p15	gneg
Path4 : der(2)t(2;14)	63873340	68373340	p14	gpos50	p14	Path4	+	2	True	63900000	68400000	gpos50	0	Path4 : (2;14)	2	p14	gpos50
Path4 : der(2)t(2;14)	68373340	74773340	p13.1	gneg	p13	Path4	+	2	True	73300000	74800000	gneg	0	Path4 : (2;14)	2	p13	gneg
Path4 : der(2)t(2;14)	74773340	83073340	p12	gpos100	p12	Path4	+	2	True	74800000	83100000	gpos100	0	Path4 : (2;14)	2	p12	gpos100
Path4 : der(2)t(2;14)	83073340	91773340	p11.2	gneg	p11	Path4	+	2	True	83100000	91800000	acen	0	Path4 : (2;14)	2	p11.2	gneg
Path4 : der(2)t(2;14)	91773340	93873340	p11.1	acen	p11	Path4	+	2	True	91800000	93900000	acen	0	Path4 : (2;14)	2	p11.1	acen
Path4 : der(2)t(2;14)	93873340	95973340	q11.1	acen	q11	Path4	+	2	True	93900000	96000000	acen	0	Path4 : (2;14)	2	q11.1	acen
Path4 : der(2)t(2;14)	95973340	102073340	q11.2	gneg	q11	Path4	+	2	True	96000000	102100000	acen	0	Path4 : (2;14)	2	q11.2	gneg
