chr	start	end	original_name	original_stain	band_base	Path	strand	chrom	bp	original_start	original_end	Updated_stain	centromere	iscn	sort_chrom	name	gieStain	delta	midpoint
Path1 : 9	1	138334460	q34.3	gneg	q34	Path1	+	9	True	134500000	138334464	gneg	0	Path1 : 9	9	q34	gneg	10834464	69167230.5
Path10 : dic(4;1)	1	142758493	q31.21	gpos25	q31	Path10	+	4	False	140600000	142758492	gneg	1	Path10 : (1;4)	4	q31.2	gpos25	2158492	71379247.0
Path10 : dic(4;1)	142758493	310884678	q44	gneg	q44	Path10	+	1	True	243500000	248943333	gneg	1	Path10 : (1;4)	4	q44	gneg	5443333	226821585.5
Path11 : 2	1	242181358	q37.3	gneg	q37	Path11	+	2	False	236400000	242181357	gneg	0	Path11 : 2	2	q37	gneg	12081357	121090679.5
Path12 : 2	1	242181358	q37.1	gneg	q37	Path12	-	2	True	230100000	234700000	gneg	0	Path12 : 2	2	q37	gneg	12081357	121090679.5
Path13 : 5	1	181472715	q35.3	gneg	q35	Path13	+	5	False	177100000	181472714	gneg	0	Path13 : 5	5	q35	gneg	12472714	90736358.0
Path14 : 5	1	181472715	q35.1	gneg	q35	Path14	-	5	True	169000000	173300000	gneg	0	Path14 : 5	5	q35	gneg	12472714	90736358.0
Path15 : 6	1	170739898	q27	gneg	q27	Path15	+	6	False	164100000	170739897	gneg	0	Path15 : 6	6	q27	gneg	6639897	85369949.5
Path16 : 6	1	170739898	q27	gneg	q27	Path16	-	6	False	164100000	170739897	gneg	0	Path16 : 6	6	q27	gneg	6639897	85369949.5
Path17 : 7	1	159334985	q36.3	gneg	q36	Path17	+	7	False	155200000	159334984	gneg	0	Path17 : 7	7	q36	gneg	11134984	79667493.0
Path18 : 7	1	159334985	q36.1	gneg	q36	Path18	-	7	True	148200000	152800000	gneg	0	Path18 : 7	7	q36	gneg	11134984	79667493.0
Path19 : 8	1	289066908	p23.3	gneg	p23	Path19	-	8	True	0	2300000	gneg	0	Path19 : 8	8	p23	gneg	12800000	144533454.5
Path2 : der(1)t(1;9)	1	196233041	q31.1	gpos100	q31	Path2	-	1	True	185800000	190800000	gpos100	0	Path2 : (1;9)	1	q31	gpos100	10433042	98116521.0
Path2 : der(1)t(1;9)	196233041	218060719	q34.11	gneg	q34	Path2	-	9	True	127500000	130600000	gneg	0	Path2 : (1;9)	1	q34	gneg	10834464	207146880.0
Path20 : 10	1	133785265	q26.3	gneg	q26	Path20	+	10	True	128800000	133785266	gneg	0	Path20 : 10	10	q26	gneg	16485266	66892633.0
Path21 : der(12)t(10;12)	1	46122782	q13.11	gneg	q13	Path21	-	12	True	46000000	46142503	gneg	0	Path21 : (12;10)	12	q13	gneg	142503	23061391.5
Path21 : der(12)t(10;12)	46122782	83331665	q26.11	gneg	q26	Path21	-	10	True	117300000	119900000	gneg	0	Path21 : (12;10)	12	q26	gneg	16485266	64727223.5
Path22 : der(12)t(10;12)	1	44986346	q12	gpos100	q12	Path22	+	12	True	37800000	45006066	gpos100	0	Path22 : (12;10)	12	q12	gpos75	7206066	22493173.5
Path22 : der(12)t(10;12)	44986346	46965295	q24.1	gneg	q24	Path22	+	10	True	95300000	96576382	gneg	0	Path22 : (12;10)	12	q24	gneg	1276382	45975820.5
Path22 : der(12)t(10;12)	46965295	134066868	q24.33	gneg	q24	Path22	+	12	True	128700000	133258008	gneg	0	Path22 : (12;10)	12	q24.3	gneg	12958008	90516081.5
Path23 : der(10)t(10;12)	1	94597433	q23.1	gpos100	q23	Path23	-	10	True	80300000	86100000	gneg	0	Path23 : (12;10)	10	q23	gpos75	14297432	47298717.0
Path23 : der(10)t(10;12)	94597433	181518814	q24.31	gneg	q24	Path23	-	12	True	120300000	125400000	gneg	0	Path23 : (12;10)	10	q24.3	gneg	12958008	138058123.5
Path24 : 11	1	135069564	q25	gneg	q25	Path24	+	11	True	130900000	135069565	gneg	0	Path24 : 11	11	q25	gneg	4169565	67534782.5
Path25 : 11	1	135069564	q25	gneg	q25	Path25	-	11	False	130900000	135069565	gneg	0	Path25 : 11	11	q25	gneg	4169565	67534782.5
Path26 : 13	1	98334102	q34	gneg	q34	Path26	+	13	True	109600000	114350910	gneg	0	Path26 : 13	13	q34	gneg	4750910	49167051.5
Path27 : 13	1	99835320	q34	gneg	q34	Path27	-	13	False	109600000	114350910	gneg	0	Path27 : 13	13	q34	gneg	4750910	49917660.5
Path28 : 14	1	90838537	q32.33	gneg	q32	Path28	+	14	True	103500000	106860576	gneg	0	Path28 : 14	14	q32	gneg	17560576	45419269.0
Path29 : 14	1	92015855	q32.11	gneg	q32	Path29	-	14	True	89300000	91400000	gneg	0	Path29 : 14	14	q32	gneg	17560576	46007928.0
Path3 : der(3)t(3;4)	1	26093479	p24.2	gneg	p24	Path3	+	3	False	23800000	26093478	gpos100	0	Path3 : (3;4)	3	p24	gpos100	9793478	13046740.0
Path3 : der(3)t(3;4)	26093479	27716767	q34.3	gpos100	q34	Path3	+	4	True	176600000	176649932	gpos75	0	Path3 : (3;4)	3	q34	gpos100	1623288	26905123.0
Path3 : der(3)t(3;4)	27716767	198748937	q29	gneg	q29	Path3	+	3	True	192600000	198230596	gneg	0	Path3 : (3;4)	3	q29	gneg	5630596	113232852.0
Path30 : 15	1	84908358	q26.3	gneg	q26	Path30	+	15	True	98000000	101971270	gneg	0	Path30 : 15	15	q26.3	gneg	3971270	42454179.5
Path31 : 15	1	83579712	q26.3	gneg	q26	Path31	-	15	False	98000000	101971270	gneg	0	Path31 : 15	15	q26.3	gneg	3971270	41789856.5
Path32 : 16	1	90224752	q24.3	gneg	q24	Path32	+	16	False	88700000	90224751	gneg	0	Path32 : 16	16	q24	gneg	6124751	45112376.5
Path33 : 16	1	90224752	q24.1	gneg	q24	Path33	-	16	True	84100000	87000000	gneg	0	Path33 : 16	16	q24	gneg	6124751	45112376.5
Path34 : 18	1	80256375	q23	gneg	q23	Path34	+	18	False	75400000	80256374	gneg	0	Path34 : 18	18	q23	gneg	4856374	40128188.0
Path35 : 18	1	80256375	q23	gneg	q23	Path35	-	18	False	75400000	80256374	gneg	0	Path35 : 18	18	q23	gneg	4856374	40128188.0
Path36 : 19	1	58605716	q13.43	gpos25	q13	Path36	+	19	False	55800000	58605715	gneg	0	Path36 : 19	19	q13.4	gpos25	7705715	29302858.5
Path37 : 19	1	58605716	q13.41	gpos25	q13	Path37	-	19	True	50900000	53100000	gpos25	0	Path37 : 19	19	q13.4	gpos25	7705715	29302858.5
Path38 : 20	1	64333719	q13.33	gneg	q13	Path38	+	20	False	59700000	64333718	gneg	0	Path38 : 20	20	q13.3	gneg	7933718	32166860.0
Path39 : 20	1	64333719	q13.31	gneg	q13	Path39	-	20	True	56400000	57800000	gneg	0	Path39 : 20	20	q13.3	gneg	7933718	32166860.0
