0	1	19686.0	2	H	[1]
1	1	31354465.0	2	T	[0, 2]
2	1	31394481.0	3	H	[81, 1, 3]
3	1	32821140.0	3	T	[2, 4, 78]
4	1	32840265.5	2	H	[3, 5]
5	1	32907733.0	2	T	[4, 6]
6	1	32907734.0	2	H	[83, 5, 7]
7	1	248942320.0	2	T	[6]
8	2	22064	2	H	[9]
9	2	11858121	2	T	[8, 10, 12]
10	2	11866235.0	1	H	[9, 11]
11	2	14436082.0	1	T	[10, 12]
12	2	14437635.0	2	H	[9, 11, 13]
13	2	154009602.25	2	T	[16, 12, 14]
14	2	154009603.25	2	H	[59, 13, 15]
15	2	163423853.0	2	T	[16, 60, 14]
16	2	163423854.0	2	H	[17, 13, 15]
17	2	242175920.0	2	T	[16]
18	3	17438	2	H	[19]
19	3	113246459	2	T	[18, 20]
20	3	113247229.0	1	H	[19, 21]
21	3	113353156.0	1	T	[24, 20, 22]
22	3	113353157.0	1	H	[21, 23]
23	3	119672699.0	1	T	[24, 22]
24	3	119673792.0	2	H	[25, 21, 23]
25	3	164949747.0	2	T	[24, 26, 114]
26	3	164949748.0	2	H	[25, 27, 113]
27	3	167314258.0	2	T	[116, 26, 28]
28	3	167314259.0	2	H	[115, 27, 29]
29	3	198217553.0	2	T	[28]
30	4	0	2	H	[31]
31	4	190202564	2	T	[30]
32	5	0	2	H	[33]
33	5	181472714	2	T	[32]
34	6	0	2	H	[35]
35	6	170739897	2	T	[34]
36	7	12916	2	H	[37]
37	7	61843596	2	T	[36, 38]
38	7	61875656.0	1	H	[37, 39]
39	7	159096119.0	1	T	[40, 38]
40	7	159103088	2	H	[41, 39]
41	7	159329464	2	T	[40]
42	8	0	2	H	[43]
43	8	145076125	2	T	[42]
44	9	19799.0	2	H	[45]
45	9	1898216.0	2	T	[49, 44, 46]
46	9	1898217.0	2	H	[45, 47]
47	9	1995834.0	2	T	[48, 46]
48	9	2003282.0	3	H	[49, 47]
49	9	10224535.0	3	T	[48, 50, 45]
50	9	10225374.0	2	H	[49, 51]
51	9	25198112.5	2	T	[50, 52, 53]
52	9	25198113.5	2	H	[51, 53, 54]
53	9	29616605.0	2	T	[51, 52, 54]
54	9	29616606.0	2	H	[52, 53, 55]
55	9	138326093.0	2	T	[54]
56	10	0	2	H	[57]
57	10	133785266	2	T	[56]
58	11	62233.0	2	H	[59]
59	11	10146370.0	2	T	[58, 60, 14]
60	11	10146371.0	2	H	[59, 61, 15]
61	11	26481160.0	2	T	[64, 60, 62]
62	11	26482875.0	1	H	[61, 63]
63	11	29481042.0	1	T	[64, 62]
64	11	29484094	2	H	[65, 61, 63]
65	11	37725951	2	T	[64, 66]
66	11	37734273.0	3	H	[65, 67, 70]
67	11	46909238.0	3	T	[66, 68]
68	11	46913736.0	2	H	[67, 69]
69	11	47079022.0	2	T	[68, 70]
70	11	47079023.0	2	H	[66, 69, 71]
71	11	135068991.0	2	T	[70]
72	12	19721.0	2	H	[73]
73	12	67937580.0	2	T	[72, 74, 79]
74	12	67937581.0	2	H	[73, 75]
75	12	68075174.0	2	T	[74, 76]
76	12	68077476.0	3	H	[75, 77]
77	12	75176690.0	3	T	[76, 78]
78	12	75189552.5	4	H	[3, 77, 79]
79	12	76108662.0	4	T	[80, 73, 78]
80	12	76108663.0	4	H	[81, 79]
81	12	76599957.0	4	T	[80, 82, 2]
82	12	76622566.5	2	H	[81, 83]
83	12	77192089.0	2	T	[82, 84, 6]
84	12	77192090.0	2	H	[83, 85]
85	12	133258008.0	2	T	[84]
86	13	0	2	H	[87]
87	13	114352102	2	T	[86]
88	14	0	2	H	[89]
89	14	106873282	2	T	[88]
90	15	17052426.0	2	H	[91]
91	15	30766282.0	2	T	[90, 92]
92	15	30766283.0	2	H	[91, 93, 94]
93	15	31639515.0	2	T	[92, 94]
94	15	31639516.0	2	H	[92, 93, 95]
95	15	62723640.0	2	T	[96, 94]
96	15	62723641.0	2	H	[97, 101, 95]
97	15	62926363.0	2	T	[96, 98]
98	15	62928238.0	3	H	[97, 99]
99	15	70072224.0	3	T	[98, 100]
100	15	70083814.0	2	H	[99, 101]
101	15	70148136.0	2	T	[96, 100, 102]
102	15	70148137.0	2	H	[101, 103]
103	15	101971270.0	2	T	[102]
104	16	19375	2	H	[105]
105	16	37228979	2	T	[104, 106]
106	16	38277017.0	1	H	[105, 107]
107	16	89959907.0	1	T	[106, 108]
108	16	89981994	2	H	[107, 109]
109	16	90220072	2	T	[108]
110	17	0	2	H	[111]
111	17	83246392	2	T	[110]
112	18	0.0	2	H	[113]
113	18	53123444.5	2	T	[112, 114, 26]
114	18	53123445.5	2	H	[113, 115, 25]
115	18	58243372.5	2	T	[114, 116, 28]
116	18	58243373.5	2	H	[27, 115, 117]
117	18	80256374.0	2	T	[116]
118	19	0	2	H	[119]
119	19	58605715	2	T	[118]
120	20	0	2	H	[121]
121	20	64333718	2	T	[120]
122	21	0.0	2	H	[123]
123	21	5770008.0	2	T	[122, 124]
124	21	5770009.0	2	H	[123, 125, 126]
125	21	7554464.0	2	T	[124, 126]
126	21	7554465.0	2	H	[124, 125, 127]
127	21	46697230.0	2	T	[126]
128	22	0	2	H	[129]
129	22	50805587	2	T	[128]
130	23	12933	2	H	[131]
131	23	6529265	2	T	[130, 132, 134]
132	23	6529266.0	1	H	[131, 133]
133	23	8224836.0	1	T	[132, 134]
134	23	8225416	2	H	[131, 133, 135]
135	23	156020370	2	T	[134]
136	24	0	0	H	[137]
137	24	57212132	0	T	[136]
