index	origin	start	end
1	Chr1	10000	44130515
2	Chr1	44130516	45875537
3	Chr1	45875538	122026459
CEN1	Chr1	122026460	125184587
4	Chr1	125184588	248946421
5	Chr2	10000	54914857
6	Chr2	54914858	55573278
7	Chr2	55573279	92188145
CEN2	Chr2	92188146	94090557
8	Chr2	94090558	107236267
9	Chr2	107236268	108032492
10	Chr2	108032493	242183528
11	Chr3	10000	76135709
12	Chr3	76135710	76946946
13	Chr3	76946947	90772458
CEN3	Chr3	90772459	93655574
14	Chr3	93655575	134765916
15	Chr3	134765917	136335378
16	Chr3	136335379	198235558
17	Chr4	10000	49708100
CEN4	Chr4	49708101	51743951
18	Chr4	51743952	190204554
19	Chr5	10000	46485900
CEN5	Chr5	46485901	50059807
20	Chr5	50059808	76675926
21	Chr5	76675927	77269361
22	Chr5	77269362	181478258
23	Chr6	60000	58553888
CEN6	Chr6	58553889	59829934
24	Chr6	59829935	170745978
25	Chr7	10000	48890558
26	Chr7	48890559	49884389
27	Chr7	49884390	58169653
CEN7	Chr7	58169654	60828234
28	Chr7	60828235	147742534
29	Chr7	147742535	148704232
30	Chr7	148704233	159335972
31	Chr8	60000	44033744
CEN8	Chr8	44033745	45877265
32	Chr8	45877266	79655033
33	Chr8	79655034	81393105
34	Chr8	81393106	128448629
35	Chr8	128448630	129424286
36	Chr8	129424287	145078635
37	Chr9	10000	43236167
CEN9	Chr9	43236168	45518558
38	Chr9	45518559	138334716
39	Chr10	10000	39686682
CEN10	Chr10	39686683	41593521
40	Chr10	41593522	77113295
41	Chr10	77113296	77113296
42	Chr10	77113297	122391778
43	Chr10	122391779	124345375
44	Chr10	124345376	133787421
45	Chr11	60000	11267759
46	Chr11	11267760	12458251
47	Chr11	12458252	51078348
CEN11	Chr11	51078349	54425074
48	Chr11	54425075	135076621
49	Chr12	10000	34769407
CEN12	Chr12	34769408	37185252
50	Chr12	37185253	74231965
51	Chr12	74231966	75295768
52	Chr12	75295769	113776343
53	Chr12	113776344	114343029
54	Chr12	114343030	133265308
55	Chr13	16000000	16000000
CEN13	Chr13	16000001	18051248
56	Chr13	18051249	114354327
57	Chr14	16000000	16000000
CEN14	Chr14	16000001	18173523
58	Chr14	18173524	32904906
59	Chr14	32904907	34565608
60	Chr14	34565609	77438292
61	Chr14	77438293	77438293
62	Chr14	77438294	106883717
63	Chr15	17000000	17000000
CEN15	Chr15	17000001	19725254
64	Chr15	19725255	101981188
65	Chr16	10000	36311158
CEN16	Chr16	36311159	38280682
66	Chr16	38280683	90228344
67	Chr17	60000	22813679
CEN17	Chr17	22813680	26885980
68	Chr17	26885981	83247440
69	Chr18	10000	15460899
CEN18	Chr18	15460900	20861206
70	Chr18	20861207	74568737
71	Chr18	74568738	76246407
72	Chr18	76246408	80263284
73	Chr19	60000	24498980
CEN19	Chr19	24498981	27190874
74	Chr19	27190875	47448367
75	Chr19	47448368	47448368
76	Chr19	47448369	58607615
77	Chr20	60000	26436232
CEN20	Chr20	26436233	30038348
78	Chr20	30038349	64334166
79	Chr21	5010000	10864560
CEN21	Chr21	10864561	12915808
80	Chr21	12915809	25880548
81	Chr21	25880549	26171128
82	Chr21	26171129	46699982
83	Chr22	10510000	12954788
CEN22	Chr22	12954789	15054318
84	Chr22	15054319	50808467
85	ChrX	10000	58605579
CENX	ChrX	58605580	62412542
86	ChrX	62412543	156030894
---
chromosome	KT	telo1_len	telo2_len
Chr1a	1+,3+,CEN1+,4+	10000	10000
Chr1b	1+,2+,3+,CEN1+,4+	10000	10000
Chr2a	5+,7+,CEN2+,8+,9-,10+	10000	10000
Chr2b	5+,6+,7+,CEN2+,8+,9+,10+	10000	10000
Chr3a	11+,12-,13+,CEN3+,14+,15+,15-,16+	10000	60000
Chr3b	11+,12+,13+,CEN3+,14+,15+,16+	10000	60000
Chr4a	17+,CEN4+,18+	10000	10000
Chr4b	17+,CEN4+,18+	10000	10000
Chr5a	19+,CEN5+,20+,21+,21+,22+	10000	60000
Chr5b	19+,CEN5+,20+,21+,22+	10000	60000
Chr6a	23+,CEN6+,24+	60000	60000
Chr6b	23+,CEN6+,24+	60000	60000
Chr7a	25+,26-,27+,CEN7+,28+,30+	10000	10000
Chr7b	25+,26+,27+,CEN7+,28+,29+,30+	10000	10000
Chr8a	31+,CEN8+,32+,59+,34+,35-,35+,36+	60000	60000
Chr8b	31+,CEN8+,32+,33+,34+,35+,36+	60000	60000
Chr9a	37+,CEN9+,38+	10000	60000
Chr9b	37+,CEN9+,38+	10000	60000
