index	origin	start	end
1	Chr1	10000	122026459
CEN1	Chr1	122026460	125184587
2	Chr1	125184588	212029597
3	Chr1	212029598	214685438
4	Chr1	214685439	248946421
5	Chr2	10000	92188145
CEN2	Chr2	92188146	94090557
6	Chr2	94090558	242183528
7	Chr3	10000	90772458
CEN3	Chr3	90772459	93655574
8	Chr3	93655575	111902079
9	Chr3	111902080	111902080
10	Chr3	111902081	198235558
11	Chr4	10000	49708100
CEN4	Chr4	49708101	51743951
12	Chr4	51743952	173453103
13	Chr4	173453104	183445874
14	Chr4	183445875	190204554
15	Chr5	10000	46485900
CEN5	Chr5	46485901	50059807
16	Chr5	50059808	181478258
17	Chr6	60000	58553888
CEN6	Chr6	58553889	59829934
18	Chr6	59829935	170745978
19	Chr7	10000	58169653
CEN7	Chr7	58169654	60828234
20	Chr7	60828235	159335972
21	Chr8	60000	44033744
CEN8	Chr8	44033745	45877265
22	Chr8	45877266	145078635
23	Chr9	10000	43236167
CEN9	Chr9	43236168	45518558
24	Chr9	45518559	78072411
25	Chr9	78072412	85985594
26	Chr9	85985595	116717508
27	Chr9	116717509	123949931
28	Chr9	123949932	138334716
29	Chr10	10000	39686682
CEN10	Chr10	39686683	41593521
30	Chr10	41593522	133787421
31	Chr11	60000	13173847
32	Chr11	13173848	15933785
33	Chr11	15933786	51078348
CEN11	Chr11	51078349	54425074
34	Chr11	54425075	90630323
35	Chr11	90630324	97723543
36	Chr11	97723544	127983402
37	Chr11	127983403	135076621
38	Chr12	10000	18479944
39	Chr12	18479945	23071040
40	Chr12	23071041	34769407
CEN12	Chr12	34769408	37185252
41	Chr12	37185253	64678138
42	Chr12	64678139	68251745
43	Chr12	68251746	133265308
44	Chr13	16000000	16000000
CEN13	Chr13	16000001	18051248
45	Chr13	18051249	76592282
46	Chr13	76592283	80850412
47	Chr13	80850413	114354327
48	Chr14	16000000	16000000
CEN14	Chr14	16000001	18173523
49	Chr14	18173524	106883717
50	Chr15	17000000	17000000
CEN15	Chr15	17000001	19725254
51	Chr15	19725255	101981188
52	Chr16	10000	27318578
53	Chr16	27318579	27318579
54	Chr16	27318580	36311158
CEN16	Chr16	36311159	38280682
55	Chr16	38280683	62713401
56	Chr16	62713402	69918789
57	Chr16	69918790	90228344
58	Chr17	60000	22813679
CEN17	Chr17	22813680	26885980
59	Chr17	26885981	83247440
60	Chr18	10000	15460899
CEN18	Chr18	15460900	20861206
61	Chr18	20861207	80263284
62	Chr19	60000	24498980
CEN19	Chr19	24498981	27190874
63	Chr19	27190875	58607615
64	Chr20	60000	26436232
CEN20	Chr20	26436233	30038348
65	Chr20	30038349	64334166
66	Chr21	5010000	10864560
CEN21	Chr21	10864561	12915808
67	Chr21	12915809	46699982
68	Chr22	10510000	12954788
CEN22	Chr22	12954789	15054318
69	Chr22	15054319	50808467
70	ChrX	10000	58605579
CENX	ChrX	58605580	62412542
71	ChrX	62412543	156030894
72	ChrY	10000	10316944
CENY	ChrY	10316945	10544039
73	ChrY	10544040	57217414
---
chromosome	KT	telo1_len	telo2_len
Chr1a	1+,CEN1+,2+,3+,4+	10000	10000
Chr1b	1+,CEN1+,2+,3-,4+	10000	10000
Chr2a	5+,CEN2+,6+	10000	10000
Chr2b	5+,CEN2+,6+	10000	10000
Chr3a	7+,CEN3+,8+,9+,10+	10000	60000
Chr3b	7+,CEN3+,8+,27+,9+,10+	10000	60000
Chr4a	11+,CEN4+,12+,13+,14+	10000	10000
Chr4b	11+,CEN4+,12+,32+,14+	10000	10000
Chr5a	15+,CEN5+,16+	10000	60000
Chr5b	15+,CEN5+,16+	10000	60000
Chr6a	17+,CEN6+,18+	60000	60000
Chr6b	17+,CEN6+,18+	60000	60000
Chr7a	19+,CEN7+,20+	10000	10000
Chr7b	19+,CEN7+,20+	10000	10000
Chr8a	21+,CEN8+,22+	60000	60000
Chr8b	21+,CEN8+,22+	60000	60000
Chr9a	23+,CEN9+,24+,25-,25+,26+,28+	10000	60000
Chr9b	23+,CEN9+,24+,25+,26+,27+,28+	10000	60000
Chr10a	29+,CEN10+,30+	10000	10000
Chr10b	29+,CEN10+,30+	10000	10000
Chr11a	31+,32+,33+,CEN11+,34+,35+,36+,37+	60000	10000
Chr11b	31+,13+,33+,CEN11+,34+,35+,36+,37-	60000	10000
Chr12a	38+,39-,40+,CEN12+,41+,43+	10000	10000
Chr12b	38+,39+,40+,CEN12+,41+,42+,43+	10000	10000
Chr13a	44+,CEN13+,45+,46+,47+	16000000	10000
Chr13b	44+,CEN13+,45+,47+	16000000	10000
Chr14a	48+,CEN14+,49+	16000000	160000
Chr14b	48+,CEN14+,49+	16000000	160000
Chr15a	50+,CEN15+,51+	17000000	10000
Chr15b	50+,CEN15+,51+	17000000	10000
Chr16a	deleted	0	0
Chr16b	52+,53+,54+,CEN16+,55+,56-,57+	10000	110000
Chr16c	52+,46+,53+,54+,CEN16+	10000	110000
Chr17a	58+,CEN17+,59+	60000	10000
Chr17b	58+,CEN17+,59+	60000	10000
Chr18a	60+,CEN18+,61+	10000	110000
Chr18b	60+,CEN18+,61+	10000	110000
Chr19a	62+,CEN19+,63+	60000	10000
Chr19b	62+,CEN19+,63+	60000	10000
Chr20a	64+,CEN20+,65+	60000	110000
Chr20b	64+,CEN20+,65+	60000	110000
Chr21a	66+,CEN21+,67+	5010000	10000
Chr21b	66+,CEN21+,67+	5010000	10000
Chr22a	68+,CEN22+,69+	10510000	10000
Chr22b	68+,CEN22+,69+	10510000	10000
ChrXa	70+,CENX+,71+	10000	10000
ChrYa	72+,CENY+,73+	10000	10000
---
initialization
	autosomes: ['Chr1', 'Chr2', 'Chr3', 'Chr4', 'Chr5', 'Chr6', 'Chr7', 'Chr8', 'Chr9', 'Chr10', 'Chr11', 'Chr12', 'Chr13', 'Chr14', 'Chr15', 'Chr16', 'Chr17', 'Chr18', 'Chr19', 'Chr20', 'Chr21', 'Chr22']
	autosomal copy number: 2
	sex chromosomes: ['ChrX', 'ChrY']
block 1: random events
	deletion on segments [42+], from Chr12a to Chr12a	(del,41.1,43.1)
	balanced reciprocal translocation on segments [32+], from Chr11b to Chr4b	(del,31.1,33.1)(ins,32.1)
	balanced reciprocal translocation on segments [13+], from Chr4b to Chr11b	(del,12.1,14.1)(ins,13.1)
	left duplication inversion on segments [25+], from Chr9a to Chr9a	(ins,25.1)
	inversion on segments [37+], from Chr11b to Chr11b	(inv,37.1)
	chromosomal deletion on segments [52+,53+,54+,CEN16+,55+,56+,57+], from Chr16a to Chr16a	-
	inversion on segments [56+], from Chr16b to Chr16b	(inv,56.1)
	arm tandem duplication on segments [52+,53+,54+], from Chr16b to Chr16c	-
	nonreciprocal translocation on segments [46+], from Chr13b to Chr16c	(del,45.1,47.1)(ins,46.1)
	inversion on segments [3+], from Chr1b to Chr1b	(inv,3.1)
	nonreciprocal translocation on segments [27+], from Chr9a to Chr3b	(del,26.1,28.1)(ins,27.1)
	inversion on segments [39+], from Chr12a to Chr12a	(inv,39.1)
