0	1	14454.0	2	H	[1]
1	1	120079084.0	2	T	[0, 2, 3]
2	1	120079085.0	2	H	[1, 3]
3	1	120714485.0	2	T	[1, 2, 4]
4	1	120714486.0	2	H	[3, 5]
5	1	174250945.75	2	T	[8, 4, 6]
6	1	174251833.0	1	H	[5, 7]
7	1	183913155.0	1	T	[8, 6]
8	1	183913156.0	1	H	[9, 5, 7]
9	1	183983331.0	1	T	[8, 10]
10	1	183983332	2	H	[9, 11]
11	1	248943332	2	T	[10]
12	2	0.0	2	H	[13]
13	2	87052278.0	2	T	[12, 14, 15]
14	2	87052279.0	2	H	[13, 15]
15	2	87717319.0	2	T	[16, 13, 14]
16	2	87717320.0	2	H	[17, 15]
17	2	242181357.0	2	T	[16]
18	3	12920.0	2	H	[19]
19	3	101965410.0	2	T	[18, 20, 23]
20	3	101965411.0	2	H	[19, 21]
21	3	102019482.0	2	T	[20, 22]
22	3	102019483.0	3	H	[21, 22, 23]
23	3	105161596.0	3	T	[24, 19, 22]
24	3	105171802	2	H	[25, 23]
25	3	198230595	2	T	[24]
26	4	0	2	H	[27]
27	4	190202564	2	T	[26]
28	5	0.0	2	H	[29]
29	5	91750293.33333333	2	T	[28, 30, 31]
30	5	91750294.33333333	2	H	[32, 29, 31]
31	5	97635381.5	2	T	[32, 29, 30]
32	5	97635382.5	2	H	[33, 30, 31]
33	5	181472714.0	2	T	[32]
34	6	0.0	2	H	[35]
35	6	72402100.5	2	T	[80, 34, 36]
36	6	72402101.5	2	H	[35, 37, 79]
37	6	77168795.5	2	T	[82, 36, 38]
38	6	77168796.5	2	H	[81, 37, 39]
39	6	170739897.0	2	T	[38]
40	7	0	2	H	[41]
41	7	159334984	2	T	[40]
42	8	61806	2	H	[43]
43	8	91508478.0	2	T	[42, 44]
44	8	91509948.0	3	H	[48, 43, 45]
45	8	99127748.0	3	T	[44, 45, 46]
46	8	99127749.0	2	H	[45, 47]
47	8	99216203.0	2	T	[48, 46]
48	8	99216204.0	2	H	[49, 44, 47]
49	8	136753953.0	2	T	[48, 50]
50	8	136753954.0	1	H	[49, 51]
51	8	144888115.0	1	T	[50, 52]
52	8	144888116	2	H	[51, 53]
53	8	145076124	2	T	[52]
54	9	0	2	H	[55]
55	9	138334464	2	T	[54]
56	10	0.0	2	H	[57]
57	10	46991592.0	2	T	[56, 58, 59]
58	10	46991593.0	2	H	[57, 59]
59	10	48060267.0	2	T	[57, 58, 60]
60	10	48060268.0	2	H	[59, 61]
61	10	133785266.0	2	T	[60]
62	11	0	2	H	[63]
63	11	135069565	2	T	[62]
64	12	14569	2	H	[65]
65	12	55706940.0	2	T	[64, 66]
66	12	55706941.0	3	H	[65, 67]
67	12	58131588.0	3	T	[66, 68]
68	12	58131589	2	H	[67, 69]
69	12	133263959	2	T	[68]
70	13	0	2	H	[71]
71	13	114352102	2	T	[70]
72	14	0.0	2	H	[73]
73	14	38305094.5	2	T	[72, 74, 76]
74	14	38305095.5	2	H	[115, 73, 75]
75	14	40640747.5	2	T	[116, 74, 76]
76	14	40640748.5	2	H	[73, 75, 77]
77	14	106873282.0	2	T	[76]
78	15	17050954.0	2	H	[79]
79	15	46931882.333333336	2	T	[80, 36, 78]
80	15	46931883.333333336	2	H	[81, 35, 79]
81	15	50696605.0	2	T	[80, 82, 38]
82	15	50696606.0	2	H	[81, 83, 37]
83	15	59270734.0	2	T	[82, 84]
84	15	59276749.5	3	H	[83, 85]
85	15	67609049.0	3	T	[84, 86]
86	15	67620690.5	2	H	[85, 87]
87	15	101976508.0	2	T	[86]
88	16	14135.0	2	H	[89]
89	16	29498408.0	2	T	[88, 90, 92]
90	16	29498409.0	2	H	[89, 91]
91	16	30320147.0	2	T	[90, 92]
92	16	30320148.0	2	H	[89, 91, 93]
93	16	82097903.0	2	T	[92, 94]
94	16	82097904.0	3	H	[93, 95]
95	16	84609571.0	3	T	[96, 94]
96	16	84609572	2	H	[97, 95]
97	16	90224750	2	T	[96]
98	17	0	2	H	[99]
99	17	83246392	2	T	[98]
100	18	0	2	H	[101]
101	18	80256374	2	T	[100]
102	19	0	2	H	[103]
103	19	58605715	2	T	[102]
104	20	0	2	H	[105]
105	20	64333718	2	T	[104]
106	21	0	2	H	[107]
107	21	46697230	2	T	[106]
108	22	10514804	2	H	[109]
109	22	19135728.0	2	T	[108, 110]
110	22	19135729.0	3	H	[109, 111]
111	22	20818831.0	3	T	[112, 110]
112	22	20818832	2	H	[113, 111]
113	22	50805586	2	T	[112]
114	23	0.0	2	H	[115]
115	23	100139867.25	2	T	[114, 116, 74]
116	23	100139868.25	2	H	[75, 115, 117]
117	23	156025612.0	2	T	[116]
118	24	0	0	H	[119]
119	24	57212132	0	T	[118]
