index	origin	start	end
1	Chr1	10000	122026459
CEN1	Chr1	122026460	125184587
2	Chr1	125184588	147061831
3	Chr1	147061832	148411223
4	Chr1	148411224	248946421
5	Chr2	10000	92188145
CEN2	Chr2	92188146	94090557
6	Chr2	94090558	170951007
7	Chr2	170951008	172932906
8	Chr2	172932907	242183528
9	Chr3	10000	40390053
10	Chr3	40390054	41764621
11	Chr3	41764622	90772458
CEN3	Chr3	90772459	93655574
12	Chr3	93655575	163493095
13	Chr3	163493096	165081881
14	Chr3	165081882	190102095
15	Chr3	190102096	190990649
16	Chr3	190990650	198235558
17	Chr4	10000	49708100
CEN4	Chr4	49708101	51743951
18	Chr4	51743952	190204554
19	Chr5	10000	4604808
20	Chr5	4604809	5430663
21	Chr5	5430664	46485900
CEN5	Chr5	46485901	50059807
22	Chr5	50059808	181478258
23	Chr6	60000	11371706
24	Chr6	11371707	11371707
25	Chr6	11371708	58553888
CEN6	Chr6	58553889	59829934
26	Chr6	59829935	170745978
27	Chr7	10000	58169653
CEN7	Chr7	58169654	60828234
28	Chr7	60828235	159335972
29	Chr8	60000	1780161
30	Chr8	1780162	34340216
31	Chr8	34340217	36060378
32	Chr8	36060379	44033744
CEN8	Chr8	44033745	45877265
33	Chr8	45877266	145078635
34	Chr9	10000	43236167
CEN9	Chr9	43236168	45518558
35	Chr9	45518559	138334716
36	Chr10	10000	39686682
CEN10	Chr10	39686683	41593521
37	Chr10	41593522	58925174
38	Chr10	58925175	59953946
39	Chr10	59953947	83657046
40	Chr10	83657047	84611949
41	Chr10	84611950	132758650
42	Chr10	132758651	133787421
43	Chr11	60000	51078348
CEN11	Chr11	51078349	54425074
44	Chr11	54425075	135076621
45	Chr12	10000	5753706
46	Chr12	5753707	5753707
47	Chr12	5753708	34769407
CEN12	Chr12	34769408	37185252
48	Chr12	37185253	133265308
49	Chr13	16000000	16000000
CEN13	Chr13	16000001	18051248
50	Chr13	18051249	34009821
51	Chr13	34009822	34769884
52	Chr13	34769885	43385986
53	Chr13	43385987	44261515
54	Chr13	44261516	106881861
55	Chr13	106881862	107829320
56	Chr13	107829321	109699013
57	Chr13	109699014	110906969
58	Chr13	110906970	114354327
59	Chr14	16000000	16000000
CEN14	Chr14	16000001	18173523
60	Chr14	18173524	37272503
61	Chr14	37272504	38842159
62	Chr14	38842160	85205550
63	Chr14	85205551	86235559
64	Chr14	86235560	96836372
65	Chr14	96836373	96836373
66	Chr14	96836374	106883717
67	Chr15	17000000	17000000
CEN15	Chr15	17000001	19725254
68	Chr15	19725255	43568079
69	Chr15	43568080	44380782
70	Chr15	44380783	101981188
71	Chr16	10000	36311158
CEN16	Chr16	36311159	38280682
72	Chr16	38280683	90228344
73	Chr17	60000	22813679
CEN17	Chr17	22813680	26885980
74	Chr17	26885981	83247440
75	Chr18	10000	15460899
CEN18	Chr18	15460900	20861206
76	Chr18	20861207	76540673
77	Chr18	76540674	77851653
78	Chr18	77851654	78952305
79	Chr18	78952306	80263284
80	Chr19	60000	10945562
81	Chr19	10945563	12294947
82	Chr19	12294948	24498980
CEN19	Chr19	24498981	27190874
83	Chr19	27190875	58607615
84	Chr20	60000	26436232
CEN20	Chr20	26436233	30038348
85	Chr20	30038349	64334166
86	Chr21	5010000	10864560
CEN21	Chr21	10864561	12915808
87	Chr21	12915809	46699982
88	Chr22	10510000	12954788
CEN22	Chr22	12954789	15054318
89	Chr22	15054319	50808467
90	ChrY	10000	10316944
CENY	ChrY	10316945	10544039
91	ChrY	10544040	57217414
---
chromosome	KT	telo1_len	telo2_len
Chr1a	1+,CEN1+,2+,4+	10000	10000
Chr2a	5+,CEN2+,6+,13+,8+	10000	10000
Chr3a	9+,10-,10+,11+,CEN3+,12+,7+,14+,15-,16+	10000	60000
Chr4a	17+,CEN4+,18+	10000	10000
Chr5a	19+,20+,20+,21+,CEN5+,22+	10000	60000
Chr6a	23+,57+,24+,25+,CEN6+,26+	60000	60000
Chr7a	27+,CEN7+,28+	10000	10000
Chr8a	29+,29+,30+,31+,32+,CEN8+,33+	60000	60000
Chr9a	34+,CEN9+,35+	10000	60000
Chr10a	36+,CEN10+,37+,38+,39+,40+,40+,41+,42+,42+	10000	10000
Chr11a	43+,CEN11+,44+	60000	10000
Chr12a	45+,63+,46+,47+,CEN12+,48+	10000	10000
Chr13a	49+,CEN13+,50+,51+,51-,52+,54+,69+,56+,58+	16000000	10000
Chr14a	59+,CEN14+,60+,61+,61-,62+,64+,53+,65+,66+	16000000	160000
Chr15a	67+,CEN15+,68+,55+,70+	17000000	10000
Chr16a	71+,CEN16+,72+	10000	110000
Chr17a	73+,CEN17+,74+	60000	10000
Chr18a	75+,CEN18+,76+,77+,78+,79-	10000	110000
Chr19a	80+,81-,81+,82+,CEN19+,83+	60000	10000
Chr20a	84+,CEN20+,85+	60000	110000
Chr21a	86+,CEN21+,87+	5010000	10000
Chr22a	88+,CEN22+,89+	10510000	10000
ChrYa	90+,CENY+,91+	10000	10000
---
initialization
	autosomes: ['Chr1', 'Chr2', 'Chr3', 'Chr4', 'Chr5', 'Chr6', 'Chr7', 'Chr8', 'Chr9', 'Chr10', 'Chr11', 'Chr12', 'Chr13', 'Chr14', 'Chr15', 'Chr16', 'Chr17', 'Chr18', 'Chr19', 'Chr20', 'Chr21', 'Chr22']
	autosomal copy number: 1
	sex chromosomes: ['ChrY']
block 1: 1q21_recurrent_microdeletion
	deletion on segments [3+], from Chr1a to Chr1a
block 2: random events
	nonreciprocal translocation on segments [53+], from Chr13a to Chr14a
	tandem duplication on segments [29+], from Chr8a to Chr8a
	nonreciprocal translocation on segments [57+], from Chr13a to Chr6a
	left duplication inversion on segments [10+], from Chr3a to Chr3a
	inversion on segments [15+], from Chr3a to Chr3a
	right duplication inversion on segments [61+], from Chr14a to Chr14a
	tandem duplication on segments [20+], from Chr5a to Chr5a
	tandem duplication on segments [42+], from Chr10a to Chr10a
	tandem duplication on segments [40+], from Chr10a to Chr10a
	right duplication inversion on segments [51+], from Chr13a to Chr13a
	nonreciprocal translocation on segments [63+], from Chr14a to Chr12a
	balanced reciprocal translocation on segments [13+], from Chr3a to Chr2a
	balanced reciprocal translocation on segments [7+], from Chr2a to Chr3a
	balanced reciprocal translocation on segments [55+], from Chr13a to Chr15a
	balanced reciprocal translocation on segments [69+], from Chr15a to Chr13a
	left duplication inversion on segments [81+], from Chr19a to Chr19a
	inversion on segments [79+], from Chr18a to Chr18a
