Segments	smap_id	q_id	ref_c_id1	ref_c_id2	ref_start	ref_end	confidence	sv_type	size	VAF	Paths	start	end	original_name	original_stain	band_base	Path	strand	chrom	bp	original_start	original_end	Updated_stain	centromere	iscn	sort_chrom	name	gieStain	delta	chr	pos	labels
Segment 19	2082	321	10	10	24029209.0	28514049.0	1.0	inversion	4480065.0	0	Path21	12200001	17300000	p13	gneg	p13	Path21	+	10	True	13742349	17300000	gneg	0	Path21 : 10	10	p13	gneg	5099999	Path21 : 10	24029209.0	inversion - mapid: 321
Segment 18	2073	401	10	10	13747230.0	105972031.0	0.17	translocation_intrachr	-1.0	0	Path21	12200001	17300000	p13	gneg	p13	Path21	+	10	True	13742349	17300000	gneg	0	Path21 : 10	10	p13	gneg	5099999	Path21 : 10	13747230.0	translocation_intrachr - mapid: 401
Segment 26	2093	322	10	10	18032533.0	113675675.0	0.06	translocation_intrachr	-1.0	0	Path21	12200001	17300000	p13	gneg	p13	Path21	+	10	True	13742349	17300000	gneg	0	Path21 : 10	10	p13	gneg	5099999	Path21 : 10	18032533.0	translocation_intrachr - mapid: 322
Segment 24	2137	572	10	10	35704770.0	103929893.5	0.06	translocation_intrachr	-1.0	0	Path21	17300000	29299997	p12.1	gpos50	p12	Path21	+	10	True	28522406	29300000	gpos75	0	Path21 : 10	10	p12	gpos50	11999997	Path21 : 10	35704770.0	translocation_intrachr - mapid: 572
Segment 27	2074	401	10	10	18022950.0	113704607.0	0.13	translocation_intrachr	-1.0	0	Path21	12200001	17300000	p13	gneg	p13	Path21	+	10	True	13742349	17300000	gneg	0	Path21 : 10	10	p13	gneg	5099999	Path21 : 10	18022950.0	translocation_intrachr - mapid: 401
Segment 22	2121	221	10	10	32952588.0	97799314.0	0.02	translocation_intrachr	-1.0	0	Path21	17300000	29299997	p12.1	gpos50	p12	Path21	+	10	True	28522406	29300000	gpos75	0	Path21 : 10	10	p12	gpos50	11999997	Path21 : 10	32952588.0	translocation_intrachr - mapid: 221
Segment 21	2096	321	10	10	24033984.0	28516315.0	1.0	inversion	4480065.0	0	Path21	12200001	17300000	p13	gneg	p13	Path21	+	10	True	13742349	17300000	gneg	0	Path21 : 10	10	p13	gneg	5099999	Path21 : 10	24033984.0	inversion - mapid: 321
Segment 36	2962	2212	15	15	87770225.0	92828637.0	1.0	inversion	5056504.0	0	Path29	72400001	78000001	q24.3	gneg	q24	Path29	+	15	False	76300000	78000000	gneg	0	Path29 : 15	15	q24	gneg	5600000	Path29 : 15	87770225.0	inversion - mapid: 2212
Segment 37	2974	2212	15	15	87772133.0	92860563.0	1.0	inversion	5056504.0	0	Path29	78000001	88500000	q25.3	gpos50	q25	Path29	+	15	True	87771180	88500000	gpos50	0	Path29 : 15	15	q25	gpos100	10499999	Path29 : 15	87772133.0	inversion - mapid: 2212
Segment 46	3288	1412	18	18	49270806.0	54720169.0	0.18	translocation_intrachr	-1.0	0	Path35	45899999	50699998	q21.1	gneg	q21	Path35	+	18	True	49268875	50700000	gneg	0	Path35 : 18	18	q21.1	gneg	4799999	Path35 : 18	49270806.0	translocation_intrachr - mapid: 1412
Segment 43	3165	161	18	18	32374452.0	38878665.0	0.97	inversion	6491107.0	0	Path35	21500001	27500001	q11.2	gneg	q11	Path35	+	18	False	21500000	27500000	acen	0	Path35 : 18	18	q11.2	gneg	6000000	Path35 : 18	32374452.0	inversion - mapid: 161
Segment 44	3281	1381	18	18	49266943.0	54704787.0	0.73	translocation_intrachr	-1.0	0	Path35	27500001	45899999	q12.3	gpos75	q12	Path35	+	18	True	39500000	45900000	gpos100	0	Path35 : 18	18	q12	gpos100	18399998	Path35 : 18	49266943.0	translocation_intrachr - mapid: 1381
Segment 4	304	192	2	2	25693773.0	31133419.0	0.43	translocation_intrachr	-1.0	0	Path4	23777937	26275077	p23.3	gneg	p23	Path4	-	2	True	23800000	25651165	gneg	0	Path4 : 2	2	p23	gneg	2497140	Path4 : 2	25693773.0	translocation_intrachr - mapid: 192
Segment 7	844	1442	3	3	108382413.0	114851876.0	0.35	translocation_intrachr	-1.0	0	Path6	103082563	108364976	q13.11	gpos75	q13	Path6	-	3	True	103100000	106500000	gpos75	0	Path6 : 3	3	q13.1	gpos75	5282413	Path6 : 3	108382413.0	translocation_intrachr - mapid: 1442
