chr	start	end	original_name	original_stain	band_base	Path	strand	chrom	bp	original_start	original_end	Updated_stain	centromere	iscn	sort_chrom	name	gieStain	delta	midpoint
Path1 : 1	1	248916881	q44	gneg	q44	Path1	+	1	True	243500000	248942320	gneg	0	Path1 : 1	1	q44	gneg	5442320	124458441.0
Path10 : 5	1	181472715	q35.1	gneg	q35	Path10	-	5	True	169000000	173300000	gneg	0	Path10 : 5	5	q35	gneg	12472714	90736358.0
Path11 : 6	1	169816884	q27	gneg	q27	Path11	+	6	True	169950341	170737419	gneg	0	Path11 : 6	6	q27	gneg	6636863	84908442.5
Path12 : 6	1	169816884	q27	gneg	q27	Path12	-	6	True	164100000	169949785	gneg	0	Path12 : 6	6	q27	gneg	6636863	84908442.5
Path13 : 6	1	169821043	q14.1	gpos50	q14	Path13	-	6	True	80353187	81144424	gpos50	0	Path13 : 6	6	q14	gpos75	791237	84910522.0
Path14 : 7	1	159334985	q36.3	gneg	q36	Path14	+	7	False	155200000	159334984	gneg	0	Path14 : 7	7	q36	gneg	11134984	79667493.0
Path15 : 7	1	159334985	q36.1	gneg	q36	Path15	-	7	True	148200000	152800000	gneg	0	Path15 : 7	7	q36	gneg	11134984	79667493.0
Path16 : 8	1	145004678	q24.3	gneg	q24	Path16	+	8	True	144889180	145074239	gneg	0	Path16 : 8	8	q24.3	gneg	6173174	72502339.5
Path17 : 8	1	137893972	q24.3	gneg	q24	Path17	-	8	False	144889180	145074239	gneg	0	Path17 : 8	8	q24.3	gneg	185059	68946986.5
Path18 : 9	1	138334462	q34.3	gneg	q34	Path18	+	9	True	134500000	138334464	gneg	0	Path18 : 9	9	q34	gneg	10834464	69167231.5
Path19 : 9	1	141945277	q34.11	gneg	q34	Path19	-	9	True	127500000	130600000	gneg	0	Path19 : 9	9	q34	gneg	10834464	70972639.0
Path2 : 1	1	255795404	q44	gneg	q44	Path2	-	1	False	243500000	248942320	gneg	0	Path2 : 1	1	q44	gneg	5442320	127897702.5
Path20 : 10	1	133785265	q26.3	gneg	q26	Path20	+	10	True	128800000	133785266	gneg	0	Path20 : 10	10	q26	gneg	16485266	66892633.0
Path21 : 10	1	133785265	q26.11	gneg	q26	Path21	-	10	True	117300000	119900000	gneg	0	Path21 : 10	10	q26	gneg	16485266	66892633.0
Path22 : 11	1	134968701	q25	gneg	q25	Path22	+	11	True	130900000	135068991	gneg	0	Path22 : 11	11	q25	gneg	4168991	67484351.0
Path23 : 11	1	143962789	q25	gneg	q25	Path23	-	11	False	130900000	135068991	gneg	0	Path23 : 11	11	q25	gneg	4168991	71981395.0
Path24 : 12	1	133208936	q24.33	gneg	q24	Path24	+	12	True	128700000	133258008	gneg	0	Path24 : 12	12	q24.3	gneg	12958008	66604468.5
Path25 : 12	1	127031024	q24.31	gneg	q24	Path25	-	12	True	120300000	125400000	gpos50	0	Path25 : 12	12	q24.3	gneg	12958008	63515512.5
Path26 : 13	1	114352103	q34	gneg	q34	Path26	+	13	False	109600000	114352102	gneg	0	Path26 : 13	13	q34	gneg	4752102	57176052.0
Path27 : 13	1	114352103	q34	gneg	q34	Path27	-	13	False	109600000	114352102	gneg	0	Path27 : 13	13	q34	gneg	4752102	57176052.0
Path28 : 14	1	106873283	q32.33	gneg	q32	Path28	+	14	False	103500000	106873282	gneg	0	Path28 : 14	14	q32	gneg	17573282	53436642.0
Path29 : 14	1	106873283	q32.11	gneg	q32	Path29	-	14	True	89300000	91400000	gneg	0	Path29 : 14	14	q32	gneg	17573282	53436642.0
Path3 : 2	1	242181354	q37.3	gneg	q37	Path3	+	2	True	236400000	242181357	gneg	0	Path3 : 2	2	q37	gneg	12081357	121090677.5
Path30 : 15	1	101976510	q26.3	gneg	q26	Path30	+	15	False	98000000	101976509	gneg	0	Path30 : 15	15	q26.3	gneg	3976509	50988255.5
Path31 : 15	1	101976510	q26.3	gneg	q26	Path31	-	15	False	98000000	101976509	gneg	0	Path31 : 15	15	q26.3	gneg	3976509	50988255.5
Path32 : 16	1	90224750	q24.3	gneg	q24	Path32	+	16	True	88700000	90224751	gneg	0	Path32 : 16	16	q24	gneg	6124751	45112375.5
Path33 : 16	1	90224750	q24.1	gneg	q24	Path33	-	16	True	84100000	87000000	gneg	0	Path33 : 16	16	q24	gneg	6124751	45112375.5
Path34 : 17	1	83246393	q25.3	gneg	q25	Path34	+	17	False	77200000	83246392	gneg	0	Path34 : 17	17	q25	gneg	10346392	41623197.0
Path35 : 17	1	83246393	q25.1	gneg	q25	Path35	-	17	True	72900000	76800000	gneg	0	Path35 : 17	17	q25	gneg	10346392	41623197.0
